time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3835478_c,3835478_h,3835478_r,3835478_s,3835479_c,3835479_h,3835479_r,3835479_s
2023-05-30 09:05:00,,49.0,24.3,24.2,24.25,,,,1.0,24.3,26.6,24.0,1.0,24.2,27.3,24.0
2023-05-30 09:15:00,,49.0,22.9,22.8,22.85,22.24,25.2,"[20.3, 22.3, 25.2, 21.2, 22.2]",1.0,22.8,25.0,24.0,1.0,22.9,25.7,24.0
2023-05-30 09:20:00,,49.0,22.7,22.1,22.4,22.14,25.0,"[20.4, 22.1, 25.0, 21.2, 22.0]",1.0,22.1,25.0,24.0,1.0,22.7,25.6,24.0
2023-05-30 09:25:00,,48.0,22.7,22.2,22.45,22.2,24.9,"[20.5, 22.0, 24.9, 21.7, 21.9]",1.0,22.2,25.0,24.0,1.0,22.7,25.9,24.0
2023-05-30 09:30:00,,49.0,23.6,23.5,23.55,22.78,25.0,"[21.0, 22.1, 25.0, 23.4, 22.4]",1.0,23.6,25.5,24.0,1.0,23.5,26.5,24.0
2023-05-30 09:35:00,,49.0,23.5,23.3,23.4,22.8,25.1,"[21.2, 22.3, 25.1, 22.8, 22.6]",1.0,23.3,25.4,25.0,1.0,23.5,26.7,25.0
2023-05-30 09:40:00,,49.0,24.5,24.0,24.25,23.64,25.5,"[22.2, 22.8, 25.5, 24.3, 23.4]",1.0,24.5,26.2,25.0,1.0,24.0,27.7,25.0
2023-05-30 09:45:00,,49.0,24.5,24.2,24.35,23.94,25.9,"[22.9, 23.4, 25.9, 23.7, 23.8]",1.0,24.5,26.9,25.0,1.0,24.2,27.7,25.0
2023-05-30 09:50:00,,49.0,24.4,24.1,24.25,23.64,26.0,"[22.5, 23.4, 26.0, 22.7, 23.6]",1.0,24.4,26.2,25.0,1.0,24.1,26.6,25.0
2023-05-30 09:55:00,,49.0,23.9,23.8,23.85,23.32,25.8,"[22.0, 23.3, 25.8, 22.4, 23.1]",1.0,23.8,25.9,25.0,1.0,23.9,26.5,25.0
2023-05-30 10:00:00,,49.0,24.5,24.3,24.4,23.6,25.8,"[22.1, 23.4, 25.8, 23.5, 23.2]",1.0,24.3,26.1,25.0,1.0,24.5,26.9,25.0
2023-05-30 10:15:00,,49.0,23.4,23.2,23.3,22.72,25.5,"[21.4, 23.2, 25.5, 21.1, 22.4]",1.0,23.2,25.3,24.0,1.0,23.4,25.7,24.0
2023-05-30 10:20:00,,49.0,23.1,22.9,23.0,22.42,25.2,"[21.1, 22.9, 25.2, 20.8, 22.1]",1.0,22.9,25.1,24.0,1.0,23.1,25.6,24.0
2023-05-30 10:25:00,,49.0,23.6,23.0,23.3,22.76,25.2,"[21.2, 22.9, 25.2, 22.3, 22.2]",1.0,23.0,25.4,24.0,1.0,23.6,26.0,24.0
2023-05-30 10:30:00,,49.0,24.3,24.3,24.3,23.12,25.3,"[21.4, 23.0, 25.3, 23.3, 22.6]",1.0,24.3,25.7,24.0,1.0,24.3,26.3,24.0
2023-05-30 10:45:00,,49.0,24.7,23.8,24.25,23.380000000000003,25.4,"[21.6, 23.2, 25.4, 23.8, 22.9]",1.0,23.8,26.1,25.0,1.0,24.7,27.3,25.0
2023-05-30 10:50:00,,49.0,25.1,24.7,24.9,23.4,25.5,"[21.7, 23.4, 25.5, 23.4, 23.0]",1.0,25.1,26.1,25.0,1.0,24.7,27.5,25.0
