time,outdoor_t,room_total_power,env_avg,env_h,env_list,2618032_c,2618032_p,2618032_r,2618032_s,2618033_c,2618033_p,2618033_r,2618033_s
2023-05-30 09:10:00,,,27.4,27.6,"[27.6, 27.2]",1.0,0.1,27.5,27.0,1.0,0.0,27.2,27.0
2023-05-30 09:15:00,,,27.85,28.3,"[28.3, 27.4]",1.0,0.1,27.8,27.0,1.0,0.1,28.5,27.0
2023-05-30 09:20:00,,,28.1,28.7,"[28.7, 27.5]",1.0,0.1,28.0,27.0,1.0,0.1,28.5,27.0
2023-05-30 09:25:00,,,28.25,28.9,"[28.9, 27.6]",1.0,0.1,28.0,27.0,1.0,0.1,29.0,27.0
2023-05-30 09:30:00,,,28.35,29.1,"[29.1, 27.6]",1.0,0.1,28.1,27.0,1.0,0.1,29.1,27.0
2023-05-30 09:35:00,,,28.35,29.0,"[29.0, 27.7]",1.0,0.1,28.2,26.0,1.0,0.1,29.1,26.0
2023-05-30 09:40:00,,,27.5,27.6,"[27.4, 27.6]",1.0,0.1,27.5,26.0,1.0,0.0,25.2,26.0
2023-05-30 09:45:00,,,27.7,27.9,"[27.9, 27.5]",1.0,0.1,27.7,26.0,1.0,0.0,26.7,26.0
2023-05-30 09:50:00,,,28.1,28.6,"[28.6, 27.6]",1.0,0.1,27.9,26.0,1.0,0.1,28.7,26.0
2023-05-30 09:55:00,,,27.4,27.6,"[27.2, 27.6]",1.0,0.1,27.5,26.0,1.0,3.5,25.3,26.0
2023-05-30 10:00:00,,,27.45,27.5,"[27.4, 27.5]",1.0,0.1,27.6,26.0,1.0,0.0,25.3,26.0
2023-05-30 10:05:00,,,28.0,28.4,"[28.4, 27.6]",1.0,0.1,27.9,27.0,1.0,0.1,28.3,27.0
2023-05-30 10:10:00,,,28.200000000000003,28.8,"[28.8, 27.6]",1.0,0.1,28.0,27.0,1.0,0.1,28.9,27.0
2023-05-30 10:15:00,,,28.4,29.1,"[29.1, 27.7]",1.0,0.1,28.1,27.0,1.0,0.1,29.4,27.0
2023-05-30 10:20:00,,,27.9,28.1,"[28.1, 27.7]",1.0,0.1,28.0,27.0,1.0,3.5,27.2,27.0
2023-05-30 10:25:00,,,27.5,27.6,"[27.4, 27.6]",1.0,0.1,27.5,27.0,1.0,0.0,25.8,27.0
2023-05-30 10:30:00,,,27.9,28.2,"[28.2, 27.6]",1.0,0.1,27.9,27.0,1.0,0.0,27.5,27.0
2023-05-30 10:45:00,,,27.6,27.6,"[27.6, 27.6]",1.0,0.1,27.6,26.0,1.0,0.0,26.5,26.0
2023-05-30 10:50:00,,,28.15,28.6,"[28.6, 27.7]",1.0,0.1,27.9,26.0,1.0,0.1,28.7,26.0
2023-05-30 10:55:00,,,27.4,27.7,"[27.1, 27.7]",1.0,0.1,27.6,26.0,1.0,3.5,25.8,26.0
2023-05-30 11:00:00,,,27.5,27.6,"[27.4, 27.6]",1.0,0.1,27.6,26.0,1.0,0.0,25.9,26.0
2023-05-30 11:05:00,,,27.950000000000003,28.3,"[28.3, 27.6]",1.0,0.1,27.8,27.0,1.0,0.1,28.3,27.0
2023-05-30 11:10:00,,,28.35,28.9,"[28.9, 27.8]",1.0,0.1,28.1,27.0,1.0,3.5,28.3,27.0
2023-05-30 11:15:00,,,28.450000000000003,29.1,"[29.1, 27.8]",1.0,0.1,28.1,27.0,1.0,0.1,29.2,27.0
2023-05-30 11:20:00,,,28.6,29.3,"[29.3, 27.9]",1.0,0.1,28.2,27.0,1.0,0.1,29.3,27.0
2023-05-30 11:25:00,,,28.65,29.4,"[29.4, 27.9]",1.0,0.1,28.2,27.0,1.0,0.1,29.4,27.0
