time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,6623_c,6623_h,6623_p,6623_r,6623_s,6624_c,6624_h,6624_p,6624_r,6624_s
2023-05-30 09:10:00,,11.0,33.7,33.0,33.35,30.3,31.0,"[29.4, 30.5, 31.0]",1.0,33.7,4.5,30.0,24.0,1.0,33.0,4.6,29.0,24.0
2023-05-30 09:25:00,,11.0,33.7,32.9,33.3,30.3,31.0,"[29.4, 30.5, 31.0]",1.0,33.7,4.4,30.0,24.0,1.0,32.9,4.6,29.0,24.0
2023-05-30 09:30:00,,11.0,33.7,32.9,33.3,30.33333333333333,31.1,"[29.4, 30.5, 31.1]",1.0,33.7,4.5,31.0,24.0,1.0,32.9,4.6,29.0,24.0
2023-05-30 09:35:00,,11.0,33.7,33.0,33.35,30.3,31.0,"[29.4, 30.5, 31.0]",1.0,33.7,4.4,30.0,24.0,1.0,33.0,4.6,29.0,24.0
2023-05-30 09:40:00,,11.0,33.7,33.0,33.35,30.3,31.0,"[29.4, 30.5, 31.0]",1.0,33.7,4.4,31.0,24.0,1.0,33.0,4.7,29.0,24.0
2023-05-30 09:45:00,,11.0,33.7,33.0,33.35,30.3,31.0,"[29.4, 30.5, 31.0]",1.0,33.7,4.4,30.0,24.0,1.0,33.0,4.7,29.0,24.0
2023-05-30 09:50:00,,11.0,33.7,32.9,33.3,30.3,31.0,"[29.4, 30.5, 31.0]",1.0,33.7,4.4,30.0,24.0,1.0,32.9,4.6,29.0,24.0
2023-05-30 09:55:00,,11.0,33.7,32.9,33.3,30.33333333333333,31.0,"[29.5, 30.5, 31.0]",1.0,33.7,4.5,31.0,24.0,1.0,32.9,4.6,29.0,24.0
2023-05-30 10:00:00,,11.0,33.7,33.0,33.35,30.366666666666664,31.1,"[29.5, 30.5, 31.1]",1.0,33.7,4.4,31.0,24.0,1.0,33.0,4.7,29.0,24.0
2023-05-30 10:05:00,,11.0,33.8,33.0,33.4,30.366666666666664,31.1,"[29.5, 30.5, 31.1]",1.0,33.8,4.4,30.0,24.0,1.0,33.0,4.7,29.0,24.0
2023-05-30 10:10:00,,11.0,33.8,33.0,33.4,30.366666666666664,31.1,"[29.5, 30.5, 31.1]",1.0,33.8,4.4,31.0,24.0,1.0,33.0,4.7,29.0,24.0
2023-05-30 10:15:00,,11.0,33.8,33.0,33.4,30.33333333333333,31.0,"[29.5, 30.5, 31.0]",1.0,33.8,4.4,31.0,24.0,1.0,33.0,4.7,29.0,24.0
2023-05-30 10:20:00,,11.0,33.8,33.0,33.4,30.33333333333333,31.0,"[29.5, 30.5, 31.0]",1.0,33.8,4.5,30.0,24.0,1.0,33.0,4.6,29.0,24.0
2023-05-30 10:25:00,,11.0,33.8,33.0,33.4,30.366666666666664,31.1,"[29.5, 30.5, 31.1]",1.0,33.8,4.5,31.0,24.0,1.0,33.0,4.6,29.0,24.0
2023-05-30 10:30:00,,11.0,33.8,33.0,33.4,30.366666666666664,31.1,"[29.5, 30.5, 31.1]",1.0,33.8,4.4,31.0,24.0,1.0,33.0,4.7,29.0,24.0
2023-05-30 10:45:00,,11.0,33.8,32.9,33.349999999999994,30.33333333333333,31.0,"[29.5, 30.5, 31.0]",1.0,33.8,4.5,31.0,24.0,1.0,32.9,4.7,29.0,24.0
2023-05-30 10:50:00,,11.0,33.9,32.7,33.3,30.33333333333333,31.0,"[29.5, 30.5, 31.0]",1.0,33.9,4.5,31.0,24.0,1.0,32.7,4.7,29.0,24.0
2023-05-30 10:55:00,,11.0,33.9,32.8,33.349999999999994,30.366666666666664,31.0,"[29.6, 30.5, 31.0]",1.0,33.9,4.5,31.0,24.0,1.0,32.8,4.7,29.0,24.0
2023-05-30 11:00:00,,11.0,33.9,32.8,33.349999999999994,30.366666666666664,31.0,"[29.6, 30.5, 31.0]",1.0,33.9,4.5,31.0,24.0,1.0,32.8,4.7,29.0,24.0
2023-05-30 11:05:00,,11.0,33.9,32.9,33.4,30.366666666666664,31.0,"[29.6, 30.5, 31.0]",1.0,33.9,4.5,31.0,24.0,1.0,32.9,4.7,29.0,24.0
2023-05-30 11:10:00,,11.0,33.9,32.9,33.4,30.366666666666664,31.0,"[29.6, 30.5, 31.0]",1.0,33.9,4.5,31.0,24.0,1.0,32.9,4.7,29.0,24.0
2023-05-30 11:15:00,,11.0,33.9,32.8,33.349999999999994,30.366666666666664,31.0,"[29.6, 30.5, 31.0]",1.0,33.9,4.4,31.0,24.0,1.0,32.8,4.5,29.0,24.0
2023-05-30 11:20:00,,11.0,34.0,32.8,33.4,30.4,31.0,"[29.7, 30.5, 31.0]",1.0,34.0,4.5,31.0,24.0,1.0,32.8,4.7,29.0,24.0
2023-05-30 11:25:00,,11.0,34.0,32.9,33.45,30.4,31.0,"[29.7, 30.5, 31.0]",1.0,34.0,4.6,31.0,24.0,1.0,32.9,4.7,29.0,24.0
2023-05-30 11:30:00,,11.0,34.0,32.9,33.45,30.366666666666664,31.0,"[29.6, 30.5, 31.0]",1.0,34.0,4.5,31.0,24.0,1.0,32.9,4.7,29.0,24.0
2023-05-30 11:35:00,,11.0,34.0,32.9,33.45,30.4,31.0,"[29.7, 30.5, 31.0]",1.0,34.0,4.5,31.0,24.0,1.0,32.9,4.8,29.0,24.0
2023-05-30 11:40:00,,11.0,34.0,32.9,33.45,30.433333333333334,31.1,"[29.7, 30.5, 31.1]",1.0,34.0,4.6,31.0,24.0,1.0,32.9,4.8,29.0,24.0
2023-05-30 11:45:00,,11.0,34.0,33.0,33.5,30.433333333333334,31.1,"[29.7, 30.5, 31.1]",1.0,34.0,4.5,31.0,24.0,1.0,33.0,4.8,29.0,24.0
2023-05-30 11:50:00,,11.0,34.1,33.1,33.6,30.433333333333334,31.1,"[29.7, 30.5, 31.1]",1.0,34.1,4.6,31.0,24.0,1.0,33.1,4.8,29.0,24.0
2023-05-30 11:55:00,,11.0,34.2,33.1,33.650000000000006,30.433333333333334,31.1,"[29.7, 30.5, 31.1]",1.0,34.2,4.5,31.0,24.0,1.0,33.1,4.8,29.0,24.0
2023-05-30 12:00:00,,11.0,34.2,33.1,33.650000000000006,30.46666666666667,31.1,"[29.7, 30.6, 31.1]",1.0,34.2,4.6,31.0,24.0,1.0,33.1,4.8,29.0,24.0
2023-05-30 12:05:00,,11.0,34.2,33.2,33.7,30.53333333333333,31.2,"[29.8, 30.6, 31.2]",1.0,34.2,4.6,31.0,24.0,1.0,33.2,4.7,29.0,24.0
2023-05-30 12:10:00,,11.0,34.3,33.2,33.75,30.5,31.1,"[29.8, 30.6, 31.1]",1.0,34.3,4.6,31.0,24.0,1.0,33.2,4.8,29.0,24.0
2023-05-30 12:15:00,,11.0,34.3,33.2,33.75,30.53333333333333,31.2,"[29.8, 30.6, 31.2]",1.0,34.3,4.6,31.0,24.0,1.0,33.2,4.8,29.0,24.0
2023-05-30 12:20:00,,11.0,34.4,33.3,33.849999999999994,30.566666666666663,31.2,"[29.9, 30.6, 31.2]",1.0,34.4,4.6,31.0,24.0,1.0,33.3,4.7,30.0,24.0
2023-05-30 12:25:00,,11.0,34.4,33.3,33.849999999999994,30.566666666666663,31.2,"[29.9, 30.6, 31.2]",1.0,34.4,4.6,31.0,24.0,1.0,33.3,4.6,29.0,24.0
