time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,567037_c,567037_h,567037_p,567037_r,567037_s,567038_c,567038_h,567038_p,567038_r,567038_s,567039_c,567039_h,567039_p,567039_r,567039_s
2023-05-30 09:05:00,,0.0,27.6,21.8,25.666666666666668,24.6,24.6,[24.6],1.0,27.6,3.2,27.8,26.0,1.0,27.6,13.2,27.8,26.0,1.0,21.8,12.8,27.7,26.0
2023-05-30 09:10:00,,51.6,27.7,21.9,25.766666666666666,24.4,24.4,[24.4],1.0,27.7,3.2,27.7,26.0,1.0,27.7,22.7,28.2,26.0,1.0,21.9,13.0,27.6,26.0
2023-05-30 09:15:00,,50.5,27.7,22.2,25.866666666666664,,,,1.0,27.7,3.2,27.0,26.0,1.0,27.7,22.4,28.2,26.0,1.0,22.2,22.8,27.5,26.0
2023-05-30 09:20:00,,51.1,27.4,22.2,25.666666666666668,25.4,25.4,[25.4],1.0,27.4,3.2,28.0,26.0,1.0,27.4,22.7,28.5,26.0,1.0,22.2,23.4,28.3,26.0
2023-05-30 09:25:00,,51.0,27.4,21.9,25.566666666666663,24.5,24.5,[24.5],1.0,27.4,3.3,26.8,26.0,1.0,27.4,22.8,27.3,26.0,1.0,21.9,22.8,27.4,26.0
2023-05-30 09:30:00,,51.0,27.4,21.9,25.566666666666663,25.0,25.0,[25.0],1.0,27.4,3.2,28.3,26.0,1.0,27.4,1.2,28.1,26.0,1.0,21.9,13.1,28.0,26.0
2023-05-30 09:35:00,,51.0,27.3,21.2,25.266666666666666,24.7,24.7,[24.7],1.0,27.3,3.3,27.0,26.0,1.0,27.3,22.5,27.5,26.0,1.0,21.2,22.7,27.4,26.0
2023-05-30 09:40:00,,50.7,27.3,21.1,25.23333333333333,25.1,25.1,[25.1],1.0,27.3,3.2,28.3,26.0,1.0,27.3,1.2,27.9,26.0,1.0,21.1,13.1,27.8,26.0
2023-05-30 09:45:00,,51.0,27.4,21.6,25.46666666666667,25.2,25.2,[25.2],1.0,27.4,3.2,27.4,26.0,1.0,27.4,22.6,27.7,26.0,1.0,21.6,22.7,27.4,26.0
2023-05-30 09:50:00,,50.8,27.4,20.8,25.2,25.1,25.1,[25.1],1.0,27.4,0.9,28.1,26.0,1.0,27.4,12.8,27.4,26.0,1.0,20.8,13.4,27.4,26.0
2023-05-30 09:55:00,,50.8,27.2,21.8,25.4,25.3,25.3,[25.3],1.0,27.2,3.2,27.4,26.0,1.0,27.2,22.7,27.9,26.0,1.0,21.8,13.0,27.7,26.0
2023-05-30 10:00:00,,50.900000000000006,27.3,22.1,25.566666666666663,24.4,24.4,[24.4],1.0,27.3,0.9,26.9,26.0,1.0,27.3,22.8,27.5,26.0,1.0,22.1,13.2,27.6,26.0
2023-05-30 10:05:00,,0.0,27.3,22.1,25.566666666666663,25.5,25.5,[25.5],1.0,27.3,3.2,28.7,26.0,1.0,27.3,1.2,28.1,26.0,1.0,22.1,22.0,28.3,26.0
2023-05-30 10:10:00,,50.8,27.3,22.4,25.666666666666668,25.1,25.1,[25.1],1.0,27.3,3.2,27.4,26.0,1.0,27.3,22.8,27.3,26.0,1.0,22.4,23.4,27.5,26.0
2023-05-30 10:15:00,,50.8,27.6,22.0,25.73333333333333,26.2,26.2,[26.2],1.0,27.6,3.2,28.0,26.0,1.0,27.6,12.9,27.8,26.0,1.0,22.0,13.0,27.6,26.0
2023-05-30 10:20:00,,50.900000000000006,27.8,21.3,25.633333333333336,25.8,25.8,[25.8],1.0,27.8,3.2,27.7,26.0,1.0,27.8,22.8,27.7,26.0,1.0,21.3,13.2,27.7,26.0
2023-05-30 10:25:00,,50.6,27.5,22.3,25.766666666666666,24.7,24.7,[24.7],1.0,27.5,3.2,27.2,26.0,1.0,27.5,22.6,27.7,26.0,1.0,22.3,13.1,27.6,26.0
2023-05-30 10:30:00,,50.8,27.3,22.4,25.666666666666668,24.9,24.9,[24.9],1.0,27.3,3.2,28.4,26.0,1.0,27.3,1.2,27.7,26.0,1.0,22.4,13.0,28.2,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,50.6,27.6,21.8,25.666666666666668,24.7,24.7,[24.7],1.0,27.6,3.2,27.7,26.0,1.0,27.6,13.4,27.7,26.0,1.0,21.8,13.1,27.6,26.0
2023-05-30 10:45:00,,50.7,27.6,21.8,25.666666666666668,24.5,24.5,[24.5],1.0,27.6,3.2,27.3,26.0,1.0,27.6,22.5,28.0,26.0,1.0,21.8,12.9,27.5,26.0
2023-05-30 10:50:00,,50.900000000000006,27.6,21.6,25.600000000000005,24.0,24.0,[24.0],1.0,27.6,0.9,27.7,26.0,1.0,27.6,22.7,27.0,26.0,1.0,21.6,13.2,27.2,26.0
2023-05-30 10:55:00,,51.0,27.1,23.2,25.8,25.1,25.1,[25.1],1.0,27.1,3.2,28.7,26.0,1.0,27.1,1.2,28.5,26.0,1.0,23.2,21.2,28.3,26.0
2023-05-30 11:00:00,,50.8,27.4,24.1,26.3,24.7,24.7,[24.7],1.0,27.4,3.3,27.1,26.0,1.0,27.4,22.9,27.7,26.0,1.0,24.1,23.0,27.6,26.0
2023-05-30 11:05:00,,0.0,26.9,22.2,25.33333333333333,24.8,24.8,[24.8],1.0,26.9,0.8,28.2,26.0,1.0,26.9,1.2,27.5,26.0,1.0,22.2,13.0,27.8,26.0
2023-05-30 11:10:00,,51.1,27.4,21.5,25.433333333333334,25.3,25.3,[25.3],1.0,27.4,3.2,27.3,26.0,1.0,27.4,23.0,27.7,26.0,1.0,21.5,23.0,27.5,26.0
2023-05-30 11:15:00,,50.7,27.1,20.5,24.9,24.9,24.9,[24.9],1.0,27.1,0.9,27.9,26.0,1.0,27.1,13.0,27.4,26.0,1.0,20.5,13.2,27.3,26.0
