time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1521727_c,1521727_h,1521727_p,1521727_r,1521727_s,1521728_c,1521728_h,1521728_p,1521728_r,1521728_s,1521729_c,1521729_h,1521729_p,1521729_r,1521729_s,1521730_c,1521730_h,1521730_p,1521730_r,1521730_s
2023-05-30 09:00:00,,,,,,,,,,,5.41,,,,,24.22,,,,,3.68,,,,,13.95,,
2023-05-30 09:10:00,,82.0,22.5,22.0,22.2,25.5,26.8,"[24.2, 26.8]",1.0,22.0,5.41,25.0,22.0,1.0,22.0,23.93,23.8,24.0,1.0,22.3,3.68,25.3,24.0,1.0,22.5,13.89,25.7,24.0
2023-05-30 09:15:00,,83.0,22.7,22.0,22.3,25.5,26.9,"[24.1, 26.9]",1.0,22.0,5.42,24.9,22.0,1.0,22.0,23.83,23.8,24.0,1.0,22.5,3.67,25.4,24.0,1.0,22.7,13.97,25.7,24.0
2023-05-30 09:20:00,,83.0,22.7,22.2,22.4,25.55,26.9,"[24.2, 26.9]",1.0,22.2,5.42,24.8,22.0,1.0,22.2,23.55,23.7,24.0,1.0,22.5,11.42,24.9,24.0,1.0,22.7,13.91,25.5,24.0
2023-05-30 09:25:00,,83.0,22.5,22.0,22.225,25.3,26.6,"[24.0, 26.6]",1.0,22.2,5.42,24.2,22.0,1.0,22.2,23.62,23.6,24.0,1.0,22.0,3.69,24.1,24.0,1.0,22.5,14.01,25.1,24.0
2023-05-30 09:30:00,,83.0,22.5,21.9,22.2,25.25,26.6,"[23.9, 26.6]",1.0,22.2,5.43,24.9,22.0,1.0,22.2,23.81,23.5,24.0,1.0,21.9,3.68,24.8,24.0,1.0,22.5,13.95,25.3,24.0
2023-05-30 09:35:00,,83.0,22.6,22.0,22.25,25.25,26.6,"[23.9, 26.6]",1.0,22.2,5.43,24.5,22.0,1.0,22.2,23.9,23.6,24.0,1.0,22.0,3.67,25.0,24.0,1.0,22.6,14.01,25.7,24.0
2023-05-30 09:40:00,,83.0,22.6,22.1,22.275,25.3,26.7,"[23.9, 26.7]",1.0,22.2,5.42,24.2,22.0,1.0,22.2,23.91,23.6,24.0,1.0,22.1,3.68,25.1,24.0,1.0,22.6,13.89,25.6,24.0
2023-05-30 09:45:00,,82.0,22.7,22.2,22.375,25.3,26.7,"[23.9, 26.7]",1.0,22.3,5.41,24.7,22.0,1.0,22.3,23.66,23.5,24.0,1.0,22.2,3.69,25.2,24.0,1.0,22.7,13.88,25.6,24.0
2023-05-30 09:50:00,,81.0,22.7,22.3,22.4,25.3,26.7,"[23.9, 26.7]",1.0,22.3,5.43,24.7,22.0,1.0,22.3,23.68,23.5,24.0,1.0,22.3,3.68,25.3,24.0,1.0,22.7,13.9,25.5,24.0
2023-05-30 09:55:00,,82.0,22.6,22.2,22.325000000000003,25.35,26.8,"[23.9, 26.8]",1.0,22.2,5.42,24.7,22.0,1.0,22.2,23.91,23.5,24.0,1.0,22.3,3.67,25.3,24.0,1.0,22.6,13.96,25.5,24.0
2023-05-30 10:10:00,,,22.7,22.2,22.375,25.3,26.8,"[23.8, 26.8]",1.0,22.2,5.42,24.3,22.0,1.0,22.2,24.04,23.5,24.0,1.0,22.4,3.66,25.4,24.0,1.0,22.7,13.98,25.7,24.0
2023-05-30 10:15:00,,81.0,22.7,21.6,22.175,25.2,26.7,"[23.7, 26.7]",1.0,22.2,5.41,24.6,22.0,1.0,22.2,23.79,23.4,24.0,1.0,21.6,11.79,24.5,24.0,1.0,22.7,13.98,25.1,24.0
2023-05-30 10:20:00,,81.0,22.3,21.0,21.925,24.950000000000003,26.3,"[23.6, 26.3]",1.0,22.2,5.41,24.4,22.0,1.0,22.2,24.14,23.4,24.0,1.0,21.0,3.68,24.7,24.0,1.0,22.3,13.92,25.1,24.0
2023-05-30 10:25:00,,83.0,22.3,21.3,21.9,24.9,26.3,"[23.5, 26.3]",1.0,22.0,5.43,24.4,22.0,1.0,22.0,23.87,23.4,24.0,1.0,21.3,3.67,25.0,24.0,1.0,22.3,13.98,25.3,24.0
2023-05-30 10:30:00,,82.0,22.3,21.3,21.9,25.0,26.4,"[23.6, 26.4]",1.0,22.0,5.42,24.6,22.0,1.0,22.0,23.81,23.3,24.0,1.0,21.3,3.68,25.1,24.0,1.0,22.3,14.01,25.3,24.0
2023-05-30 10:45:00,,83.0,22.5,22.1,22.225,25.05,26.6,"[23.5, 26.6]",1.0,22.1,5.42,24.7,22.0,1.0,22.1,24.23,23.3,24.0,1.0,22.2,3.68,25.3,24.0,1.0,22.5,14.03,25.6,24.0
2023-05-30 10:50:00,,83.0,22.6,22.1,22.275,25.1,26.6,"[23.6, 26.6]",1.0,22.1,5.42,24.3,22.0,1.0,22.1,24.24,23.4,24.0,1.0,22.3,3.67,25.3,24.0,1.0,22.6,14.03,25.5,24.0
2023-05-30 10:55:00,,83.0,22.7,22.1,22.325,25.1,26.7,"[23.5, 26.7]",1.0,22.1,5.43,24.4,22.0,1.0,22.1,24.22,23.3,24.0,1.0,22.4,3.67,25.4,24.0,1.0,22.7,14.01,25.5,24.0
2023-05-30 11:10:00,,82.0,23.3,21.9,22.5,25.15,26.5,"[23.8, 26.5]",1.0,22.4,5.42,24.9,24.0,1.0,22.4,14.31,23.6,26.0,1.0,21.9,3.67,25.2,26.0,1.0,23.3,5.25,25.8,26.0
2023-05-30 11:15:00,,83.0,24.6,22.4,23.375,25.8,27.2,"[24.4, 27.2]",1.0,22.4,5.4,25.9,24.0,1.0,22.4,14.38,24.1,26.0,1.0,24.1,3.67,26.0,26.0,1.0,24.6,5.23,26.4,26.0
2023-05-30 11:20:00,,84.0,25.8,24.2,25.0,26.700000000000003,28.1,"[25.3, 28.1]",1.0,24.2,5.4,26.4,24.0,1.0,24.2,24.2,24.7,26.0,1.0,25.8,3.64,26.6,26.0,1.0,25.8,5.23,27.1,26.0
2023-05-30 11:25:00,,83.0,26.7,24.2,25.45,27.15,28.6,"[25.7, 28.6]",1.0,24.2,5.4,26.6,24.0,1.0,24.2,24.47,24.5,26.0,1.0,26.7,3.65,27.1,26.0,1.0,26.7,13.22,27.7,26.0
2023-05-30 11:30:00,,84.0,26.9,24.6,25.75,27.25,29.0,"[25.5, 29.0]",1.0,24.6,5.4,26.4,24.0,1.0,24.6,24.32,24.3,26.0,1.0,26.9,3.65,27.0,26.0,1.0,26.9,13.85,27.9,26.0
2023-05-30 11:35:00,,83.0,27.0,24.0,25.475,27.3,29.1,"[25.5, 29.1]",1.0,24.0,5.4,26.0,25.0,1.0,24.0,14.69,24.3,27.0,1.0,26.9,3.64,27.1,27.0,1.0,27.0,14.05,27.6,27.0
2023-05-30 11:40:00,,83.0,26.2,23.2,24.45,27.15,28.8,"[25.5, 28.8]",1.0,23.2,5.41,25.9,23.0,1.0,23.2,24.29,24.3,25.0,1.0,25.2,12.25,25.7,25.0,1.0,26.2,23.67,26.8,25.0
2023-05-30 11:45:00,,83.0,24.5,22.5,23.25,26.6,28.0,"[25.2, 28.0]",1.0,22.5,5.41,25.4,23.0,1.0,22.5,24.67,24.1,25.0,1.0,23.5,3.67,25.6,25.0,1.0,24.5,14.12,26.2,25.0
2023-05-30 11:50:00,,83.0,24.4,21.1,22.6,26.3,27.7,"[24.9, 27.7]",1.0,21.1,5.41,25.2,22.0,1.0,21.1,24.8,24.0,24.0,1.0,23.8,12.12,25.0,24.0,1.0,24.4,22.23,26.1,24.0
2023-05-30 11:55:00,,84.0,23.6,21.1,22.125,25.8,27.2,"[24.4, 27.2]",1.0,21.1,5.43,24.7,22.0,1.0,21.1,24.91,23.9,24.0,1.0,22.7,3.7,24.3,24.0,1.0,23.6,14.15,24.8,24.0
2023-05-30 12:10:00,,83.0,24.1,19.9,21.875,25.6,27.3,"[23.9, 27.3]",1.0,19.9,5.42,24.5,22.0,1.0,19.9,24.43,23.6,24.0,1.0,23.6,12.06,24.7,24.0,1.0,24.1,14.04,25.9,24.0
2023-05-30 12:15:00,,82.0,23.6,19.8,21.5,25.35,27.0,"[23.7, 27.0]",1.0,19.8,5.42,24.1,22.0,1.0,19.8,24.39,23.5,24.0,1.0,22.8,12.35,24.5,24.0,1.0,23.6,14.1,25.3,24.0
2023-05-30 12:20:00,,82.0,23.3,19.7,21.375,25.200000000000003,26.8,"[23.6, 26.8]",1.0,19.7,5.42,24.2,22.0,1.0,19.7,24.7,23.5,24.0,1.0,22.8,3.68,24.9,24.0,1.0,23.3,14.26,25.6,24.0
2023-05-30 12:25:00,,82.0,23.8,19.6,21.7,25.35,27.1,"[23.6, 27.1]",1.0,19.6,5.4,24.3,22.0,1.0,19.6,25.22,23.5,24.0,1.0,23.8,3.66,25.2,24.0,1.0,23.8,14.28,25.9,24.0
2023-05-30 12:30:00,,83.0,24.4,19.6,21.950000000000003,25.35,27.2,"[23.5, 27.2]",1.0,19.6,5.42,24.2,22.0,1.0,19.6,25.11,23.5,24.0,1.0,24.2,12.14,24.8,24.0,1.0,24.4,14.25,25.8,24.0
2023-05-30 12:35:00,,81.0,24.4,19.5,21.85,25.2,27.0,"[23.4, 27.0]",1.0,19.5,5.41,24.0,22.0,1.0,19.5,24.34,23.3,24.0,1.0,24.0,12.27,24.5,24.0,1.0,24.4,14.19,25.3,24.0
