time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,10930_c,10930_p,10930_r,10930_s,1333000_c,1333000_h,1333000_p,1333000_r,1333000_s,600237_c,600237_h,600237_p,600237_r,600237_s
2023-05-30 09:05:00,,21.0,25.6,25.4,25.5,29.9,29.9,[29.9],1.0,0.3,22.0,23.0,1.0,25.6,3.5,24.6,23.0,1.0,25.4,4.2,24.0,23.0
2023-05-30 09:10:00,,21.0,25.3,25.1,25.200000000000003,29.8,29.8,[29.8],1.0,0.3,22.0,23.0,1.0,25.3,3.5,24.3,23.0,1.0,25.1,4.2,24.0,23.0
2023-05-30 09:15:00,,21.0,25.1,24.8,24.950000000000003,29.8,29.8,[29.8],1.0,0.3,21.0,23.0,1.0,25.1,3.4,24.0,23.0,1.0,24.8,4.1,23.0,23.0
2023-05-30 09:20:00,,21.0,24.8,24.7,24.75,29.7,29.7,[29.7],1.0,0.3,21.0,23.0,1.0,24.8,3.6,23.8,23.0,1.0,24.7,4.3,23.0,23.0
2023-05-30 09:25:00,,21.0,24.5,24.5,24.5,29.7,29.7,[29.7],1.0,0.3,21.0,23.0,1.0,24.5,3.6,23.6,23.0,1.0,24.5,4.3,23.0,23.0
2023-05-30 09:30:00,,21.0,24.4,24.3,24.35,29.7,29.7,[29.7],1.0,0.3,21.0,23.0,1.0,24.3,3.4,23.5,24.0,1.0,24.4,4.2,23.0,23.0
2023-05-30 09:35:00,,21.0,25.1,25.1,25.1,29.7,29.7,[29.7],1.0,,23.0,24.0,1.0,25.1,,25.3,24.0,1.0,25.1,,25.0,24.0
2023-05-30 09:40:00,,21.0,25.9,25.3,25.6,29.7,29.7,[29.7],1.0,0.3,23.0,24.0,1.0,25.9,3.4,26.1,24.0,1.0,25.3,4.2,24.0,24.0
2023-05-30 09:45:00,,21.0,26.7,25.3,26.0,29.8,29.8,[29.8],1.0,0.3,23.0,24.0,1.0,26.7,0.1,26.6,24.0,1.0,25.3,4.2,25.0,24.0
2023-05-30 09:50:00,,21.0,26.6,25.4,26.0,29.8,29.8,[29.8],1.0,0.3,23.0,24.0,1.0,26.6,0.1,25.2,24.0,1.0,25.4,4.2,24.0,24.0
2023-05-30 09:55:00,,21.0,26.1,25.3,25.700000000000003,29.9,29.9,[29.9],1.0,0.3,22.0,24.0,1.0,26.1,0.1,24.8,24.0,1.0,25.3,4.2,24.0,24.0
