time,outdoor_t,env_avg,env_h,env_list,525294_c,525294_r,525294_s,525295_c,525295_r,525295_s,525296_c,525296_r,525296_s,525297_c,525297_r,525297_s,525298_c,525298_r,525298_s,525299_c,525299_r,525299_s,525300_c,525300_r,525300_s,545800_c,545800_r,545800_s,545801_c,545801_r,545801_s,545802_c,545802_r,545802_s,545803_c,545803_r,545803_s,546713_c,546713_r,546713_s,546714_c,546714_r,546714_s,546715_c,546715_r,546715_s,546716_c,546716_r,546716_s,546717_c,546717_r,546717_s,546733_c,546733_r,546733_s,546734_c,546734_r,546734_s
2023-05-30 09:10:00,,22.166666666666668,42.8,"[20.3, 17.1, 15.2, 18.6, 19.0, 42.8]",1.0,24.7,26.0,1.0,26.2,26.0,1.0,25.8,26.0,1.0,25.4,26.0,1.0,25.2,26.0,1.0,26.6,26.0,1.0,26.4,26.0,1.0,25.4,25.0,1.0,24.8,25.0,1.0,22.4,25.0,1.0,23.2,25.0,1.0,23.8,26.0,1.0,24.8,25.0,1.0,27.8,25.0,1.0,25.2,25.0,1.0,23.9,25.0,1.0,23.0,25.0,1.0,24.6,25.0
2023-05-30 09:15:00,,22.21666666666667,42.5,"[20.7, 17.2, 15.1, 18.6, 19.2, 42.5]",1.0,24.7,26.0,1.0,26.2,26.0,1.0,25.8,26.0,1.0,25.1,26.0,1.0,24.5,26.0,1.0,25.9,26.0,1.0,25.6,26.0,1.0,25.4,25.0,1.0,24.8,25.0,1.0,22.4,25.0,1.0,23.2,25.0,1.0,23.8,26.0,1.0,24.8,25.0,1.0,27.8,25.0,1.0,25.1,25.0,1.0,23.7,25.0,1.0,22.9,25.0,1.0,24.8,25.0
2023-05-30 09:20:00,,22.316666666666663,42.9,"[21.0, 17.2, 15.0, 18.6, 19.2, 42.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 09:25:00,,22.516666666666666,44.1,"[21.1, 17.1, 14.9, 18.7, 19.2, 44.1]",1.0,24.8,26.0,1.0,26.0,26.0,1.0,25.7,26.0,1.0,25.0,26.0,1.0,24.2,26.0,1.0,25.9,26.0,1.0,25.5,26.0,1.0,25.3,25.0,1.0,25.1,25.0,1.0,22.5,25.0,1.0,23.4,25.0,1.0,23.5,26.0,1.0,24.6,25.0,1.0,28.2,25.0,1.0,25.1,25.0,1.0,23.8,25.0,1.0,23.1,25.0,1.0,25.0,25.0
2023-05-30 09:30:00,,22.616666666666664,44.7,"[21.3, 17.2, 14.9, 18.7, 18.9, 44.7]",1.0,23.8,26.0,1.0,25.8,26.0,1.0,25.4,26.0,1.0,25.0,26.0,1.0,24.5,26.0,1.0,25.6,26.0,1.0,25.4,26.0,1.0,25.4,25.0,1.0,25.5,25.0,1.0,22.6,25.0,1.0,23.5,25.0,1.0,23.4,26.0,1.0,24.6,25.0,1.0,27.4,25.0,1.0,25.1,25.0,1.0,23.7,25.0,1.0,23.1,25.0,1.0,25.1,25.0
2023-05-30 09:35:00,,22.96666666666667,46.2,"[21.4, 17.1, 14.9, 18.8, 19.4, 46.2]",1.0,23.8,26.0,1.0,25.8,26.0,1.0,25.4,26.0,1.0,25.0,26.0,1.0,24.5,26.0,1.0,25.6,26.0,1.0,25.4,26.0,1.0,25.4,25.0,1.0,25.5,25.0,1.0,22.6,25.0,1.0,23.5,25.0,1.0,23.4,26.0,1.0,24.6,25.0,1.0,27.4,25.0,1.0,25.1,25.0,1.0,23.7,25.0,1.0,23.1,25.0,1.0,25.2,25.0
2023-05-30 09:40:00,,23.15,46.3,"[21.5, 17.2, 14.9, 19.0, 20.0, 46.3]",1.0,23.8,26.0,1.0,25.8,26.0,1.0,25.4,26.0,1.0,25.0,26.0,1.0,24.5,26.0,1.0,25.6,26.0,1.0,25.4,26.0,1.0,25.2,25.0,1.0,25.7,25.0,1.0,22.7,25.0,1.0,23.7,25.0,1.0,23.4,26.0,1.0,24.6,25.0,1.0,27.4,25.0,1.0,25.1,25.0,1.0,23.7,25.0,1.0,23.1,25.0,1.0,25.2,25.0
2023-05-30 09:45:00,,23.183333333333334,45.8,"[21.6, 17.2, 15.0, 19.6, 19.9, 45.8]",1.0,23.7,26.0,1.0,25.6,26.0,1.0,25.3,26.0,1.0,25.4,26.0,1.0,25.2,26.0,1.0,25.9,26.0,1.0,25.4,26.0,1.0,25.2,25.0,1.0,25.7,25.0,1.0,22.7,25.0,1.0,23.7,25.0,1.0,23.5,26.0,1.0,24.7,25.0,1.0,27.3,25.0,1.0,25.1,25.0,1.0,23.8,25.0,1.0,23.2,25.0,1.0,25.4,25.0
2023-05-30 09:50:00,,23.23333333333333,45.0,"[21.7, 17.4, 15.1, 19.8, 20.4, 45.0]",1.0,23.7,26.0,1.0,25.6,26.0,1.0,25.3,26.0,1.0,25.4,26.0,1.0,25.2,26.0,1.0,25.9,26.0,1.0,25.4,26.0,1.0,25.2,25.0,1.0,25.7,25.0,1.0,22.7,25.0,1.0,23.7,25.0,1.0,23.5,26.0,1.0,24.7,25.0,1.0,27.3,25.0,1.0,25.4,25.0,1.0,23.9,25.0,1.0,23.2,25.0,1.0,25.4,25.0
2023-05-30 09:55:00,,23.21666666666667,44.7,"[21.8, 17.4, 15.1, 19.7, 20.6, 44.7]",1.0,24.7,26.0,1.0,26.0,26.0,1.0,26.0,26.0,1.0,25.8,26.0,1.0,25.4,26.0,1.0,26.1,26.0,1.0,25.7,26.0,1.0,25.7,25.0,1.0,26.0,25.0,1.0,23.2,25.0,1.0,24.2,25.0,1.0,23.8,26.0,1.0,25.0,25.0,1.0,28.0,25.0,1.0,25.4,25.0,1.0,23.9,25.0,1.0,23.2,25.0,1.0,25.4,25.0
