time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,10868_h,10877_c,10877_h,10877_r,10877_s,578757_c,578757_h,578757_r,578757_s
2023-05-30 09:10:00,,33.8,25.6,29.433333333333334,28.0,28.8,"[26.5, 28.7, 28.8]",33.8,1.0,28.9,29.0,25.0,1.0,25.6,27.0,23.0
2023-05-30 09:15:00,,33.8,25.6,29.46666666666667,28.1,29.0,"[26.5, 29.0, 28.8]",33.8,1.0,29.0,29.0,25.0,1.0,25.6,28.0,23.0
2023-05-30 09:20:00,,33.8,25.7,29.666666666666668,28.2,29.1,"[26.6, 29.1, 28.9]",33.8,1.0,29.5,27.0,25.0,1.0,25.7,28.0,23.0
2023-05-30 09:25:00,,33.7,25.7,29.53333333333333,27.96666666666667,28.8,"[26.5, 28.6, 28.8]",33.7,1.0,29.2,26.0,25.0,1.0,25.7,27.0,23.0
2023-05-30 09:30:00,,33.8,25.7,29.566666666666663,27.8,28.8,"[26.3, 28.3, 28.8]",33.8,1.0,29.2,26.0,25.0,1.0,25.7,27.0,23.0
2023-05-30 09:35:00,,33.8,25.6,29.46666666666667,27.73333333333333,28.7,"[26.2, 28.3, 28.7]",33.8,1.0,29.0,28.0,25.0,1.0,25.6,27.0,23.0
2023-05-30 09:40:00,,33.7,25.6,29.433333333333337,27.9,28.7,"[26.4, 28.6, 28.7]",33.7,1.0,29.0,29.0,25.0,1.0,25.6,28.0,23.0
2023-05-30 09:45:00,,33.7,25.6,29.600000000000005,28.066666666666663,28.9,"[26.5, 28.9, 28.8]",33.7,1.0,29.5,29.0,25.0,1.0,25.6,28.0,23.0
2023-05-30 09:50:00,,33.7,25.7,29.633333333333336,28.133333333333336,28.9,"[26.6, 28.9, 28.9]",33.7,1.0,29.5,27.0,25.0,1.0,25.7,28.0,23.0
2023-05-30 09:55:00,,33.7,25.7,29.633333333333336,27.96666666666667,28.8,"[26.5, 28.6, 28.8]",33.7,1.0,29.5,26.0,25.0,1.0,25.7,27.0,23.0
2023-05-30 10:00:00,,33.7,25.6,29.46666666666667,27.766666666666666,28.7,"[26.3, 28.3, 28.7]",33.7,1.0,29.1,26.0,25.0,1.0,25.6,27.0,23.0
2023-05-30 10:05:00,,33.7,25.6,29.4,27.766666666666666,28.7,"[26.3, 28.3, 28.7]",33.7,1.0,28.9,28.0,25.0,1.0,25.6,27.0,23.0
2023-05-30 10:10:00,,33.7,25.6,29.4,27.866666666666664,28.7,"[26.3, 28.6, 28.7]",33.7,1.0,28.9,28.0,25.0,1.0,25.6,27.0,23.0
2023-05-30 10:15:00,,33.7,25.6,29.566666666666663,28.03333333333333,28.9,"[26.4, 28.9, 28.8]",33.7,1.0,29.4,29.0,25.0,1.0,25.6,28.0,23.0
