time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,713867_c,713867_r,713867_s,713868_c,713868_h,713868_r,713868_s,713870_c,713870_h,713870_r,713870_s,713871_c,713871_h,713871_r,713871_s,713872_c,713872_h,713872_r,713872_s
2023-05-30 09:10:00,,32.0,28.6,30.3,26.95,27.4,"[26.5, 27.4]",1.0,26.0,27.0,1.0,28.6,27.0,27.0,1.0,28.6,27.0,26.0,1.0,32.0,28.0,27.0,1.0,32.0,27.0,26.0
2023-05-30 09:15:00,,32.0,28.6,30.325,26.65,27.3,"[26.0, 27.3]",1.0,26.0,27.0,1.0,28.7,27.0,27.0,1.0,28.6,26.0,26.0,1.0,32.0,27.0,26.0,1.0,32.0,26.0,26.0
2023-05-30 09:20:00,,31.9,28.4,30.200000000000003,26.450000000000003,27.3,"[25.6, 27.3]",1.0,26.0,27.0,1.0,28.6,27.0,27.0,1.0,28.4,26.0,26.0,1.0,31.9,27.0,26.0,1.0,31.9,26.0,26.0
2023-05-30 09:25:00,,31.8,28.2,30.05,26.3,27.3,"[25.3, 27.3]",1.0,27.0,27.0,1.0,28.4,27.0,27.0,1.0,28.2,27.0,26.0,1.0,31.8,27.0,26.0,1.0,31.8,26.0,26.0
2023-05-30 09:30:00,,31.8,28.0,29.95,26.3,27.2,"[25.4, 27.2]",1.0,26.0,28.0,1.0,28.2,27.0,28.0,1.0,28.0,26.0,27.0,1.0,31.8,27.0,27.0,1.0,31.8,25.0,27.0
2023-05-30 09:35:00,,31.6,27.9,29.825,26.75,27.2,"[26.3, 27.2]",1.0,27.0,28.0,1.0,28.2,28.0,28.0,1.0,27.9,27.0,27.0,1.0,31.6,28.0,27.0,1.0,31.6,27.0,27.0
2023-05-30 09:40:00,,31.5,28.0,29.8,26.5,27.3,"[25.7, 27.3]",1.0,27.0,28.0,1.0,28.2,27.0,28.0,1.0,28.0,28.0,27.0,1.0,31.5,27.0,27.0,1.0,31.5,26.0,27.0
2023-05-30 09:45:00,,31.2,28.1,29.675,27.05,27.3,"[26.8, 27.3]",1.0,27.0,28.0,1.0,28.2,28.0,28.0,1.0,28.1,27.0,27.0,1.0,31.2,28.0,27.0,1.0,31.2,27.0,27.0
2023-05-30 09:50:00,,31.4,28.3,29.85,26.8,27.4,"[26.2, 27.4]",1.0,27.0,28.0,1.0,28.3,28.0,28.0,1.0,28.3,28.0,27.0,1.0,31.4,28.0,27.0,1.0,31.4,27.0,27.0
2023-05-30 09:55:00,,31.5,28.4,29.95,26.65,27.4,"[25.9, 27.4]",1.0,27.0,28.0,1.0,28.4,27.0,28.0,1.0,28.4,27.0,27.0,1.0,31.5,28.0,27.0,1.0,31.5,26.0,27.0
