time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3237702_c,3237702_h,3237702_r,3237702_s,915254_c,915254_r,915254_s
2023-05-30 09:05:00,,41.9,41.9,41.9,28.3,28.3,[28.3],1.0,41.9,27.0,26.0,1.0,25.0,25.0
2023-05-30 09:10:00,,41.9,41.9,41.9,28.3,28.3,[28.3],1.0,41.9,28.0,26.0,1.0,26.0,25.0
2023-05-30 09:15:00,,41.9,41.9,41.9,28.4,28.4,[28.4],1.0,41.9,27.0,26.0,1.0,25.0,25.0
2023-05-30 09:20:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-30 09:25:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,27.0,26.0,1.0,26.0,25.0
2023-05-30 09:30:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,27.0,26.0,1.0,26.0,25.0
2023-05-30 09:35:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-30 09:40:00,,41.9,41.9,41.9,28.3,28.3,[28.3],1.0,41.9,27.0,26.0,1.0,25.0,25.0
2023-05-30 09:45:00,,41.8,41.8,41.8,28.2,28.2,[28.2],1.0,41.8,27.0,26.0,1.0,26.0,25.0
2023-05-30 09:50:00,,41.9,41.9,41.9,28.3,28.3,[28.3],1.0,41.9,27.0,26.0,1.0,26.0,25.0
2023-05-30 09:55:00,,41.9,41.9,41.9,28.3,28.3,[28.3],1.0,41.9,27.0,26.0,1.0,25.0,25.0
2023-05-30 10:00:00,,41.9,41.9,41.9,28.3,28.3,[28.3],1.0,41.9,28.0,26.0,1.0,27.0,25.0
2023-05-30 10:05:00,,41.9,41.9,41.9,28.3,28.3,[28.3],1.0,41.9,27.0,26.0,1.0,26.0,25.0
2023-05-30 10:10:00,,41.9,41.9,41.9,28.3,28.3,[28.3],1.0,41.9,27.0,26.0,1.0,25.0,25.0
2023-05-30 10:15:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-30 10:20:00,,42.0,42.0,42.0,28.2,28.2,[28.2],1.0,42.0,28.0,26.0,1.0,27.0,25.0
2023-05-30 10:25:00,,41.9,41.9,41.9,28.4,28.4,[28.4],1.0,41.9,27.0,26.0,1.0,26.0,25.0
2023-05-30 10:30:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,27.0,26.0,1.0,25.0,25.0
2023-05-30 10:35:00,,,,,,,,,,,,,,
2023-05-30 10:40:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,28.0,26.0,1.0,27.0,25.0
2023-05-30 10:45:00,,,,,28.3,28.3,[28.3],1.0,,27.0,26.0,1.0,26.0,25.0
2023-05-30 10:50:00,,42.0,42.0,42.0,28.3,28.3,[28.3],1.0,42.0,27.0,26.0,1.0,25.0,25.0
