time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1089633_c,1089633_h,1089633_p,1089633_r,1089633_s,3807133_c,3807133_h,3807133_p,3807133_r,3807133_s,680878_c,680878_p,680878_r,680878_s
2023-05-30 09:00:00,,,,,,,,,,,0.2,,,,,2.8,,,,0.2,,
2023-05-30 09:05:00,,,31.3,27.5,29.4,27.4,27.4,[27.4],1.0,31.3,3.3,27.0,26.0,1.0,27.5,0.1,27.0,26.0,1.0,0.2,27.0,25.0
2023-05-30 09:10:00,,,31.2,27.9,29.55,27.6,27.6,[27.6],1.0,31.2,3.2,26.0,26.0,1.0,27.9,0.1,28.0,26.0,1.0,0.2,28.0,25.0
2023-05-30 09:15:00,,,31.0,28.0,29.5,27.6,27.6,[27.6],1.0,31.0,0.2,27.0,26.0,1.0,28.0,3.0,25.0,26.0,1.0,1.8,28.0,25.0
2023-05-30 09:20:00,,,31.0,28.0,29.5,27.5,27.5,[27.5],1.0,31.0,0.2,27.0,26.0,1.0,28.0,3.0,25.0,26.0,1.0,1.8,28.0,25.0
2023-05-30 09:25:00,,,31.0,27.9,29.45,27.4,27.4,[27.4],1.0,31.0,3.3,27.0,26.0,1.0,27.9,3.0,24.0,26.0,1.0,0.2,28.0,25.0
2023-05-30 09:30:00,,,31.2,27.8,29.5,27.3,27.3,[27.3],1.0,31.2,3.3,26.0,26.0,1.0,27.8,3.0,25.0,26.0,1.0,0.2,28.0,25.0
2023-05-30 09:35:00,,,31.1,27.7,29.4,27.1,27.1,[27.1],1.0,31.1,0.2,27.0,26.0,1.0,27.7,3.0,25.0,26.0,1.0,1.5,27.0,25.0
2023-05-30 09:40:00,,,31.1,27.7,29.4,27.0,27.0,[27.0],1.0,31.1,0.2,27.0,26.0,1.0,27.7,3.0,25.0,26.0,1.0,1.8,27.0,25.0
2023-05-30 09:45:00,,,31.3,27.6,29.450000000000003,26.8,26.8,[26.8],1.0,31.3,0.2,27.0,26.0,1.0,27.6,3.0,24.0,26.0,1.0,0.2,27.0,25.0
2023-05-30 09:50:00,,,31.3,27.5,29.4,26.7,26.7,[26.7],1.0,31.3,3.3,26.0,26.0,1.0,27.5,3.0,24.0,26.0,1.0,0.2,27.0,25.0
2023-05-30 09:55:00,,,31.1,27.3,29.200000000000003,26.6,26.6,[26.6],1.0,31.1,0.2,26.0,26.0,1.0,27.3,3.0,24.0,26.0,1.0,0.2,26.0,25.0
2023-05-30 10:00:00,,,31.1,27.2,29.15,,,,1.0,31.1,0.2,27.0,26.0,1.0,27.2,3.0,26.0,26.0,1.0,1.8,26.0,25.0
2023-05-30 10:05:00,,,31.1,27.2,29.15,27.0,27.0,[27.0],1.0,31.1,0.2,27.0,26.0,1.0,27.2,0.1,28.0,26.0,1.0,0.2,28.0,25.0
2023-05-30 10:10:00,,,31.2,27.6,29.4,27.3,27.3,[27.3],1.0,31.2,3.3,27.0,26.0,1.0,27.6,3.0,26.0,26.0,1.0,0.2,28.0,25.0
2023-05-30 10:15:00,,,31.3,28.0,29.65,27.2,27.2,[27.2],1.0,31.3,0.2,27.0,26.0,1.0,28.0,3.1,25.0,26.0,1.0,0.2,27.0,25.0
2023-05-30 10:20:00,,,31.1,28.1,29.6,27.0,27.0,[27.0],1.0,31.1,0.2,27.0,26.0,1.0,28.1,3.1,25.0,26.0,1.0,0.2,27.0,25.0
2023-05-30 10:25:00,,,31.2,28.0,29.6,26.9,26.9,[26.9],1.0,31.2,0.2,27.0,26.0,1.0,28.0,3.2,25.0,26.0,1.0,0.2,27.0,25.0
2023-05-30 10:30:00,,,31.5,27.6,29.55,26.7,26.7,[26.7],1.0,31.5,3.4,27.0,28.0,1.0,27.6,3.2,24.0,26.0,1.0,1.8,27.0,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,,31.3,27.9,29.6,27.2,27.2,[27.2],1.0,31.3,0.2,27.0,28.0,1.0,27.9,0.1,28.0,28.0,1.0,1.8,28.0,26.0
2023-05-30 10:45:00,,,31.3,28.5,29.9,27.6,27.6,[27.6],1.0,31.3,0.2,27.0,28.0,1.0,28.5,0.1,29.0,28.0,1.0,0.2,29.0,26.0
2023-05-30 10:50:00,,,31.4,29.1,30.25,28.1,28.1,[28.1],1.0,31.4,0.2,28.0,28.0,1.0,29.1,0.1,30.0,28.0,1.0,1.8,29.0,26.0
2023-05-30 10:55:00,,,31.9,29.1,30.5,28.4,28.4,[28.4],1.0,31.9,0.2,28.0,26.0,1.0,29.1,0.4,30.0,28.0,1.0,0.2,29.0,25.0
2023-05-30 11:00:00,,,31.9,29.4,30.65,,,,1.0,31.9,0.2,28.0,26.0,1.0,29.4,3.1,28.0,26.0,1.0,0.2,29.0,25.0
2023-05-30 11:05:00,,,31.9,29.4,30.65,28.1,28.1,[28.1],1.0,31.9,3.4,26.0,26.0,1.0,29.4,3.2,26.0,26.0,1.0,0.2,28.0,25.0
2023-05-30 11:10:00,,,31.5,29.2,30.35,27.9,27.9,[27.9],1.0,31.5,0.2,27.0,26.0,1.0,29.2,3.2,26.0,26.0,1.0,0.2,28.0,25.0
2023-05-30 11:15:00,,,31.4,28.9,30.15,27.7,27.7,[27.7],1.0,31.4,0.2,27.0,26.0,1.0,28.9,3.2,25.0,26.0,1.0,0.2,27.0,25.0
2023-05-30 11:20:00,,,31.4,28.6,30.0,27.5,27.5,[27.5],1.0,31.4,3.5,27.0,26.0,1.0,28.6,3.1,25.0,26.0,1.0,0.2,27.0,25.0
2023-05-30 11:25:00,,,31.4,28.6,30.0,27.3,27.3,[27.3],1.0,31.4,3.5,26.0,26.0,1.0,28.6,3.2,25.0,26.0,1.0,0.2,27.0,25.0
2023-05-30 11:30:00,,,31.3,28.4,29.85,27.1,27.1,[27.1],1.0,31.3,0.2,27.0,26.0,1.0,28.4,3.3,25.0,26.0,1.0,1.9,27.0,25.0
2023-05-30 11:35:00,,,31.1,27.9,29.5,27.0,27.0,[27.0],1.0,31.1,0.2,27.0,26.0,1.0,27.9,3.3,25.0,26.0,1.0,1.9,26.0,25.0
2023-05-30 11:40:00,,,31.3,27.9,29.6,26.9,26.9,[26.9],1.0,31.3,3.5,27.0,26.0,1.0,27.9,3.3,24.0,26.0,1.0,1.5,26.0,25.0
2023-05-30 11:45:00,,,31.1,27.6,29.35,26.8,26.8,[26.8],1.0,31.1,3.5,26.0,26.0,1.0,27.6,3.2,24.0,26.0,1.0,1.8,26.0,25.0
2023-05-30 11:50:00,,,31.1,27.6,29.35,26.7,26.7,[26.7],1.0,31.1,0.2,26.0,26.0,1.0,27.6,3.2,24.0,26.0,1.0,0.2,26.0,25.0
2023-05-30 11:55:00,,,31.0,27.3,29.15,26.6,26.6,[26.6],1.0,31.0,0.2,27.0,26.0,1.0,27.3,3.2,24.0,26.0,1.0,0.2,26.0,25.0
2023-05-30 12:00:00,,,31.0,27.3,29.15,,,,1.0,31.0,0.2,27.0,26.0,1.0,27.3,3.2,24.0,26.0,1.0,0.2,26.0,25.0
2023-05-30 12:05:00,,,31.0,27.3,29.15,26.9,26.9,[26.9],1.0,31.0,3.5,27.0,26.0,1.0,27.3,0.1,27.0,26.0,1.0,0.2,27.0,25.0
2023-05-30 12:10:00,,,31.2,27.5,29.35,27.3,27.3,[27.3],1.0,31.2,0.2,27.0,26.0,1.0,27.5,3.6,27.0,26.0,1.0,0.2,27.0,25.0
2023-05-30 12:15:00,,,30.9,28.1,29.5,27.3,27.3,[27.3],1.0,30.9,0.2,27.0,26.0,1.0,28.1,3.2,25.0,26.0,1.0,1.8,27.0,25.0
2023-05-30 12:20:00,,,30.9,28.1,29.5,27.1,27.1,[27.1],1.0,30.9,3.8,27.0,26.0,1.0,28.1,3.2,25.0,26.0,1.0,1.9,27.0,25.0
2023-05-30 12:25:00,,,31.1,28.1,29.6,27.0,27.0,[27.0],1.0,31.1,3.5,26.0,26.0,1.0,28.1,3.3,25.0,26.0,1.0,0.2,26.0,25.0
2023-05-30 12:30:00,,,31.1,27.7,29.4,26.9,26.9,[26.9],1.0,31.1,0.2,27.0,26.0,1.0,27.7,3.3,24.0,26.0,1.0,0.2,26.0,25.0
2023-05-30 12:35:00,,,30.9,27.7,29.3,26.8,26.8,[26.8],1.0,30.9,0.2,27.0,26.0,1.0,27.7,3.3,24.0,26.0,1.0,0.2,26.0,25.0
2023-05-30 12:40:00,,,30.9,27.6,29.25,26.7,26.7,[26.7],1.0,30.9,3.6,27.0,26.0,1.0,27.6,3.2,24.0,26.0,1.0,0.2,27.0,25.0
2023-05-30 12:45:00,,,31.0,27.3,29.15,26.6,26.6,[26.6],1.0,31.0,0.2,26.0,26.0,1.0,27.3,3.3,24.0,26.0,1.0,0.2,26.0,25.0
