time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3806845_c,3806845_h,3806845_p,3806845_r,3806845_s,3806846_c,3806846_h,3806846_p,3806846_r,3806846_s,3806847_c,3806847_h,3806847_p,3806847_r,3806847_s,3806848_c,3806848_h,3806848_p,3806848_r,3806848_s
2023-05-30 09:05:00,,,34.6,24.3,29.45,29.0,29.0,[29.0],1.0,24.3,0.2,24.0,25.0,1.0,34.6,3.4,26.0,25.0,1.0,34.6,0.2,24.0,25.0,1.0,24.3,3.1,24.0,24.0
2023-05-30 09:10:00,,,34.2,24.3,29.25,28.8,28.8,[28.8],1.0,24.3,3.2,26.0,25.0,1.0,34.2,3.3,25.0,25.0,1.0,34.2,0.2,23.0,24.0,1.0,24.3,3.1,24.0,24.0
2023-05-30 09:15:00,,,34.0,23.5,28.75,28.6,28.6,[28.6],1.0,23.5,0.2,26.0,25.0,1.0,34.0,0.2,25.0,25.0,1.0,34.0,0.2,22.0,24.0,1.0,23.5,2.9,24.0,24.0
2023-05-30 09:20:00,,,34.0,23.5,28.75,28.5,28.5,[28.5],1.0,23.5,0.2,26.0,25.0,1.0,34.0,3.2,26.0,25.0,1.0,34.0,0.2,22.0,24.0,1.0,23.5,2.9,24.0,24.0
2023-05-30 09:25:00,,,33.9,23.6,28.75,28.5,28.5,[28.5],1.0,23.6,0.2,26.0,25.0,1.0,33.9,0.3,27.0,25.0,1.0,33.9,0.2,23.0,24.0,1.0,23.6,3.2,25.0,24.0
2023-05-30 09:30:00,,,33.9,23.7,28.8,28.7,28.7,[28.7],1.0,23.7,0.2,26.0,25.0,1.0,33.9,0.3,27.0,25.0,1.0,33.9,0.2,23.0,24.0,1.0,23.7,2.9,25.0,24.0
2023-05-30 09:35:00,,,34.0,23.8,28.9,28.8,28.8,[28.8],1.0,23.8,0.2,26.0,26.0,1.0,34.0,0.3,27.0,26.0,1.0,34.0,0.2,23.0,25.0,1.0,23.8,2.9,25.0,25.0
2023-05-30 09:40:00,,,34.1,23.9,29.0,28.8,28.8,[28.8],1.0,23.9,0.3,27.0,26.0,1.0,34.1,0.3,28.0,26.0,1.0,34.1,0.2,23.0,25.0,1.0,23.9,2.7,24.0,25.0
2023-05-30 09:45:00,,,34.4,24.1,29.25,28.9,28.9,[28.9],1.0,24.1,0.3,27.0,26.0,1.0,34.4,0.3,28.0,26.0,1.0,34.4,0.2,23.0,25.0,1.0,24.1,2.7,24.0,25.0
2023-05-30 09:50:00,,,34.4,24.2,29.3,29.0,29.0,[29.0],1.0,24.2,0.3,27.0,26.0,1.0,34.4,3.3,27.0,26.0,1.0,34.4,0.2,23.0,25.0,1.0,24.2,2.7,25.0,25.0
2023-05-30 09:55:00,,,34.5,24.1,29.3,28.8,28.8,[28.8],1.0,24.1,0.3,26.0,26.0,1.0,34.5,0.2,27.0,26.0,1.0,34.5,0.2,23.0,25.0,1.0,24.1,2.9,25.0,25.0
2023-05-30 10:00:00,,,34.2,24.0,29.1,28.7,28.7,[28.7],1.0,24.0,0.3,26.0,26.0,1.0,34.2,3.4,25.0,26.0,1.0,34.2,0.2,23.0,25.0,1.0,24.0,2.7,25.0,25.0
2023-05-30 10:05:00,,,34.1,24.0,29.05,28.7,28.7,[28.7],1.0,24.0,0.3,27.0,26.0,1.0,34.1,0.3,27.0,26.0,1.0,34.1,0.2,23.0,25.0,1.0,24.0,2.4,24.0,25.0
2023-05-30 10:10:00,,,34.0,24.0,29.0,28.7,28.7,[28.7],1.0,24.0,0.3,27.0,27.0,1.0,34.0,0.3,28.0,26.0,1.0,34.0,0.2,24.0,26.0,1.0,24.0,2.7,24.0,25.0
2023-05-30 10:15:00,,,34.4,24.3,29.35,28.9,28.9,[28.9],1.0,24.3,0.3,27.0,27.0,1.0,34.4,0.3,28.0,26.0,1.0,34.4,0.2,24.0,26.0,1.0,24.3,2.4,24.0,26.0
2023-05-30 10:20:00,,,34.5,24.3,29.4,28.9,28.9,[28.9],1.0,24.3,0.3,27.0,27.0,1.0,34.5,0.3,27.0,26.0,1.0,34.5,0.2,24.0,26.0,1.0,24.3,2.4,25.0,26.0
2023-05-30 10:25:00,,,34.5,24.3,29.4,28.8,28.8,[28.8],1.0,24.3,0.3,26.0,27.0,1.0,34.5,3.4,26.0,26.0,1.0,34.5,0.2,23.0,26.0,1.0,24.3,2.7,25.0,26.0
2023-05-30 10:30:00,,,34.3,24.2,29.25,28.7,28.7,[28.7],1.0,24.2,0.3,26.0,27.0,1.0,34.3,3.3,26.0,26.0,1.0,34.3,0.2,23.0,26.0,1.0,24.2,2.5,25.0,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,,34.2,24.2,29.200000000000003,28.8,28.8,[28.8],1.0,24.2,0.3,28.0,28.0,1.0,34.2,0.3,29.0,27.0,1.0,34.2,0.2,26.0,27.0,1.0,24.2,0.1,27.0,27.0
