time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,893169_c,893169_h,893169_p,893169_r,893169_s
2023-05-30 09:10:00,,16.700000000000003,36.8,36.8,36.8,30.25,30.5,"[30.0, 30.5]",1.0,36.8,3.1,26.0,25.0
2023-05-30 09:15:00,,9.4,36.3,36.3,36.3,30.1,30.4,"[29.8, 30.4]",1.0,36.3,0.2,29.0,25.0
2023-05-30 09:20:00,,9.5,36.3,36.3,36.3,30.25,30.5,"[30.0, 30.5]",1.0,36.3,0.2,30.0,25.0
2023-05-30 09:25:00,,9.6,36.5,36.5,36.5,30.45,30.7,"[30.2, 30.7]",1.0,36.5,0.2,31.0,25.0
2023-05-30 09:30:00,,17.0,36.8,36.8,36.8,30.55,30.8,"[30.3, 30.8]",1.0,36.8,3.3,28.0,25.0
2023-05-30 09:35:00,,16.799999999999997,36.8,36.8,36.8,30.45,30.7,"[30.2, 30.7]",1.0,36.8,3.2,27.0,25.0
2023-05-30 09:40:00,,17.5,36.8,36.8,36.8,30.25,30.5,"[30.0, 30.5]",1.0,36.8,3.0,26.0,25.0
2023-05-30 09:45:00,,9.8,36.4,36.4,36.4,30.1,30.4,"[29.8, 30.4]",1.0,36.4,0.2,29.0,25.0
2023-05-30 09:50:00,,10.0,36.1,36.1,36.1,30.25,30.5,"[30.0, 30.5]",1.0,36.1,0.2,30.0,25.0
2023-05-30 09:55:00,,9.6,36.7,36.7,36.7,30.5,30.7,"[30.3, 30.7]",1.0,36.7,0.2,31.0,25.0
2023-05-30 10:00:00,,17.1,36.8,36.8,36.8,30.6,30.8,"[30.4, 30.8]",1.0,36.8,3.2,31.0,25.0
2023-05-30 10:15:00,,9.7,36.1,36.1,36.1,30.15,30.4,"[29.9, 30.4]",1.0,36.1,0.2,29.0,25.0
2023-05-30 10:20:00,,10.1,36.1,36.1,36.1,30.25,30.5,"[30.0, 30.5]",1.0,36.1,0.2,30.0,25.0
2023-05-30 10:25:00,,9.4,36.2,36.2,36.2,30.45,30.7,"[30.2, 30.7]",1.0,36.2,0.2,31.0,25.0
2023-05-30 10:30:00,,17.3,36.5,36.5,36.5,30.6,30.8,"[30.4, 30.8]",1.0,36.5,3.4,28.0,25.0
2023-05-30 10:45:00,,9.9,36.0,36.0,36.0,30.2,30.5,"[29.9, 30.5]",1.0,36.0,0.2,29.0,25.0
2023-05-30 10:50:00,,9.8,35.9,35.9,35.9,30.3,30.6,"[30.0, 30.6]",1.0,35.9,0.2,30.0,25.0
2023-05-30 10:55:00,,9.7,36.1,36.1,36.1,30.5,30.7,"[30.3, 30.7]",1.0,36.1,0.2,31.0,25.0
2023-05-30 11:00:00,,17.6,36.7,36.7,36.7,30.55,30.8,"[30.3, 30.8]",1.0,36.7,3.5,31.0,25.0
2023-05-30 11:05:00,,10.1,36.7,36.7,36.7,30.5,30.7,"[30.3, 30.7]",1.0,36.7,0.2,28.0,25.0
2023-05-30 11:10:00,,16.799999999999997,36.7,36.7,36.7,30.3,30.6,"[30.0, 30.6]",1.0,36.7,3.4,26.0,25.0
2023-05-30 11:15:00,,9.6,36.0,36.0,36.0,30.2,30.5,"[29.9, 30.5]",1.0,36.0,0.2,29.0,25.0
2023-05-30 11:20:00,,9.7,35.9,35.9,35.9,30.3,30.6,"[30.0, 30.6]",1.0,35.9,0.2,30.0,25.0
2023-05-30 11:25:00,,9.9,36.2,36.2,36.2,30.55,30.8,"[30.3, 30.8]",1.0,36.2,0.2,31.0,25.0
2023-05-30 11:30:00,,17.4,36.5,36.5,36.5,30.6,30.9,"[30.3, 30.9]",1.0,36.5,3.5,28.0,25.0
2023-05-30 11:35:00,,17.4,36.4,36.4,36.4,30.5,30.7,"[30.3, 30.7]",1.0,36.4,3.4,27.0,25.0
2023-05-30 11:40:00,,17.8,36.0,36.0,36.0,30.3,30.6,"[30.0, 30.6]",1.0,36.0,3.4,27.0,25.0
2023-05-30 11:45:00,,9.6,36.0,36.0,36.0,30.25,30.6,"[29.9, 30.6]",1.0,36.0,0.2,29.0,25.0
2023-05-30 11:50:00,,10.2,36.0,36.0,36.0,30.35,30.7,"[30.0, 30.7]",1.0,36.0,0.2,30.0,25.0
2023-05-30 11:55:00,,9.9,36.5,36.5,36.5,30.55,30.8,"[30.3, 30.8]",1.0,36.5,0.2,31.0,25.0
2023-05-30 12:00:00,,17.4,36.7,36.7,36.7,30.7,31.0,"[30.4, 31.0]",1.0,36.7,3.4,31.0,25.0
2023-05-30 12:05:00,,17.1,36.7,36.7,36.7,30.5,30.8,"[30.2, 30.8]",1.0,36.7,3.4,27.0,25.0
2023-05-30 12:10:00,,17.1,36.4,36.4,36.4,30.4,30.7,"[30.1, 30.7]",1.0,36.4,3.3,26.0,25.0
2023-05-30 12:15:00,,17.3,36.1,36.1,36.1,30.25,30.6,"[29.9, 30.6]",1.0,36.1,0.2,27.0,25.0
2023-05-30 12:20:00,,17.1,35.9,35.9,35.9,30.25,30.6,"[29.9, 30.6]",1.0,35.9,0.2,27.0,25.0
2023-05-30 12:25:00,,17.4,36.0,36.0,36.0,30.3,30.7,"[29.9, 30.7]",1.0,36.0,0.2,27.0,25.0
2023-05-30 12:30:00,,17.3,36.1,36.1,36.1,30.3,30.7,"[29.9, 30.7]",1.0,36.1,3.3,27.0,25.0
2023-05-30 12:35:00,,17.0,36.1,36.1,36.1,30.200000000000003,30.6,"[29.8, 30.6]",1.0,36.1,3.3,26.0,25.0
2023-05-30 12:40:00,,16.9,35.5,35.5,35.5,30.05,30.4,"[29.7, 30.4]",1.0,35.5,0.2,27.0,25.0
2023-05-30 12:45:00,,9.6,35.5,35.5,35.5,30.1,30.5,"[29.7, 30.5]",1.0,35.5,0.2,29.0,25.0
2023-05-30 12:50:00,,9.9,35.7,35.7,35.7,30.25,30.6,"[29.9, 30.6]",1.0,35.7,0.2,30.0,25.0
2023-05-30 12:55:00,,16.9,36.3,36.3,36.3,30.450000000000003,30.8,"[30.1, 30.8]",1.0,36.3,3.4,31.0,25.0
2023-05-30 13:00:00,,17.1,36.3,36.3,36.3,30.6,30.9,"[30.3, 30.9]",1.0,36.3,3.4,28.0,25.0
2023-05-30 13:05:00,,17.2,36.5,36.5,36.5,30.5,30.8,"[30.2, 30.8]",1.0,36.5,3.4,27.0,25.0
2023-05-30 13:10:00,,16.9,35.9,35.9,35.9,30.35,30.7,"[30.0, 30.7]",1.0,35.9,3.3,26.0,25.0
2023-05-30 13:15:00,,17.9,35.9,35.9,35.9,30.200000000000003,30.6,"[29.8, 30.6]",1.0,35.9,0.2,27.0,25.0
2023-05-30 13:20:00,,17.4,35.9,35.9,35.9,30.15,30.6,"[29.7, 30.6]",1.0,35.9,0.2,27.0,25.0
2023-05-30 13:25:00,,17.4,35.9,35.9,35.9,30.25,30.7,"[29.8, 30.7]",1.0,35.9,0.2,27.0,25.0
2023-05-30 13:30:00,,17.3,36.0,36.0,36.0,30.3,30.7,"[29.9, 30.7]",1.0,36.0,3.4,27.0,25.0
2023-05-30 13:35:00,,17.5,35.7,35.7,35.7,30.200000000000003,30.6,"[29.8, 30.6]",1.0,35.7,3.3,26.0,25.0
2023-05-30 13:40:00,,9.6,35.7,35.7,35.7,30.05,30.5,"[29.6, 30.5]",1.0,35.7,3.4,26.0,25.0
2023-05-30 13:45:00,,9.4,35.5,35.5,35.5,30.05,30.5,"[29.6, 30.5]",1.0,35.5,0.2,29.0,25.0
2023-05-30 13:50:00,,9.3,35.5,35.5,35.5,30.15,30.6,"[29.7, 30.6]",1.0,35.5,0.2,30.0,25.0
2023-05-30 13:55:00,,9.5,36.2,36.2,36.2,30.450000000000003,30.8,"[30.1, 30.8]",1.0,36.2,0.2,30.0,25.0
2023-05-30 14:00:00,,17.6,36.2,36.2,36.2,30.5,30.9,"[30.1, 30.9]",1.0,36.2,3.4,28.0,25.0
2023-05-30 14:05:00,,0.0,36.0,36.0,36.0,30.4,30.8,"[30.0, 30.8]",1.0,36.0,,27.0,25.0
2023-05-30 14:10:00,,9.9,35.7,35.7,35.7,30.25,30.7,"[29.8, 30.7]",1.0,35.7,3.6,27.0,25.0
2023-05-30 14:15:00,,9.6,35.8,35.8,35.8,30.25,30.7,"[29.8, 30.7]",1.0,35.8,0.2,29.0,25.0
2023-05-30 14:20:00,,9.4,36.1,36.1,36.1,30.35,30.8,"[29.9, 30.8]",1.0,36.1,0.2,30.0,25.0
2023-05-30 14:25:00,,9.8,36.2,36.2,36.2,30.6,31.0,"[30.2, 31.0]",1.0,36.2,0.2,30.0,25.0
2023-05-30 14:30:00,,17.6,36.5,36.5,36.5,30.65,31.1,"[30.2, 31.1]",1.0,36.5,3.5,28.0,25.0
2023-05-30 14:35:00,,17.4,36.3,36.3,36.3,30.55,30.9,"[30.2, 30.9]",1.0,36.3,3.4,27.0,25.0
2023-05-30 14:40:00,,17.6,36.3,36.3,36.3,30.4,30.8,"[30.0, 30.8]",1.0,36.3,3.4,27.0,25.0
2023-05-30 14:45:00,,16.9,35.9,35.9,35.9,30.25,30.7,"[29.8, 30.7]",1.0,35.9,0.2,27.0,25.0
2023-05-30 14:50:00,,17.2,35.9,35.9,35.9,30.2,30.7,"[29.7, 30.7]",1.0,35.9,0.2,27.0,25.0
2023-05-30 14:55:00,,18.0,35.9,35.9,35.9,30.3,30.8,"[29.8, 30.8]",1.0,35.9,0.2,28.0,25.0
2023-05-30 15:00:00,,17.5,36.1,36.1,36.1,30.35,30.8,"[29.9, 30.8]",1.0,36.1,3.4,27.0,25.0
2023-05-30 15:05:00,,0.0,36.1,36.1,36.1,30.25,30.7,"[29.8, 30.7]",1.0,36.1,,27.0,25.0
2023-05-30 15:10:00,,13.7,35.8,35.8,35.8,30.15,30.6,"[29.7, 30.6]",1.0,35.8,0.2,26.0,25.0
2023-05-30 15:15:00,,9.7,35.6,35.6,35.6,30.1,30.6,"[29.6, 30.6]",1.0,35.6,0.2,29.0,25.0
2023-05-30 15:20:00,,9.6,35.6,35.6,35.6,30.3,30.8,"[29.8, 30.8]",1.0,35.6,0.2,30.0,25.0
2023-05-30 15:25:00,,9.5,36.3,36.3,36.3,30.5,30.9,"[30.1, 30.9]",1.0,36.3,0.2,30.0,25.0
2023-05-30 15:30:00,,17.5,36.3,36.3,36.3,30.6,31.0,"[30.2, 31.0]",1.0,36.3,3.6,28.0,25.0
2023-05-30 15:35:00,,17.3,36.4,36.4,36.4,30.450000000000003,30.8,"[30.1, 30.8]",1.0,36.4,3.6,27.0,25.0
2023-05-30 15:40:00,,17.8,35.8,35.8,35.8,30.3,30.7,"[29.9, 30.7]",1.0,35.8,0.6,27.0,25.0
2023-05-30 15:45:00,,17.4,35.8,35.8,35.8,30.2,30.7,"[29.7, 30.7]",1.0,35.8,0.2,27.0,25.0
2023-05-30 15:50:00,,17.4,35.7,35.7,35.7,30.2,30.7,"[29.7, 30.7]",1.0,35.7,0.2,28.0,25.0
2023-05-30 15:55:00,,17.4,35.8,35.8,35.8,30.3,30.8,"[29.8, 30.8]",1.0,35.8,0.2,28.0,25.0
2023-05-30 16:00:00,,17.2,36.0,36.0,36.0,30.3,30.8,"[29.8, 30.8]",1.0,36.0,3.4,27.0,25.0
2023-05-30 16:05:00,,9.2,35.7,35.7,35.7,30.25,30.7,"[29.8, 30.7]",1.0,35.7,,26.0,25.0
2023-05-30 16:10:00,,9.4,35.4,35.4,35.4,30.15,30.6,"[29.7, 30.6]",1.0,35.4,3.5,26.0,25.0
2023-05-30 16:15:00,,9.6,35.6,35.6,35.6,30.15,30.6,"[29.7, 30.6]",1.0,35.6,0.2,29.0,25.0
2023-05-30 16:20:00,,9.8,35.6,35.6,35.6,30.35,30.8,"[29.9, 30.8]",1.0,35.6,0.2,31.0,25.0
2023-05-30 16:25:00,,17.2,36.0,36.0,36.0,30.55,30.9,"[30.2, 30.9]",1.0,36.0,3.6,30.0,25.0
2023-05-30 16:30:00,,17.3,36.3,36.3,36.3,30.6,31.0,"[30.2, 31.0]",1.0,36.3,3.5,28.0,25.0
2023-05-30 16:35:00,,17.4,36.4,36.4,36.4,30.5,30.9,"[30.1, 30.9]",1.0,36.4,3.6,27.0,25.0
2023-05-30 16:40:00,,17.4,36.1,36.1,36.1,30.35,30.8,"[29.9, 30.8]",1.0,36.1,3.6,27.0,25.0
