time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3806253_c,3806253_h,3806253_p,3806253_r,3806253_s
2023-05-30 09:00:00,,,,,,,,,,,1.9,,
2023-05-30 09:05:00,,,31.7,31.7,31.7,26.6,26.6,[26.6],1.0,31.7,1.9,25.0,24.0
2023-05-30 09:10:00,,,31.6,31.6,31.6,27.1,27.1,[27.1],1.0,31.6,1.9,25.0,24.0
2023-05-30 09:15:00,,,31.6,31.6,31.6,26.7,26.7,[26.7],1.0,31.6,1.9,25.0,24.0
2023-05-30 09:20:00,,,31.5,31.5,31.5,26.7,26.7,[26.7],1.0,31.5,1.9,25.0,24.0
2023-05-30 09:25:00,,,31.6,31.6,31.6,26.8,26.8,[26.8],1.0,31.6,1.9,25.0,24.0
2023-05-30 09:30:00,,,31.6,31.6,31.6,26.6,26.6,[26.6],1.0,31.6,1.9,25.0,24.0
2023-05-30 09:35:00,,,31.6,31.6,31.6,27.1,27.1,[27.1],1.0,31.6,1.9,25.0,24.0
2023-05-30 09:40:00,,,31.6,31.6,31.6,26.6,26.6,[26.6],1.0,31.6,1.9,25.0,24.0
2023-05-30 09:45:00,,,31.6,31.6,31.6,27.0,27.0,[27.0],1.0,31.6,,25.0,24.0
2023-05-30 09:50:00,,,31.6,31.6,31.6,26.8,26.8,[26.8],1.0,31.6,1.95,25.0,24.0
2023-05-30 09:55:00,,,31.5,31.5,31.5,26.8,26.8,[26.8],1.0,31.5,2.0,25.0,24.0
2023-05-30 10:00:00,,,31.6,31.6,31.6,27.0,27.0,[27.0],1.0,31.6,1.9,25.0,24.0
2023-05-30 10:05:00,,,31.6,31.6,31.6,26.5,26.5,[26.5],1.0,31.6,2.0,25.0,24.0
2023-05-30 10:10:00,,,31.5,31.5,31.5,27.1,27.1,[27.1],1.0,31.5,1.9,25.0,24.0
2023-05-30 10:15:00,,,31.6,31.6,31.6,26.5,26.5,[26.5],1.0,31.6,,25.0,24.0
2023-05-30 10:20:00,,,31.6,31.6,31.6,27.1,27.1,[27.1],1.0,31.6,2.0,25.0,24.0
2023-05-30 10:25:00,,,31.6,31.6,31.6,26.8,26.8,[26.8],1.0,31.6,1.9,25.0,24.0
2023-05-30 10:30:00,,,,,,,,,,,,,
2023-05-30 10:35:00,,,,,,,,,,,,,
2023-05-30 10:40:00,,,31.6,31.6,31.6,26.7,26.7,[26.7],1.0,31.6,2.0,25.0,24.0
2023-05-30 10:45:00,,,31.6,31.6,31.6,27.2,27.2,[27.2],1.0,31.6,2.0,25.0,24.0
2023-05-30 10:50:00,,,31.6,31.6,31.6,26.7,26.7,[26.7],1.0,31.6,2.0,25.0,24.0
2023-05-30 10:55:00,,,31.6,31.6,31.6,27.0,27.0,[27.0],1.0,31.6,2.0,25.0,24.0
2023-05-30 11:00:00,,,31.7,31.7,31.7,27.0,27.0,[27.0],1.0,31.7,2.0,25.0,24.0
2023-05-30 11:05:00,,,31.7,31.7,31.7,26.7,26.7,[26.7],1.0,31.7,2.0,25.0,24.0
2023-05-30 11:10:00,,,31.6,31.6,31.6,27.0,27.0,[27.0],1.0,31.6,,25.0,24.0
2023-05-30 11:15:00,,,31.7,31.7,31.7,26.6,26.6,[26.6],1.0,31.7,2.0,25.0,24.0
2023-05-30 11:20:00,,,31.7,31.7,31.7,27.2,27.2,[27.2],1.0,31.7,2.0,25.0,24.0
2023-05-30 11:25:00,,,31.7,31.7,31.7,26.7,26.7,[26.7],1.0,31.7,2.0,25.0,24.0
2023-05-30 11:30:00,,,31.7,31.7,31.7,27.1,27.1,[27.1],1.0,31.7,2.0,25.0,24.0
2023-05-30 11:35:00,,,31.7,31.7,31.7,26.9,26.9,[26.9],1.0,31.7,2.0,25.0,24.0
2023-05-30 11:40:00,,,31.7,31.7,31.7,26.9,26.9,[26.9],1.0,31.7,2.0,25.0,24.0
2023-05-30 11:45:00,,,31.8,31.8,31.8,27.0,27.0,[27.0],1.0,31.8,,25.0,24.0
2023-05-30 11:50:00,,,31.8,31.8,31.8,26.8,26.8,[26.8],1.0,31.8,2.0,25.0,24.0
2023-05-30 11:55:00,,,31.7,31.7,31.7,27.2,27.2,[27.2],1.0,31.7,2.0,25.0,24.0
2023-05-30 12:00:00,,,31.8,31.8,31.8,26.8,26.8,[26.8],1.0,31.8,2.0,25.0,24.0
2023-05-30 12:05:00,,,31.7,31.7,31.7,27.3,27.3,[27.3],1.0,31.7,2.0,25.0,24.0
2023-05-30 12:10:00,,,31.8,31.8,31.8,26.9,26.9,[26.9],1.0,31.8,2.0,25.0,24.0
2023-05-30 12:15:00,,,31.8,31.8,31.8,27.0,27.0,[27.0],1.0,31.8,2.0,25.0,24.0
2023-05-30 12:20:00,,,31.7,31.7,31.7,27.1,27.1,[27.1],1.0,31.7,2.0,25.0,24.0
2023-05-30 12:25:00,,,31.8,31.8,31.8,26.8,26.8,[26.8],1.0,31.8,2.0,25.0,24.0
2023-05-30 12:30:00,,,31.7,31.7,31.7,27.2,27.2,[27.2],1.0,31.7,2.0,25.0,24.0
2023-05-30 12:35:00,,,31.8,31.8,31.8,26.8,26.8,[26.8],1.0,31.8,2.0,25.0,24.0
2023-05-30 12:40:00,,,31.8,31.8,31.8,27.4,27.4,[27.4],1.0,31.8,2.0,25.0,24.0
2023-05-30 12:45:00,,,31.8,31.8,31.8,26.9,26.9,[26.9],1.0,31.8,2.0,25.0,24.0
2023-05-30 12:50:00,,,31.9,31.9,31.9,27.3,27.3,[27.3],1.0,31.9,2.0,25.0,24.0
2023-05-30 12:55:00,,,31.9,31.9,31.9,27.0,27.0,[27.0],1.0,31.9,2.0,25.0,24.0
2023-05-30 13:00:00,,,31.9,31.9,31.9,27.1,27.1,[27.1],1.0,31.9,2.0,25.0,24.0
2023-05-30 13:05:00,,,31.8,31.8,31.8,27.1,27.1,[27.1],1.0,31.8,2.0,25.0,24.0
2023-05-30 13:10:00,,,31.7,31.7,31.7,27.0,27.0,[27.0],1.0,31.7,2.0,25.0,24.0
2023-05-30 13:15:00,,,31.8,31.8,31.8,27.1,27.1,[27.1],1.0,31.8,,25.0,24.0
2023-05-30 13:20:00,,,31.8,31.8,31.8,27.0,27.0,[27.0],1.0,31.8,2.0,25.0,24.0
2023-05-30 13:25:00,,,31.8,31.8,31.8,27.4,27.4,[27.4],1.0,31.8,2.0,25.0,24.0
2023-05-30 13:30:00,,,31.9,31.9,31.9,27.0,27.0,[27.0],1.0,31.9,,25.0,24.0
2023-05-30 13:35:00,,,31.9,31.9,31.9,27.5,27.5,[27.5],1.0,31.9,2.0,25.0,24.0
2023-05-30 13:40:00,,,31.9,31.9,31.9,27.1,27.1,[27.1],1.0,31.9,2.0,25.0,24.0
2023-05-30 13:45:00,,,32.0,32.0,32.0,27.5,27.5,[27.5],1.0,32.0,2.0,25.0,24.0
2023-05-30 13:50:00,,,32.0,32.0,32.0,27.2,27.2,[27.2],1.0,32.0,2.0,25.0,24.0
2023-05-30 13:55:00,,,32.0,32.0,32.0,27.4,27.4,[27.4],1.0,32.0,2.0,25.0,24.0
2023-05-30 14:00:00,,,31.9,31.9,31.9,27.4,27.4,[27.4],1.0,31.9,2.0,25.0,24.0
2023-05-30 14:05:00,,,31.9,31.9,31.9,27.3,27.3,[27.3],1.0,31.9,2.0,25.0,24.0
2023-05-30 14:10:00,,,31.9,31.9,31.9,27.3,27.3,[27.3],1.0,31.9,,25.0,24.0
2023-05-30 14:15:00,,,32.0,32.0,32.0,27.3,27.3,[27.3],1.0,32.0,2.0,25.0,24.0
2023-05-30 14:20:00,,,32.0,32.0,32.0,27.4,27.4,[27.4],1.0,32.0,2.0,25.0,24.0
2023-05-30 14:25:00,,,32.0,32.0,32.0,27.3,27.3,[27.3],1.0,32.0,2.0,25.0,24.0
2023-05-30 14:30:00,,,32.1,32.1,32.1,27.5,27.5,[27.5],1.0,32.1,2.0,25.0,24.0
2023-05-30 14:35:00,,,32.1,32.1,32.1,27.1,27.1,[27.1],1.0,32.1,2.0,25.0,24.0
2023-05-30 14:40:00,,,32.0,32.0,32.0,27.6,27.6,[27.6],1.0,32.0,2.0,25.0,24.0
2023-05-30 14:45:00,,,32.0,32.0,32.0,27.1,27.1,[27.1],1.0,32.0,,25.0,24.0
2023-05-30 14:50:00,,,32.0,32.0,32.0,27.6,27.6,[27.6],1.0,32.0,2.0,25.0,24.0
2023-05-30 14:55:00,,,32.0,32.0,32.0,27.1,27.1,[27.1],1.0,32.0,2.0,25.0,24.0
2023-05-30 15:00:00,,,32.0,32.0,32.0,27.5,27.5,[27.5],1.0,32.0,,25.0,24.0
2023-05-30 15:05:00,,,32.1,32.1,32.1,27.3,27.3,[27.3],1.0,32.1,2.0,24.0,24.0
2023-05-30 15:10:00,,,32.1,32.1,32.1,27.4,27.4,[27.4],1.0,32.1,2.0,25.0,24.0
2023-05-30 15:15:00,,,32.1,32.1,32.1,27.3,27.3,[27.3],1.0,32.1,2.0,24.0,24.0
2023-05-30 15:20:00,,,32.1,32.1,32.1,27.5,27.5,[27.5],1.0,32.1,2.0,25.0,24.0
2023-05-30 15:25:00,,,32.1,32.1,32.1,27.5,27.5,[27.5],1.0,32.1,2.0,24.0,24.0
2023-05-30 15:30:00,,,32.1,32.1,32.1,27.5,27.5,[27.5],1.0,32.1,2.0,24.0,24.0
2023-05-30 15:35:00,,,32.1,32.1,32.1,27.4,27.4,[27.4],1.0,32.1,,24.0,24.0
2023-05-30 15:40:00,,,32.2,32.2,32.2,27.3,27.3,[27.3],1.0,32.2,2.0,25.0,24.0
2023-05-30 15:45:00,,,32.2,32.2,32.2,27.7,27.7,[27.7],1.0,32.2,2.0,25.0,24.0
2023-05-30 15:50:00,,,32.2,32.2,32.2,27.3,27.3,[27.3],1.0,32.2,2.0,24.0,24.0
2023-05-30 15:55:00,,,32.1,32.1,32.1,27.7,27.7,[27.7],1.0,32.1,,25.0,24.0
2023-05-30 16:00:00,,,32.2,32.2,32.2,27.4,27.4,[27.4],1.0,32.2,2.1,24.0,24.0
2023-05-30 16:05:00,,,32.2,32.2,32.2,27.8,27.8,[27.8],1.0,32.2,2.0,25.0,24.0
2023-05-30 16:10:00,,,32.2,32.2,32.2,27.5,27.5,[27.5],1.0,32.2,2.1,24.0,24.0
2023-05-30 16:15:00,,,32.2,32.2,32.2,27.8,27.8,[27.8],1.0,32.2,2.0,25.0,24.0
2023-05-30 16:20:00,,,32.2,32.2,32.2,27.4,27.4,[27.4],1.0,32.2,2.1,24.0,24.0
2023-05-30 16:25:00,,,32.2,32.2,32.2,27.9,27.9,[27.9],1.0,32.2,2.0,25.0,24.0
2023-05-30 16:30:00,,,32.2,32.2,32.2,27.4,27.4,[27.4],1.0,32.2,2.0,24.0,24.0
2023-05-30 16:35:00,,,32.2,32.2,32.2,27.9,27.9,[27.9],1.0,32.2,,25.0,24.0
2023-05-30 16:40:00,,,32.2,32.2,32.2,27.5,27.5,[27.5],1.0,32.2,2.05,24.0,24.0
2023-05-30 16:45:00,,,32.2,32.2,32.2,27.9,27.9,[27.9],1.0,32.2,2.0,25.0,24.0
2023-05-30 16:50:00,,,32.3,32.3,32.3,27.5,27.5,[27.5],1.0,32.3,2.0,24.0,24.0
2023-05-30 16:55:00,,,32.3,32.3,32.3,27.9,27.9,[27.9],1.0,32.3,,25.0,24.0
2023-05-30 17:00:00,,,32.3,32.3,32.3,27.6,27.6,[27.6],1.0,32.3,2.1,25.0,24.0
2023-05-30 17:05:00,,,32.3,32.3,32.3,27.9,27.9,[27.9],1.0,32.3,2.1,25.0,24.0
2023-05-30 17:10:00,,,32.2,32.2,32.2,27.7,27.7,[27.7],1.0,32.2,2.1,25.0,24.0
2023-05-30 17:15:00,,,32.3,32.3,32.3,27.7,27.7,[27.7],1.0,32.3,2.1,26.0,24.0
2023-05-30 17:20:00,,,32.3,32.3,32.3,27.7,27.7,[27.7],1.0,32.3,2.1,25.0,24.0
2023-05-30 17:25:00,,,32.3,32.3,32.3,27.7,27.7,[27.7],1.0,32.3,2.1,25.0,24.0
2023-05-30 17:30:00,,,32.3,32.3,32.3,27.7,27.7,[27.7],1.0,32.3,2.1,25.0,24.0
2023-05-30 17:35:00,,,32.4,32.4,32.4,27.8,27.8,[27.8],1.0,32.4,2.1,25.0,24.0
2023-05-30 17:40:00,,,32.4,32.4,32.4,27.7,27.7,[27.7],1.0,32.4,2.1,25.0,24.0
2023-05-30 17:45:00,,,32.4,32.4,32.4,27.7,27.7,[27.7],1.0,32.4,2.1,25.0,24.0
2023-05-30 17:50:00,,,32.4,32.4,32.4,27.8,27.8,[27.8],1.0,32.4,2.0,25.0,24.0
2023-05-30 17:55:00,,,32.4,32.4,32.4,27.5,27.5,[27.5],1.0,32.4,2.1,25.0,24.0
2023-05-30 18:00:00,,,32.4,32.4,32.4,27.9,27.9,[27.9],1.0,32.4,2.1,25.0,24.0
2023-05-30 18:05:00,,,32.4,32.4,32.4,27.7,27.7,[27.7],1.0,32.4,2.0,25.0,24.0
2023-05-30 18:10:00,,,32.4,32.4,32.4,27.9,27.9,[27.9],1.0,32.4,2.1,25.0,24.0
