time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3795232_c,3795232_h,3795232_r,3795232_s
2023-05-30 09:05:00,,0.0,30.4,30.4,30.4,27.6,27.6,[27.6],1.0,30.4,25.5,26.0
2023-05-30 09:10:00,,0.0,30.7,30.7,30.7,27.8,27.8,[27.8],1.0,30.7,25.8,26.0
2023-05-30 09:15:00,,0.0,30.9,30.9,30.9,28.1,28.1,[28.1],1.0,30.9,25.9,26.0
2023-05-30 09:20:00,,0.0,31.4,31.4,31.4,28.3,28.3,[28.3],1.0,31.4,25.9,26.0
2023-05-30 09:25:00,,0.0,31.7,31.7,31.7,28.4,28.4,[28.4],1.0,31.7,26.3,26.0
2023-05-30 09:30:00,,0.0,31.8,31.8,31.8,28.3,28.3,[28.3],1.0,31.8,25.7,26.0
2023-05-30 09:35:00,,0.0,31.8,31.8,31.8,27.3,27.3,[27.3],1.0,31.8,25.5,26.0
2023-05-30 09:40:00,,0.0,31.7,31.7,31.7,26.6,26.6,[26.6],1.0,31.7,25.4,26.0
2023-05-30 09:45:00,,0.0,31.6,31.6,31.6,26.4,26.4,[26.4],1.0,31.6,25.4,26.0
2023-05-30 09:50:00,,0.0,31.6,31.6,31.6,26.1,26.1,[26.1],1.0,31.6,24.8,26.0
2023-05-30 09:55:00,,0.0,31.4,31.4,31.4,25.8,25.8,[25.8],1.0,31.4,24.8,26.0
2023-05-30 10:00:00,,0.0,31.1,31.1,31.1,25.5,25.5,[25.5],1.0,31.1,24.5,26.0
2023-05-30 10:05:00,,0.0,30.7,30.7,30.7,25.3,25.3,[25.3],1.0,30.7,24.2,26.0
2023-05-30 10:10:00,,0.0,30.7,30.7,30.7,25.0,25.0,[25.0],1.0,30.7,24.1,26.0
2023-05-30 10:15:00,,0.0,30.2,30.2,30.2,24.8,24.8,[24.8],1.0,30.2,23.9,26.0
2023-05-30 10:20:00,,0.0,29.9,29.9,29.9,24.6,24.6,[24.6],1.0,29.9,23.8,26.0
2023-05-30 10:25:00,,0.0,29.9,29.9,29.9,24.5,24.5,[24.5],1.0,29.9,23.6,26.0
2023-05-30 10:30:00,,0.0,29.7,29.7,29.7,24.3,24.3,[24.3],1.0,29.7,23.6,26.0
2023-05-30 10:35:00,,,,,,,,,,,,
2023-05-30 10:40:00,,0.0,29.1,29.1,29.1,24.0,24.0,[24.0],1.0,29.1,23.4,26.0
2023-05-30 10:45:00,,0.0,29.1,29.1,29.1,23.9,23.9,[23.9],1.0,29.1,23.0,26.0
2023-05-30 10:50:00,,0.0,28.9,28.9,28.9,23.7,23.7,[23.7],1.0,28.9,23.0,26.0
2023-05-30 10:55:00,,0.0,28.5,28.5,28.5,23.6,23.6,[23.6],1.0,28.5,23.0,26.0
2023-05-30 11:00:00,,0.0,28.3,28.3,28.3,23.5,23.5,[23.5],1.0,28.3,22.9,26.0
2023-05-30 11:05:00,,0.0,28.3,28.3,28.3,23.4,23.4,[23.4],1.0,28.3,22.8,26.0
2023-05-30 11:10:00,,0.0,28.1,28.1,28.1,23.5,23.5,[23.5],1.0,28.1,23.2,26.0
2023-05-30 11:15:00,,0.0,28.0,28.0,28.0,23.4,23.4,[23.4],1.0,28.0,22.8,26.0
2023-05-30 11:20:00,,0.0,28.0,28.0,28.0,23.3,23.3,[23.3],1.0,28.0,22.6,26.0
2023-05-30 11:25:00,,0.0,27.8,27.8,27.8,23.4,23.4,[23.4],1.0,27.8,23.1,26.0
2023-05-30 11:30:00,,0.0,27.7,27.7,27.7,23.3,23.3,[23.3],1.0,27.7,22.6,26.0
2023-05-30 11:35:00,,0.0,27.7,27.7,27.7,23.3,23.3,[23.3],1.0,27.7,23.1,26.0
2023-05-30 11:40:00,,0.0,27.7,27.7,27.7,23.3,23.3,[23.3],1.0,27.7,22.6,26.0
2023-05-30 11:45:00,,0.0,27.7,27.7,27.7,23.2,23.2,[23.2],1.0,27.7,22.3,26.0
2023-05-30 11:50:00,,0.0,27.6,27.6,27.6,23.3,23.3,[23.3],1.0,27.6,22.5,26.0
2023-05-30 11:55:00,,0.0,27.6,27.6,27.6,23.3,23.3,[23.3],1.0,27.6,22.9,26.0
2023-05-30 12:00:00,,0.0,27.6,27.6,27.6,23.1,23.1,[23.1],1.0,27.6,21.9,26.0
2023-05-30 12:05:00,,0.0,27.4,27.4,27.4,22.8,22.8,[22.8],1.0,27.4,21.8,26.0
2023-05-30 12:10:00,,0.0,27.4,27.4,27.4,22.9,22.9,[22.9],1.0,27.4,22.1,26.0
2023-05-30 12:15:00,,0.0,27.4,27.4,27.4,22.7,22.7,[22.7],1.0,27.4,22.0,26.0
2023-05-30 12:20:00,,0.0,27.3,27.3,27.3,22.8,22.8,[22.8],1.0,27.3,22.2,26.0
2023-05-30 12:25:00,,0.0,27.3,27.3,27.3,23.2,23.2,[23.2],1.0,27.3,22.7,26.0
2023-05-30 12:30:00,,0.0,27.4,27.4,27.4,23.7,23.7,[23.7],1.0,27.4,23.1,26.0
2023-05-30 12:35:00,,0.0,27.7,27.7,27.7,24.0,24.0,[24.0],1.0,27.7,23.3,26.0
2023-05-30 12:40:00,,0.0,27.9,27.9,27.9,24.5,24.5,[24.5],1.0,27.9,23.3,26.0
2023-05-30 12:45:00,,0.0,28.1,28.1,28.1,24.9,24.9,[24.9],1.0,28.1,24.0,26.0
2023-05-30 12:50:00,,0.0,28.4,28.4,28.4,25.3,25.3,[25.3],1.0,28.4,24.3,26.0
2023-05-30 12:55:00,,0.0,29.0,29.0,29.0,25.8,25.8,[25.8],1.0,29.0,24.5,26.0
2023-05-30 13:00:00,,0.0,29.0,29.0,29.0,26.1,26.1,[26.1],1.0,29.0,25.0,26.0
2023-05-30 13:05:00,,0.0,29.7,29.7,29.7,26.5,26.5,[26.5],1.0,29.7,25.0,26.0
2023-05-30 13:10:00,,0.0,30.0,30.0,30.0,26.8,26.8,[26.8],1.0,30.0,25.2,26.0
2023-05-30 13:15:00,,0.0,30.3,30.3,30.3,27.1,27.1,[27.1],1.0,30.3,25.4,26.0
2023-05-30 13:20:00,,0.0,30.3,30.3,30.3,27.4,27.4,[27.4],1.0,30.3,25.3,26.0
2023-05-30 13:25:00,,0.0,30.9,30.9,30.9,27.6,27.6,[27.6],1.0,30.9,26.0,26.0
2023-05-30 13:30:00,,0.0,31.1,31.1,31.1,27.8,27.8,[27.8],1.0,31.1,25.8,26.0
2023-05-30 13:35:00,,0.0,31.4,31.4,31.4,28.1,28.1,[28.1],1.0,31.4,26.1,26.0
2023-05-30 13:40:00,,0.0,31.7,31.7,31.7,28.3,28.3,[28.3],1.0,31.7,26.5,26.0
2023-05-30 13:45:00,,0.0,31.9,31.9,31.9,28.2,28.2,[28.2],1.0,31.9,25.7,26.0
2023-05-30 13:50:00,,0.0,31.9,31.9,31.9,27.2,27.2,[27.2],1.0,31.9,25.5,26.0
2023-05-30 13:55:00,,0.0,31.9,31.9,31.9,26.5,26.5,[26.5],1.0,31.9,25.3,26.0
2023-05-30 14:00:00,,0.0,31.8,31.8,31.8,26.4,26.4,[26.4],1.0,31.8,25.3,26.0
2023-05-30 14:05:00,,0.0,31.7,31.7,31.7,26.1,26.1,[26.1],1.0,31.7,24.8,26.0
2023-05-30 14:10:00,,0.0,31.3,31.3,31.3,25.8,25.8,[25.8],1.0,31.3,24.7,26.0
2023-05-30 14:15:00,,0.0,31.3,31.3,31.3,25.6,25.6,[25.6],1.0,31.3,24.9,26.0
2023-05-30 14:20:00,,0.0,30.9,30.9,30.9,25.3,25.3,[25.3],1.0,30.9,24.7,26.0
2023-05-30 14:25:00,,0.0,30.9,30.9,30.9,25.3,25.3,[25.3],1.0,30.9,24.6,26.0
2023-05-30 14:30:00,,0.0,30.7,30.7,30.7,25.1,25.1,[25.1],1.0,30.7,24.5,26.0
2023-05-30 14:35:00,,0.0,30.3,30.3,30.3,24.9,24.9,[24.9],1.0,30.3,24.4,26.0
2023-05-30 14:40:00,,0.0,30.1,30.1,30.1,24.8,24.8,[24.8],1.0,30.1,24.0,26.0
2023-05-30 14:45:00,,0.0,30.1,30.1,30.1,24.7,24.7,[24.7],1.0,30.1,24.0,26.0
2023-05-30 14:50:00,,0.0,29.8,29.8,29.8,24.6,24.6,[24.6],1.0,29.8,24.0,26.0
2023-05-30 14:55:00,,0.0,29.6,29.6,29.6,24.5,24.5,[24.5],1.0,29.6,24.1,26.0
2023-05-30 15:00:00,,0.0,29.4,29.4,29.4,24.4,24.4,[24.4],1.0,29.4,23.8,26.0
2023-05-30 15:05:00,,0.0,29.3,29.3,29.3,24.3,24.3,[24.3],1.0,29.3,23.6,26.0
2023-05-30 15:10:00,,0.0,29.2,29.2,29.2,24.1,24.1,[24.1],1.0,29.2,24.0,26.0
2023-05-30 15:15:00,,0.0,29.0,29.0,29.0,24.1,24.1,[24.1],1.0,29.0,23.9,26.0
2023-05-30 15:20:00,,0.0,29.0,29.0,29.0,24.2,24.2,[24.2],1.0,29.0,23.5,26.0
2023-05-30 15:25:00,,0.0,28.9,28.9,28.9,24.0,24.0,[24.0],1.0,28.9,23.7,26.0
2023-05-30 15:30:00,,0.0,28.8,28.8,28.8,24.0,24.0,[24.0],1.0,28.8,23.6,26.0
2023-05-30 15:35:00,,0.0,28.8,28.8,28.8,23.9,23.9,[23.9],1.0,28.8,23.6,26.0
2023-05-30 15:40:00,,0.0,28.6,28.6,28.6,23.8,23.8,[23.8],1.0,28.6,23.4,26.0
2023-05-30 15:45:00,,0.0,28.6,28.6,28.6,23.7,23.7,[23.7],1.0,28.6,23.4,26.0
2023-05-30 15:50:00,,0.0,28.5,28.5,28.5,23.7,23.7,[23.7],1.0,28.5,23.5,26.0
2023-05-30 15:55:00,,0.0,28.5,28.5,28.5,23.6,23.6,[23.6],1.0,28.5,23.2,26.0
2023-05-30 16:00:00,,0.0,28.4,28.4,28.4,23.6,23.6,[23.6],1.0,28.4,23.5,26.0
2023-05-30 16:05:00,,0.0,28.4,28.4,28.4,23.6,23.6,[23.6],1.0,28.4,23.0,26.0
2023-05-30 16:10:00,,0.0,28.3,28.3,28.3,23.5,23.5,[23.5],1.0,28.3,23.1,26.0
2023-05-30 16:15:00,,0.0,28.1,28.1,28.1,23.6,23.6,[23.6],1.0,28.1,22.8,26.0
2023-05-30 16:20:00,,0.0,28.1,28.1,28.1,23.4,23.4,[23.4],1.0,28.1,22.6,26.0
2023-05-30 16:25:00,,0.0,27.9,27.9,27.9,23.2,23.2,[23.2],1.0,27.9,22.5,26.0
2023-05-30 16:30:00,,0.0,27.9,27.9,27.9,23.4,23.4,[23.4],1.0,27.9,23.4,26.0
2023-05-30 16:35:00,,0.0,27.9,27.9,27.9,23.4,23.4,[23.4],1.0,27.9,22.8,26.0
2023-05-30 16:40:00,,0.0,27.8,27.8,27.8,23.4,23.4,[23.4],1.0,27.8,23.0,26.0
2023-05-30 16:45:00,,0.0,27.8,27.8,27.8,23.4,23.4,[23.4],1.0,27.8,23.2,26.0
2023-05-30 16:50:00,,0.0,27.9,27.9,27.9,23.4,23.4,[23.4],1.0,27.9,22.8,26.0
2023-05-30 16:55:00,,0.0,27.8,27.8,27.8,23.5,23.5,[23.5],1.0,27.8,23.6,26.0
2023-05-30 17:00:00,,0.0,27.9,27.9,27.9,23.5,23.5,[23.5],1.0,27.9,23.2,26.0
2023-05-30 17:05:00,,0.0,27.8,27.8,27.8,23.4,23.4,[23.4],1.0,27.8,22.9,26.0
2023-05-30 17:10:00,,0.0,27.9,27.9,27.9,23.6,23.6,[23.6],1.0,27.9,23.2,26.0
