time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1088523_c,1088523_h,1088523_p,1088523_r,1088523_s,988315_c,988315_h,988315_p,988315_r,988315_s
2023-05-30 09:05:00,,27.0,34.9,27.9,31.4,28.9,28.9,[28.9],,34.9,0.1,27.6,26.0,1.0,27.9,7.0,26.7,26.0
2023-05-30 09:10:00,,27.0,35.0,27.6,31.3,29.0,29.0,[29.0],,35.0,0.0,27.6,26.0,1.0,27.6,7.0,26.7,26.0
2023-05-30 09:15:00,,27.0,35.1,27.5,31.3,29.0,29.0,[29.0],,35.1,0.1,27.6,26.0,1.0,27.5,7.0,26.6,26.0
2023-05-30 09:20:00,,27.0,35.1,27.5,31.3,29.0,29.0,[29.0],,35.1,0.1,27.5,26.0,1.0,27.5,7.0,26.6,26.0
2023-05-30 09:25:00,,27.0,35.1,27.5,31.3,28.9,28.9,[28.9],,35.1,0.0,27.5,26.0,1.0,27.5,7.0,26.5,26.0
2023-05-30 09:30:00,,27.0,35.1,27.5,31.3,29.0,29.0,[29.0],,35.1,0.0,27.4,26.0,1.0,27.5,7.0,26.6,26.0
2023-05-30 09:35:00,,27.0,35.1,27.5,31.3,29.0,29.0,[29.0],,35.1,0.1,27.4,26.0,1.0,27.5,7.0,26.3,26.0
2023-05-30 09:40:00,,27.0,35.0,27.5,31.25,28.9,28.9,[28.9],,35.0,0.1,27.4,26.0,1.0,27.5,7.0,26.4,26.0
2023-05-30 09:45:00,,27.0,35.0,27.4,31.2,29.0,29.0,[29.0],,35.0,0.1,27.4,26.0,1.0,27.4,7.0,26.2,26.0
2023-05-30 09:50:00,,27.0,35.0,27.4,31.2,28.9,28.9,[28.9],,35.0,0.1,27.4,26.0,1.0,27.4,6.9,26.3,26.0
2023-05-30 09:55:00,,27.0,35.0,27.4,31.2,29.0,29.0,[29.0],,35.0,0.2,27.4,26.0,1.0,27.4,7.0,26.2,26.0
2023-05-30 10:00:00,,27.0,35.0,27.4,31.2,29.0,29.0,[29.0],,35.0,0.1,27.4,26.0,1.0,27.4,8.7,26.1,26.0
2023-05-30 10:05:00,,27.0,35.0,27.4,31.2,29.0,29.0,[29.0],,35.0,0.0,27.4,26.0,1.0,27.4,6.9,26.4,26.0
2023-05-30 10:10:00,,27.0,35.0,27.4,31.2,29.0,29.0,[29.0],,35.0,0.1,27.4,26.0,1.0,27.4,6.9,26.5,26.0
2023-05-30 10:15:00,,27.0,35.0,27.4,31.2,29.0,29.0,[29.0],,35.0,0.0,27.4,26.0,1.0,27.4,7.0,26.4,26.0
2023-05-30 10:20:00,,27.0,35.0,27.4,31.2,28.9,28.9,[28.9],,35.0,0.1,27.4,26.0,1.0,27.4,7.0,26.6,26.0
2023-05-30 10:25:00,,27.0,35.0,27.5,31.25,28.9,28.9,[28.9],,35.0,0.1,27.7,26.0,1.0,27.5,5.0,27.0,26.0
2023-05-30 10:30:00,,27.0,34.9,28.0,31.45,29.0,29.0,[29.0],,34.9,0.4,27.9,26.0,1.0,28.0,9.0,27.1,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,27.0,34.9,28.0,31.45,28.9,28.9,[28.9],,34.9,0.2,27.8,26.0,1.0,28.0,8.1,26.8,26.0
2023-05-30 10:45:00,,27.0,34.6,28.1,31.35,28.9,28.9,[28.9],,34.6,0.4,27.7,26.0,1.0,28.1,7.5,26.7,26.0
2023-05-30 10:50:00,,27.0,34.3,28.0,31.15,29.0,29.0,[29.0],,34.3,0.4,27.7,26.0,1.0,28.0,7.5,26.7,26.0
2023-05-30 10:55:00,,27.0,34.3,28.0,31.15,28.9,28.9,[28.9],,34.3,0.2,27.7,26.0,1.0,28.0,7.8,26.7,26.0
2023-05-30 11:00:00,,27.0,34.2,27.9,31.05,28.9,28.9,[28.9],,34.2,0.5,27.7,26.0,1.0,27.9,7.4,26.7,26.0
2023-05-30 11:05:00,,27.0,34.1,28.0,31.05,28.9,28.9,[28.9],,34.1,0.4,27.7,26.0,1.0,28.0,7.7,26.8,26.0
2023-05-30 11:10:00,,27.0,34.1,28.0,31.05,28.9,28.9,[28.9],,34.1,0.4,27.7,26.0,1.0,28.0,7.5,26.7,26.0
2023-05-30 11:15:00,,27.0,34.1,28.0,31.05,28.9,28.9,[28.9],,34.1,0.3,27.6,26.0,1.0,28.0,7.3,26.7,26.0
2023-05-30 11:20:00,,27.0,34.0,27.9,30.95,28.9,28.9,[28.9],,34.0,0.4,27.6,26.0,1.0,27.9,7.6,26.7,26.0
