time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1175010_c,1175010_h,1175010_r,1175010_s
2023-05-30 09:05:00,,1.98,45.3,45.3,45.3,27.1,27.1,[27.1],1.0,45.3,26.1,26.0
2023-05-30 09:10:00,,1.98,45.3,45.3,45.3,27.1,27.1,[27.1],1.0,45.3,26.1,26.0
2023-05-30 09:15:00,,1.98,45.2,45.2,45.2,27.2,27.2,[27.2],1.0,45.2,26.1,26.0
2023-05-30 09:20:00,,1.98,45.0,45.0,45.0,27.3,27.3,[27.3],1.0,45.0,26.1,26.0
2023-05-30 09:25:00,,1.98,45.9,45.9,45.9,27.2,27.2,[27.2],1.0,45.9,26.0,25.0
2023-05-30 09:30:00,,1.98,47.4,47.4,47.4,27.1,27.1,[27.1],1.0,47.4,26.1,25.0
2023-05-30 09:35:00,,1.98,48.0,48.0,48.0,27.3,27.3,[27.3],1.0,48.0,26.2,25.0
2023-05-30 09:40:00,,1.98,48.1,48.1,48.1,27.3,27.3,[27.3],1.0,48.1,26.3,25.0
2023-05-30 09:45:00,,1.98,48.1,48.1,48.1,27.2,27.2,[27.2],1.0,48.1,26.0,24.0
2023-05-30 09:50:00,,1.98,51.1,51.1,51.1,26.8,26.8,[26.8],1.0,51.1,25.7,24.0
2023-05-30 09:55:00,,1.98,51.1,51.1,51.1,26.6,26.6,[26.6],1.0,51.1,25.4,24.0
2023-05-30 10:00:00,,1.98,51.3,51.3,51.3,26.4,26.4,[26.4],1.0,51.3,25.2,24.0
2023-05-30 10:05:00,,1.98,52.0,52.0,52.0,,,,1.0,52.0,25.0,24.0
2023-05-30 10:10:00,,1.98,52.2,52.2,52.2,26.1,26.1,[26.1],1.0,52.2,24.9,24.0
2023-05-30 10:15:00,,1.98,52.2,52.2,52.2,26.1,26.1,[26.1],1.0,52.2,24.8,24.0
2023-05-30 10:20:00,,1.98,52.2,52.2,52.2,26.1,26.1,[26.1],1.0,52.2,25.2,24.0
2023-05-30 10:25:00,,1.98,,,,26.3,26.3,[26.3],1.0,,25.4,24.0
2023-05-30 10:30:00,,1.98,53.6,53.6,53.6,26.1,26.1,[26.1],1.0,53.6,25.0,24.0
2023-05-30 10:35:00,,,,,,,,,,,,
2023-05-30 10:40:00,,1.98,55.4,55.4,55.4,26.1,26.1,[26.1],1.0,55.4,25.3,24.0
2023-05-30 10:45:00,,1.98,53.9,53.9,53.9,26.2,26.2,[26.2],1.0,53.9,25.2,24.0
