time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3820340_c,3820340_h,3820340_r,3820340_s
2023-05-30 09:05:00,,7.1,40.1,40.1,40.1,27.0,27.0,[27.0],1.0,40.1,28.2,26.0
2023-05-30 09:10:00,,7.1,43.2,43.2,43.2,27.0,27.0,[27.0],1.0,43.2,28.2,26.0
2023-05-30 09:15:00,,7.1,46.0,46.0,46.0,26.9,26.9,[26.9],1.0,46.0,28.1,26.0
2023-05-30 09:20:00,,7.1,48.5,48.5,48.5,27.0,27.0,[27.0],1.0,48.5,28.0,26.0
2023-05-30 09:25:00,,7.1,50.6,50.6,50.6,27.1,27.1,[27.1],1.0,50.6,28.0,26.0
2023-05-30 09:30:00,,7.1,50.6,50.6,50.6,27.1,27.1,[27.1],1.0,50.6,28.1,26.0
2023-05-30 09:35:00,,7.1,50.6,50.6,50.6,27.1,27.1,[27.1],1.0,50.6,28.2,26.0
2023-05-30 09:40:00,,7.1,46.3,46.3,46.3,27.1,27.1,[27.1],1.0,46.3,28.3,26.0
2023-05-30 09:45:00,,7.1,46.1,46.1,46.1,27.1,27.1,[27.1],1.0,46.1,28.3,26.0
2023-05-30 09:50:00,,7.1,45.7,45.7,45.7,27.1,27.1,[27.1],1.0,45.7,28.3,26.0
2023-05-30 09:55:00,,7.1,45.4,45.4,45.4,27.1,27.1,[27.1],1.0,45.4,28.3,26.0
2023-05-30 10:00:00,,7.1,40.7,40.7,40.7,27.1,27.1,[27.1],1.0,40.7,28.3,26.0
2023-05-30 10:05:00,,7.1,41.4,41.4,41.4,27.1,27.1,[27.1],1.0,41.4,28.3,26.0
2023-05-30 10:10:00,,7.1,41.4,41.4,41.4,27.1,27.1,[27.1],1.0,41.4,28.3,26.0
2023-05-30 10:15:00,,7.1,40.9,40.9,40.9,27.1,27.1,[27.1],1.0,40.9,28.3,26.0
2023-05-30 10:20:00,,7.1,38.1,38.1,38.1,27.1,27.1,[27.1],1.0,38.1,28.3,26.0
2023-05-30 10:25:00,,7.1,41.7,41.7,41.7,27.1,27.1,[27.1],1.0,41.7,28.3,26.0
2023-05-30 10:30:00,,7.1,41.8,41.8,41.8,27.1,27.1,[27.1],1.0,41.8,28.3,26.0
2023-05-30 10:35:00,,,,,,,,,,,,
