time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,647839_h,780127_c,780127_h,780127_p,780127_r,780127_s
2023-05-30 09:05:00,,,41.8,31.0,36.4,21.8,21.8,[21.8],41.8,1.0,31.0,3.9,29.7,25.0
2023-05-30 09:10:00,,,41.8,31.0,36.4,21.8,21.8,[21.8],41.8,1.0,31.0,3.9,29.7,25.0
2023-05-30 09:15:00,,,41.8,30.9,36.35,21.7,21.7,[21.7],41.8,1.0,30.9,3.9,29.8,25.0
2023-05-30 09:20:00,,,41.8,30.8,36.3,21.7,21.7,[21.7],41.8,1.0,30.8,3.9,29.7,25.0
2023-05-30 09:25:00,,,41.6,30.9,36.25,21.7,21.7,[21.7],41.6,1.0,30.9,4.0,29.8,25.0
2023-05-30 09:30:00,,,41.6,30.8,36.2,21.7,21.7,[21.7],41.6,1.0,30.8,3.9,29.7,25.0
2023-05-30 09:35:00,,,41.6,30.8,36.2,22.3,22.3,[22.3],41.6,1.0,30.8,3.9,29.9,25.0
2023-05-30 09:40:00,,,42.2,31.0,36.6,22.1,22.1,[22.1],42.2,1.0,31.0,3.9,29.9,25.0
2023-05-30 09:45:00,,,42.2,31.0,36.6,21.9,21.9,[21.9],42.2,1.0,31.0,4.0,29.9,25.0
2023-05-30 09:50:00,,,42.0,31.1,36.55,21.8,21.8,[21.8],42.0,1.0,31.1,3.9,29.9,25.0
2023-05-30 09:55:00,,,42.0,31.0,36.5,21.8,21.8,[21.8],42.0,1.0,31.0,4.0,29.8,25.0
2023-05-30 10:00:00,,,42.0,31.1,36.55,21.8,21.8,[21.8],42.0,1.0,31.1,3.9,29.7,25.0
2023-05-30 10:05:00,,,41.9,31.1,36.5,21.8,21.8,[21.8],41.9,1.0,31.1,4.0,29.8,25.0
2023-05-30 10:10:00,,,41.9,31.1,36.5,21.8,21.8,[21.8],41.9,1.0,31.1,4.0,29.9,25.0
