time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3794740_c,3794740_h,3794740_r,3794740_s
2023-05-30 09:05:00,,1535.0,35.4,35.4,35.4,29.7,29.7,[29.7],1.0,35.4,27.7,26.0
2023-05-30 09:10:00,,1553.0,35.4,35.4,35.4,29.7,29.7,[29.7],1.0,35.4,27.7,26.0
2023-05-30 09:15:00,,1534.0,35.4,35.4,35.4,29.7,29.7,[29.7],1.0,35.4,27.6,26.0
2023-05-30 09:20:00,,1534.0,35.4,35.4,35.4,29.7,29.7,[29.7],1.0,35.4,27.7,26.0
2023-05-30 09:25:00,,1536.0,35.4,35.4,35.4,29.7,29.7,[29.7],1.0,35.4,27.7,26.0
2023-05-30 09:30:00,,1543.0,35.4,35.4,35.4,29.7,29.7,[29.7],1.0,35.4,27.7,26.0
2023-05-30 09:35:00,,1533.0,35.4,35.4,35.4,29.7,29.7,[29.7],1.0,35.4,27.7,26.0
2023-05-30 09:40:00,,1537.0,35.4,35.4,35.4,29.7,29.7,[29.7],1.0,35.4,27.7,26.0
2023-05-30 09:45:00,,1527.0,35.5,35.5,35.5,29.7,29.7,[29.7],1.0,35.5,27.8,26.0
2023-05-30 09:50:00,,1544.0,35.4,35.4,35.4,29.7,29.7,[29.7],1.0,35.4,27.7,26.0
2023-05-30 09:55:00,,1526.0,35.4,35.4,35.4,29.7,29.7,[29.7],1.0,35.4,27.7,26.0
2023-05-30 10:00:00,,1532.0,35.5,35.5,35.5,29.7,29.7,[29.7],1.0,35.5,27.7,26.0
2023-05-30 10:05:00,,1540.0,35.5,35.5,35.5,29.7,29.7,[29.7],1.0,35.5,27.6,26.0
2023-05-30 10:10:00,,1528.0,35.4,35.4,35.4,29.7,29.7,[29.7],1.0,35.4,27.8,26.0
2023-05-30 10:15:00,,1532.0,35.4,35.4,35.4,29.7,29.7,[29.7],1.0,35.4,27.8,26.0
2023-05-30 10:20:00,,1540.0,35.4,35.4,35.4,29.7,29.7,[29.7],1.0,35.4,27.7,26.0
2023-05-30 10:25:00,,1535.0,35.4,35.4,35.4,29.7,29.7,[29.7],1.0,35.4,27.7,26.0
2023-05-30 10:30:00,,1531.0,35.4,35.4,35.4,29.7,29.7,[29.7],1.0,35.4,27.7,26.0
2023-05-30 10:35:00,,,,,,,,,,,,
2023-05-30 10:40:00,,1535.0,35.5,35.5,35.5,29.7,29.7,[29.7],1.0,35.5,27.7,26.0
2023-05-30 10:45:00,,1544.0,35.4,35.4,35.4,29.7,29.7,[29.7],1.0,35.4,27.8,26.0
2023-05-30 10:50:00,,1538.0,35.4,35.4,35.4,29.7,29.7,[29.7],1.0,35.4,27.7,26.0
2023-05-30 10:55:00,,1535.0,35.4,35.4,35.4,29.7,29.7,[29.7],1.0,35.4,27.7,26.0
2023-05-30 11:00:00,,1537.0,35.4,35.4,35.4,29.7,29.7,[29.7],1.0,35.4,27.7,26.0
2023-05-30 11:05:00,,1540.0,35.5,35.5,35.5,29.7,29.7,[29.7],1.0,35.5,27.7,26.0
2023-05-30 11:10:00,,1540.0,35.5,35.5,35.5,29.7,29.7,[29.7],1.0,35.5,27.8,26.0
2023-05-30 11:15:00,,1521.0,35.5,35.5,35.5,29.7,29.7,[29.7],1.0,35.5,27.8,26.0
2023-05-30 11:20:00,,1554.0,35.5,35.5,35.5,29.7,29.7,[29.7],1.0,35.5,27.7,26.0
2023-05-30 11:25:00,,1544.0,35.4,35.4,35.4,29.7,29.7,[29.7],1.0,35.4,27.7,26.0
