time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3822569_c,3822569_h,3822569_p,3822569_r,3822569_s,3822570_c,3822570_h,3822570_p,3822570_r,3822570_s,74022_c,74022_h,74022_p,74022_r,74022_s
2023-05-30 09:05:00,,0.0,35.8,28.4,31.66666666666666,27.2,27.2,[27.2],1.0,28.4,0.98,27.0,26.0,1.0,35.8,0.98,27.0,26.0,1.0,30.8,0.69,27.0,26.0
2023-05-30 09:10:00,,0.0,35.8,28.3,31.63333333333333,26.5,26.5,[26.5],1.0,28.3,0.8,26.0,26.0,1.0,35.8,0.82,27.0,26.0,1.0,30.8,0.7,26.0,26.0
2023-05-30 09:15:00,,0.0,35.8,28.0,31.53333333333333,26.5,26.5,[26.5],1.0,28.0,0.96,26.0,26.0,1.0,35.8,0.96,26.0,26.0,1.0,30.8,0.69,26.0,26.0
2023-05-30 09:20:00,,0.0,35.9,28.0,31.566666666666663,27.2,27.2,[27.2],1.0,28.0,0.98,28.0,26.0,1.0,35.9,0.98,28.0,26.0,1.0,30.8,0.7,27.0,26.0
2023-05-30 09:25:00,,0.0,35.8,28.0,31.53333333333333,26.2,26.2,[26.2],1.0,28.0,0.97,26.0,26.0,1.0,35.8,0.79,26.0,26.0,1.0,30.8,0.7,26.0,26.0
2023-05-30 09:30:00,,0.0,35.8,28.0,31.5,26.7,26.7,[26.7],1.0,28.0,0.97,27.0,26.0,1.0,35.8,0.97,27.0,26.0,1.0,30.7,0.7,27.0,26.0
2023-05-30 09:35:00,,0.0,35.8,28.1,31.53333333333333,26.3,26.3,[26.3],1.0,28.1,0.79,26.0,26.0,1.0,35.8,0.82,27.0,26.0,1.0,30.7,0.7,26.0,26.0
2023-05-30 09:40:00,,0.0,35.8,28.0,31.5,26.3,26.3,[26.3],1.0,28.0,0.97,26.0,26.0,1.0,35.8,0.79,26.0,26.0,1.0,30.7,0.71,26.0,26.0
2023-05-30 09:45:00,,,35.8,28.0,31.5,26.7,26.7,[26.7],1.0,28.0,0.97,26.0,26.0,1.0,35.8,0.79,26.0,26.0,1.0,30.7,0.71,26.0,26.0
2023-05-30 09:50:00,,0.0,35.8,28.2,31.566666666666663,26.8,26.8,[26.8],1.0,28.2,0.97,26.0,26.0,1.0,35.8,0.79,26.0,26.0,1.0,30.7,0.71,27.0,26.0
2023-05-30 09:55:00,,0.0,35.8,28.2,31.566666666666663,26.9,26.9,[26.9],1.0,28.2,0.97,26.0,26.0,1.0,35.8,0.79,26.0,26.0,1.0,30.7,0.71,27.0,26.0
2023-05-30 10:00:00,,0.0,35.7,28.2,31.53333333333333,27.0,27.0,[27.0],1.0,28.2,0.97,27.0,26.0,1.0,35.7,0.8,26.0,26.0,1.0,30.7,0.7,27.0,26.0
2023-05-30 10:05:00,,0.0,,,,27.2,27.2,[27.2],1.0,,0.97,27.0,27.0,1.0,,0.96,27.0,27.0,1.0,,0.71,27.0,27.0
2023-05-30 10:10:00,,0.0,35.9,28.9,31.866666666666664,27.7,27.7,[27.7],1.0,28.9,0.98,28.0,27.0,1.0,35.9,0.98,28.0,27.0,1.0,30.8,0.7,28.0,27.0
2023-05-30 10:15:00,,0.0,35.9,28.9,32.0,27.0,27.0,[27.0],1.0,28.9,0.8,28.0,27.0,1.0,35.9,0.81,28.0,27.0,1.0,31.2,0.72,27.0,27.0
2023-05-30 10:20:00,,0.0,35.8,28.8,31.933333333333334,27.4,27.4,[27.4],1.0,28.8,0.98,28.0,27.0,1.0,35.8,0.98,28.0,27.0,1.0,31.2,0.71,28.0,27.0
2023-05-30 10:25:00,,0.0,36.2,28.7,32.03333333333334,27.2,27.2,[27.2],1.0,28.7,0.8,27.0,27.0,1.0,36.2,0.81,28.0,27.0,1.0,31.2,0.71,28.0,27.0
2023-05-30 10:30:00,,0.0,36.1,28.9,32.1,27.0,27.0,[27.0],1.0,28.9,0.97,27.0,27.0,1.0,36.1,0.96,28.0,27.0,1.0,31.3,0.7,28.0,27.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,0.0,36.3,29.5,32.5,28.2,28.2,[28.2],1.0,29.5,0.0,29.0,29.0,1.0,36.3,0.96,29.0,29.0,1.0,31.7,0.7,29.0,29.0
2023-05-30 10:45:00,,0.0,36.5,29.8,32.766666666666666,28.3,28.3,[28.3],1.0,29.8,0.0,29.0,29.0,1.0,36.5,0.81,29.0,25.0,1.0,32.0,0.72,29.0,29.0
2023-05-30 10:50:00,,0.0,36.5,29.8,32.766666666666666,27.9,27.9,[27.9],1.0,29.8,0.0,29.0,29.0,1.0,36.5,0.8,26.0,25.0,1.0,32.0,1.0,29.0,29.0
2023-05-30 10:55:00,,0.0,36.5,29.7,32.76666666666667,27.9,27.9,[27.9],1.0,29.7,0.0,29.0,29.0,1.0,36.5,0.84,27.0,25.0,1.0,32.1,0.99,29.0,29.0
2023-05-30 11:00:00,,0.0,35.8,29.7,32.56666666666667,27.9,27.9,[27.9],1.0,29.7,0.0,29.0,29.0,1.0,35.8,0.84,27.0,25.0,1.0,32.2,0.69,29.0,29.0
2023-05-30 11:05:00,,0.0,36.0,30.0,32.766666666666666,27.9,27.9,[27.9],1.0,30.0,0.0,29.0,29.0,1.0,36.0,0.8,27.0,26.0,1.0,32.3,0.71,29.0,29.0
2023-05-30 11:10:00,,0.0,35.8,29.4,32.56666666666666,27.8,27.8,[27.8],1.0,29.4,0.0,29.0,29.0,1.0,35.8,0.79,27.0,26.0,1.0,32.5,0.71,29.0,29.0
2023-05-30 11:15:00,,0.0,35.6,29.4,32.46666666666667,27.7,27.7,[27.7],1.0,29.4,0.0,29.0,29.0,1.0,35.6,0.81,27.0,26.0,1.0,32.4,0.72,29.0,29.0
2023-05-30 11:20:00,,0.0,35.2,29.3,32.266666666666666,27.6,27.6,[27.6],1.0,29.3,0.0,29.0,29.0,1.0,35.2,0.8,27.0,26.0,1.0,32.3,0.72,29.0,29.0
2023-05-30 11:25:00,,0.0,35.1,29.2,32.166666666666664,27.6,27.6,[27.6],1.0,29.2,0.0,29.0,29.0,1.0,35.1,0.8,27.0,26.0,1.0,32.2,0.71,28.0,29.0
2023-05-30 11:30:00,,0.0,35.1,29.2,32.166666666666664,27.7,27.7,[27.7],1.0,29.2,0.0,29.0,29.0,1.0,35.1,0.79,27.0,26.0,1.0,32.2,0.71,29.0,29.0
2023-05-30 11:35:00,,0.0,34.3,29.2,31.866666666666664,27.7,27.7,[27.7],1.0,29.2,0.0,29.0,29.0,1.0,34.3,0.98,27.0,28.0,1.0,32.1,0.72,29.0,29.0
2023-05-30 11:40:00,,0.0,35.2,29.5,32.26666666666667,28.0,28.0,[28.0],1.0,29.5,0.0,29.0,29.0,1.0,35.2,0.96,28.0,28.0,1.0,32.1,0.73,29.0,29.0
