time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3808562_h,3808563_c,3808563_h,3808563_r,3808563_s
2023-05-30 09:05:00,,9.27,40.7,29.6,35.150000000000006,30.1,30.1,[30.1],29.6,,40.7,,
2023-05-30 09:10:00,,9.45,41.1,29.9,35.5,30.1,30.1,[30.1],29.9,,41.1,,
2023-05-30 09:15:00,,9.34,40.8,29.8,35.3,30.1,30.1,[30.1],29.8,,40.8,,
2023-05-30 09:20:00,,9.63,40.5,29.5,35.0,30.1,30.1,[30.1],29.5,,40.5,,
2023-05-30 09:25:00,,9.47,40.7,29.6,35.150000000000006,30.1,30.1,[30.1],29.6,,40.7,,
2023-05-30 09:30:00,,9.49,41.1,30.0,35.55,30.1,30.1,[30.1],30.0,,41.1,,
2023-05-30 09:35:00,,9.27,40.8,29.7,35.25,30.1,30.1,[30.1],29.7,,40.8,,
2023-05-30 09:40:00,,9.17,40.6,29.5,35.05,30.1,30.1,[30.1],29.5,,40.6,,
2023-05-30 09:45:00,,9.01,40.8,29.7,35.25,30.1,30.1,[30.1],29.7,,40.8,,
2023-05-30 09:50:00,,9.63,40.8,29.7,35.25,,,,29.7,,40.8,,
2023-05-30 09:55:00,,9.010000000000002,40.6,29.7,35.15,30.5,30.5,[30.5],29.7,,40.6,,
2023-05-30 10:00:00,,9.39,40.6,29.5,35.05,30.5,30.5,[30.5],29.5,,40.6,,
2023-05-30 10:05:00,,9.41,40.8,29.5,35.15,30.5,30.5,[30.5],29.5,,40.8,,
2023-05-30 10:10:00,,9.56,41.1,30.0,35.55,30.5,30.5,[30.5],30.0,,41.1,,
2023-05-30 10:15:00,,9.15,40.5,30.0,35.25,30.5,30.5,[30.5],30.0,,40.5,,
2023-05-30 10:20:00,,9.32,40.6,29.5,35.05,30.5,30.5,[30.5],29.5,,40.6,,
2023-05-30 10:25:00,,9.37,40.6,29.5,35.05,30.5,30.5,[30.5],29.5,,40.6,,
2023-05-30 10:30:00,,9.32,40.9,29.8,35.35,30.5,30.5,[30.5],29.8,,40.9,,
2023-05-30 10:35:00,,,,,,,,,,,,,
2023-05-30 10:40:00,,9.18,40.6,29.5,35.05,30.5,30.5,[30.5],29.5,,40.6,,
2023-05-30 10:45:00,,9.2,40.6,29.8,35.2,30.5,30.5,[30.5],29.8,,40.6,,
2023-05-30 10:50:00,,9.98,41.0,29.8,35.4,30.5,30.5,[30.5],29.8,,41.0,,
2023-05-30 10:55:00,,9.36,40.7,29.5,35.1,30.5,30.5,[30.5],29.5,,40.7,,
2023-05-30 11:00:00,,9.23,40.9,29.7,35.3,30.5,30.5,[30.5],29.7,,40.9,,
2023-05-30 11:05:00,,9.29,41.1,30.0,35.55,30.5,30.5,[30.5],30.0,,41.1,,
2023-05-30 11:10:00,,9.37,41.1,29.5,35.3,30.5,30.5,[30.5],29.5,,41.1,,
2023-05-30 11:15:00,,9.35,40.5,29.4,34.95,30.5,30.5,[30.5],29.4,,40.5,,
2023-05-30 11:20:00,,9.25,40.9,29.4,35.15,30.5,30.5,[30.5],29.4,,40.9,,
2023-05-30 11:25:00,,9.3,41.1,29.8,35.45,30.5,30.5,[30.5],29.8,,41.1,,
2023-05-30 11:30:00,,9.12,40.7,29.5,35.1,30.5,30.5,[30.5],29.5,,40.7,,
2023-05-30 11:35:00,,9.39,40.9,29.7,35.3,30.5,30.5,[30.5],29.7,,40.9,,
2023-05-30 11:40:00,,9.48,40.9,30.0,35.45,30.5,30.5,[30.5],30.0,,40.9,,
2023-05-30 11:45:00,,9.42,40.9,29.7,35.3,30.5,30.5,[30.5],29.7,,40.9,,
2023-05-30 11:50:00,,9.46,40.6,29.4,35.0,30.5,30.5,[30.5],29.4,,40.6,,
2023-05-30 11:55:00,,9.81,40.8,29.5,35.15,30.5,30.5,[30.5],29.5,,40.8,,
2023-05-30 12:00:00,,9.45,41.2,30.0,35.6,30.5,30.5,[30.5],30.0,,41.2,,
2023-05-30 12:05:00,,9.73,40.8,30.0,35.4,30.5,30.5,[30.5],30.0,,40.8,,
2023-05-30 12:10:00,,9.07,40.5,29.4,34.95,30.5,30.5,[30.5],29.4,,40.5,,
2023-05-30 12:15:00,,9.32,40.8,29.4,35.099999999999994,30.5,30.5,[30.5],29.4,,40.8,,
2023-05-30 12:20:00,,9.21,41.1,29.9,35.5,30.5,30.5,[30.5],29.9,,41.1,,
2023-05-30 12:25:00,,9.12,40.7,29.9,35.3,30.5,30.5,[30.5],29.9,,40.7,,
