time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3808237_h,3808238_h,3839052_h,3839053_c,3839053_h,3839053_r,3839053_s
2023-05-30 09:05:00,,19.56,35.8,28.6,34.0,27.3,27.3,[27.3],35.8,28.6,35.8,1.0,35.8,28.0,28.0
2023-05-30 09:10:00,,19.94,35.8,28.6,34.0,26.8,26.8,[26.8],35.8,28.6,35.8,1.0,35.8,26.0,28.0
2023-05-30 09:15:00,,19.77,35.7,28.7,33.95,27.4,27.4,[27.4],35.7,28.7,35.7,1.0,35.7,27.0,28.0
2023-05-30 09:20:00,,19.89,35.7,28.6,33.925000000000004,26.8,26.8,[26.8],35.7,28.6,35.7,1.0,35.7,26.0,28.0
2023-05-30 09:25:00,,19.78,35.7,28.6,33.925000000000004,27.4,27.4,[27.4],35.7,28.6,35.7,1.0,35.7,28.0,28.0
2023-05-30 09:30:00,,19.93,35.8,28.5,33.974999999999994,26.8,26.8,[26.8],35.8,28.5,35.8,1.0,35.8,26.0,28.0
2023-05-30 09:35:00,,19.73,35.8,28.7,34.025,27.3,27.3,[27.3],35.8,28.7,35.8,1.0,35.8,27.0,28.0
2023-05-30 09:40:00,,20.52,35.7,28.6,33.925000000000004,26.6,26.6,[26.6],35.7,28.6,35.7,1.0,35.7,26.0,28.0
2023-05-30 09:45:00,,19.65,35.7,28.7,33.95,27.4,27.4,[27.4],35.7,28.7,35.7,1.0,35.7,28.0,28.0
2023-05-30 09:50:00,,19.89,35.7,28.7,33.95,,,,35.7,28.7,35.7,1.0,35.7,26.0,28.0
2023-05-30 09:55:00,,20.08,35.7,28.7,33.95,27.1,27.1,[27.1],35.7,28.7,35.7,1.0,35.7,27.0,28.0
2023-05-30 10:00:00,,17.07,35.7,28.5,33.900000000000006,26.8,26.8,[26.8],35.7,28.5,35.7,1.0,35.7,26.0,28.0
2023-05-30 10:05:00,,20.32,35.7,28.5,33.900000000000006,27.1,27.1,[27.1],35.7,28.5,35.7,1.0,35.7,26.0,28.0
2023-05-30 10:10:00,,16.6,35.8,28.5,33.974999999999994,26.8,26.8,[26.8],35.8,28.5,35.8,1.0,35.8,26.0,28.0
2023-05-30 10:15:00,,20.01,35.8,28.8,34.05,26.9,26.9,[26.9],35.8,28.8,35.8,1.0,35.8,26.0,28.0
2023-05-30 10:20:00,,16.7,35.7,28.5,33.900000000000006,26.8,26.8,[26.8],35.7,28.5,35.7,1.0,35.7,27.0,28.0
2023-05-30 10:25:00,,19.72,35.7,28.5,33.900000000000006,27.2,27.2,[27.2],35.7,28.5,35.7,1.0,35.7,26.0,28.0
2023-05-30 10:30:00,,16.59,35.7,28.7,33.95,27.0,27.0,[27.0],35.7,28.7,35.7,1.0,35.7,27.0,28.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,17.03,35.7,28.5,33.900000000000006,27.1,27.1,[27.1],35.7,28.5,35.7,1.0,35.7,27.0,28.0
2023-05-30 10:45:00,,19.83,35.7,28.7,33.95,27.0,27.0,[27.0],35.7,28.7,35.7,1.0,35.7,26.0,28.0
2023-05-30 10:50:00,,16.74,35.7,28.6,33.925000000000004,27.2,27.2,[27.2],35.7,28.6,35.7,1.0,35.7,28.0,28.0
2023-05-30 10:55:00,,19.91,35.8,28.7,34.025,26.8,26.8,[26.8],35.8,28.7,35.8,1.0,35.8,26.0,28.0
2023-05-30 11:00:00,,19.67,35.7,28.6,33.925000000000004,27.2,27.2,[27.2],35.7,28.6,35.7,1.0,35.7,28.0,28.0
2023-05-30 11:05:00,,20.14,35.7,28.6,33.925000000000004,26.7,26.7,[26.7],35.7,28.6,35.7,1.0,35.7,26.0,28.0
2023-05-30 11:10:00,,19.98,35.8,28.7,34.025,27.4,27.4,[27.4],35.8,28.7,35.8,1.0,35.8,27.0,28.0
2023-05-30 11:15:00,,20.11,35.8,28.7,34.025,26.9,26.9,[26.9],35.8,28.7,35.8,1.0,35.8,27.0,28.0
2023-05-30 11:20:00,,19.8,35.6,28.8,33.9,26.7,26.7,[26.7],35.6,28.8,35.6,1.0,35.6,26.0,28.0
2023-05-30 11:25:00,,20.17,35.4,28.6,33.7,26.5,26.5,[26.5],35.4,28.6,35.4,1.0,35.4,25.0,28.0
2023-05-30 11:30:00,,20.01,35.3,28.6,33.625,26.4,26.4,[26.4],35.3,28.6,35.3,1.0,35.3,25.0,28.0
2023-05-30 11:35:00,,20.51,35.1,28.5,33.45,26.2,26.2,[26.2],35.1,28.5,35.1,1.0,35.1,25.0,28.0
2023-05-30 11:40:00,,20.18,35.0,28.5,33.375,26.1,26.1,[26.1],35.0,28.5,35.0,1.0,35.0,25.0,28.0
2023-05-30 11:45:00,,20.31,34.9,28.3,33.25,26.0,26.0,[26.0],34.9,28.3,34.9,1.0,34.9,25.0,28.0
2023-05-30 11:50:00,,20.36,34.8,28.3,33.175,26.1,26.1,[26.1],34.8,28.3,34.8,1.0,34.8,25.0,28.0
2023-05-30 11:55:00,,17.21,34.9,28.3,33.25,26.7,26.7,[26.7],34.9,28.3,34.9,1.0,34.9,27.0,28.0
2023-05-30 12:00:00,,20.24,34.9,28.6,33.325,26.8,26.8,[26.8],34.9,28.6,34.9,1.0,34.9,26.0,28.0
2023-05-30 12:05:00,,20.15,34.9,28.6,33.325,26.4,26.4,[26.4],34.9,28.6,34.9,1.0,34.9,26.0,28.0
