time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3813142_h,3839085_h,3839290_c,3839290_h,3839290_r,3839290_s
2023-05-30 09:05:00,,9.56,25.6,25.6,25.600000000000005,25.1,25.1,[25.1],25.6,25.6,1.0,25.6,24.0,26.0
2023-05-30 09:10:00,,9.59,25.7,25.5,25.633333333333336,25.2,25.2,[25.2],25.7,25.5,1.0,25.7,25.0,26.0
2023-05-30 09:15:00,,9.8,25.7,25.7,25.7,25.4,25.4,[25.4],25.7,25.7,1.0,25.7,26.0,26.0
2023-05-30 09:20:00,,9.63,25.6,25.6,25.600000000000005,25.2,25.2,[25.2],25.6,25.6,1.0,25.6,24.0,26.0
2023-05-30 09:25:00,,9.77,25.4,25.4,25.399999999999995,25.1,25.1,[25.1],25.4,25.4,1.0,25.4,24.0,26.0
2023-05-30 09:30:00,,9.71,26.0,25.4,25.8,25.3,25.3,[25.3],26.0,25.4,1.0,26.0,25.0,26.0
2023-05-30 09:35:00,,9.71,26.0,25.4,25.8,25.4,25.4,[25.4],26.0,25.4,1.0,26.0,26.0,26.0
2023-05-30 09:40:00,,10.010000000000002,25.9,25.9,25.899999999999995,25.2,25.2,[25.2],25.9,25.9,1.0,25.9,24.0,26.0
2023-05-30 09:45:00,,9.83,25.8,25.8,25.8,25.3,25.3,[25.3],25.8,25.8,1.0,25.8,25.0,26.0
2023-05-30 09:50:00,,9.86,26.3,25.7,26.1,25.4,25.4,[25.4],26.3,25.7,1.0,26.3,25.0,26.0
2023-05-30 09:55:00,,9.75,26.3,25.7,26.1,25.3,25.3,[25.3],26.3,25.7,1.0,26.3,24.0,26.0
2023-05-30 10:00:00,,10.01,25.5,25.4,25.46666666666667,25.2,25.2,[25.2],25.5,25.4,1.0,25.5,24.0,26.0
2023-05-30 10:05:00,,9.79,26.0,25.5,25.83333333333333,25.3,25.3,[25.3],26.0,25.5,1.0,26.0,25.0,26.0
2023-05-30 10:10:00,,9.89,25.9,25.7,25.83333333333333,25.3,25.3,[25.3],25.9,25.7,1.0,25.9,25.0,26.0
2023-05-30 10:15:00,,9.74,25.9,25.7,25.83333333333333,25.1,25.1,[25.1],25.9,25.7,1.0,25.9,24.0,26.0
2023-05-30 10:20:00,,9.72,25.8,25.5,25.7,25.2,25.2,[25.2],25.8,25.5,1.0,25.8,25.0,26.0
2023-05-30 10:25:00,,9.69,25.8,25.5,25.7,25.4,25.4,[25.4],25.8,25.5,1.0,25.8,26.0,26.0
2023-05-30 10:30:00,,9.75,26.5,25.6,26.2,25.2,25.2,[25.2],26.5,25.6,1.0,26.5,24.0,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,
2023-05-30 10:40:00,,9.55,26.1,25.6,25.933333333333337,25.3,25.3,[25.3],26.1,25.6,1.0,26.1,25.0,26.0
2023-05-30 10:45:00,,9.73,26.1,25.5,25.9,25.4,25.4,[25.4],26.1,25.5,1.0,26.1,25.0,26.0
2023-05-30 10:50:00,,9.51,25.5,25.5,25.5,25.2,25.2,[25.2],25.5,25.5,1.0,25.5,24.0,26.0
2023-05-30 10:55:00,,9.96,25.8,25.5,25.7,25.3,25.3,[25.3],25.8,25.5,1.0,25.8,25.0,26.0
2023-05-30 11:00:00,,9.58,26.4,25.5,26.1,25.5,25.5,[25.5],26.4,25.5,1.0,26.4,26.0,26.0
2023-05-30 11:05:00,,9.61,26.4,25.7,26.166666666666668,25.3,25.3,[25.3],26.4,25.7,1.0,26.4,24.0,26.0
2023-05-30 11:10:00,,9.53,25.7,25.7,25.7,25.1,25.1,[25.1],25.7,25.7,1.0,25.7,24.0,26.0
2023-05-30 11:15:00,,9.66,25.5,25.5,25.5,25.2,25.2,[25.2],25.5,25.5,1.0,25.5,25.0,26.0
2023-05-30 11:20:00,,9.6,26.0,26.0,26.0,25.4,25.4,[25.4],26.0,26.0,1.0,26.0,25.0,26.0
2023-05-30 11:25:00,,9.9,25.7,25.7,25.7,25.2,25.2,[25.2],25.7,25.7,1.0,25.7,25.0,26.0
