time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3812914_c,3812914_h,3812914_p,3812914_r,3812914_s
2023-05-30 09:05:00,,0.0,34.2,34.2,34.2,24.1,24.1,[24.1],,34.2,3.87,25.0,27.0
2023-05-30 09:10:00,,-0.0399999999999991,34.2,34.2,34.2,23.5,23.5,[23.5],,34.2,3.82,23.5,27.0
2023-05-30 09:15:00,,-0.0099999999999997,34.0,34.0,34.0,23.4,23.4,[23.4],,34.0,0.59,24.5,27.0
2023-05-30 09:20:00,,-0.0600000000000005,34.1,34.1,34.1,24.1,24.1,[24.1],,34.1,4.14,26.0,27.0
2023-05-30 09:25:00,,-0.0099999999999997,34.2,34.2,34.2,23.7,23.7,[23.7],,34.2,3.8,23.5,27.0
2023-05-30 09:30:00,,-0.0500000000000007,34.2,34.2,34.2,23.4,23.4,[23.4],,34.2,0.58,24.5,27.0
2023-05-30 09:35:00,,0.0099999999999997,34.1,34.1,34.1,24.0,24.0,[24.0],,34.1,0.58,25.5,27.0
2023-05-30 09:40:00,,-0.0199999999999995,34.3,34.3,34.3,23.9,23.9,[23.9],,34.3,3.86,24.0,27.0
2023-05-30 09:45:00,,0.04,34.1,34.1,34.1,23.3,23.3,[23.3],,34.1,0.57,23.5,27.0
2023-05-30 09:50:00,,0.0299999999999993,34.1,34.1,34.1,23.7,23.7,[23.7],,34.1,0.59,25.0,27.0
2023-05-30 09:55:00,,-0.0099999999999997,34.1,34.1,34.1,24.1,24.1,[24.1],,34.1,3.87,24.5,27.0
2023-05-30 10:00:00,,-0.0099999999999997,34.2,34.2,34.2,23.5,23.5,[23.5],,34.2,3.81,23.5,27.0
2023-05-30 10:05:00,,-0.0600000000000005,34.2,34.2,34.2,23.4,23.4,[23.4],,34.2,0.57,24.5,27.0
2023-05-30 10:10:00,,0.0799999999999983,34.1,34.1,34.1,24.1,24.1,[24.1],,34.1,4.09,26.0,27.0
2023-05-30 10:15:00,,-0.0299999999999993,34.2,34.2,34.2,23.7,23.7,[23.7],,34.2,3.84,24.0,27.0
2023-05-30 10:20:00,,0.0,34.1,34.1,34.1,23.2,23.2,[23.2],,34.1,0.56,24.0,27.0
