time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,2048082_h,3811493_h,3816387_c,3816387_h,3816387_p,3816387_r,3816387_s,3839078_h
2023-05-30 09:05:00,,104.21,28.5,24.6,26.9,27.6,27.6,[27.6],24.6,28.5,,28.5,4.17,27.5,26.0,26.0
2023-05-30 09:10:00,,88.47,29.2,24.8,27.3,27.1,27.1,[27.1],24.8,29.2,,29.2,0.57,26.5,26.0,26.0
2023-05-30 09:15:00,,104.79,29.0,25.1,27.275,27.6,27.6,[27.6],25.1,29.0,,29.0,4.17,26.5,26.0,26.0
2023-05-30 09:20:00,,96.29,29.0,25.4,27.25,27.1,27.1,[27.1],25.4,29.0,,29.0,0.57,27.0,26.0,25.6
2023-05-30 09:25:00,,104.52,28.5,24.7,26.9,26.8,26.8,[26.8],24.7,28.5,,28.5,4.15,26.5,26.0,25.9
2023-05-30 09:30:00,,100.49,28.5,24.7,26.9,27.2,27.2,[27.2],24.7,28.5,,28.5,0.57,27.5,26.0,25.9
2023-05-30 09:35:00,,105.04,28.8,24.8,27.05,27.4,27.4,[27.4],24.8,28.8,,28.8,4.17,26.0,26.0,25.8
2023-05-30 09:40:00,,103.12,29.4,26.2,27.8,27.5,27.5,[27.5],26.2,29.4,,29.4,4.07,28.0,26.0,26.2
2023-05-30 09:45:00,,105.66,28.8,26.2,27.5,27.2,27.2,[27.2],26.2,28.8,,28.8,4.61,26.0,26.0,26.2
2023-05-30 09:50:00,,103.82,29.4,26.3,27.85,27.5,27.5,[27.5],26.3,29.4,,29.4,5.29,28.0,26.0,26.3
2023-05-30 09:55:00,,100.69,28.7,24.5,26.875,27.1,27.1,[27.1],24.5,28.7,,28.7,4.13,26.0,26.0,25.6
2023-05-30 10:00:00,,97.36,29.4,26.1,27.775,27.5,27.5,[27.5],26.1,29.4,,29.4,4.06,27.5,26.0,26.2
2023-05-30 10:05:00,,96.96,29.4,24.5,27.2,27.1,27.1,[27.1],24.5,29.4,,29.4,0.65,26.0,26.0,25.5
2023-05-30 10:10:00,,98.23,29.1,24.5,27.225,27.6,27.6,[27.6],24.5,29.1,,29.1,4.18,27.0,26.0,26.2
2023-05-30 10:15:00,,96.6,28.7,25.0,27.0,27.4,27.4,[27.4],25.0,28.7,,28.7,0.56,26.5,26.0,25.6
2023-05-30 10:20:00,,96.55,28.7,25.4,27.2,27.6,27.6,[27.6],25.4,28.7,,28.7,4.49,26.5,26.0,26.0
2023-05-30 10:25:00,,95.86,28.7,25.4,27.15,27.2,27.2,[27.2],25.4,28.7,,28.7,0.56,27.0,26.0,25.8
2023-05-30 10:30:00,,97.92,28.7,25.3,27.175,27.5,27.5,[27.5],25.3,28.7,,28.7,4.47,26.5,26.0,26.0
2023-05-30 10:35:00,,,,,,,,,,,,,,,,
2023-05-30 10:40:00,,98.51,28.8,25.0,27.15,27.3,27.3,[27.3],25.0,28.8,,28.8,4.29,26.5,26.0,26.0
2023-05-30 10:45:00,,106.55,29.3,25.0,27.475,27.8,27.8,[27.8],25.0,29.3,,29.3,5.12,28.0,26.0,26.3
2023-05-30 10:50:00,,93.93,28.6,26.4,27.5,27.2,27.2,[27.2],26.4,28.6,,28.6,4.5,26.0,26.0,26.4
2023-05-30 10:55:00,,104.72,29.3,26.2,27.75,27.8,27.8,[27.8],26.2,29.3,,29.3,4.12,27.5,26.0,26.2
2023-05-30 11:00:00,,102.70000000000002,28.5,24.7,26.825000000000003,27.4,27.4,[27.4],24.7,28.5,,28.5,0.62,26.0,26.0,25.6
2023-05-30 11:05:00,,105.22,28.5,25.7,27.225,27.6,27.6,[27.6],25.7,28.5,,28.5,4.29,27.0,26.0,26.2
2023-05-30 11:10:00,,98.09,28.5,25.0,26.925,27.5,27.5,[27.5],25.0,28.5,,28.5,0.56,26.5,26.0,25.7
2023-05-30 11:15:00,,107.41,28.9,25.2,27.275,27.6,27.6,[27.6],25.2,28.9,,28.9,4.34,26.5,26.0,26.1
2023-05-30 11:20:00,,96.71,28.9,25.6,27.325000000000003,27.6,27.6,[27.6],25.6,28.9,,28.9,0.56,27.5,26.0,25.9
2023-05-30 11:25:00,,106.5,29.0,25.2,27.3,27.6,27.6,[27.6],25.2,29.0,,29.0,4.68,26.5,26.0,26.0
2023-05-30 11:30:00,,98.75,29.0,26.5,27.75,27.5,27.5,[27.5],26.5,29.0,,29.0,3.24,28.0,26.0,26.5
2023-05-30 11:35:00,,105.71,28.3,24.7,26.825,27.1,27.1,[27.1],24.7,28.3,,28.3,4.26,26.5,26.0,26.0
2023-05-30 11:40:00,,94.07,28.8,26.4,27.6,27.9,27.9,[27.9],26.4,28.8,,28.8,4.76,28.0,26.0,26.4
2023-05-30 11:45:00,,106.73,29.1,25.0,27.3,27.6,27.6,[27.6],25.0,29.1,,29.1,4.63,26.5,26.0,26.0
2023-05-30 11:50:00,,107.86,28.9,26.3,27.6,27.8,27.8,[27.8],26.3,28.9,,28.9,4.2,27.5,26.0,26.3
2023-05-30 11:55:00,,93.72,28.7,26.3,27.5,27.2,27.2,[27.2],26.3,28.7,,28.7,0.99,26.0,26.0,26.3
2023-05-30 12:00:00,,107.15,29.2,26.2,27.7,27.9,27.9,[27.9],26.2,29.2,,29.2,4.63,27.0,26.0,26.2
2023-05-30 12:05:00,,99.37,28.4,25.0,26.9,27.6,27.6,[27.6],25.0,28.4,,28.4,0.56,26.0,26.0,25.8
2023-05-30 12:10:00,,99.3,29.2,25.7,27.575,27.7,27.7,[27.7],25.7,29.2,,29.2,4.39,27.0,26.0,26.2
2023-05-30 12:15:00,,98.06,28.7,25.6,27.225,27.5,27.5,[27.5],25.6,28.7,,28.7,0.57,27.0,26.0,25.9
2023-05-30 12:20:00,,98.57,28.6,25.1,27.15,27.3,27.3,[27.3],25.1,28.6,,28.6,4.19,27.0,26.0,26.3
2023-05-30 12:25:00,,97.57,28.8,26.2,27.525,27.6,27.6,[27.6],26.2,28.8,,28.8,0.57,28.0,26.0,26.3
2023-05-30 12:30:00,,106.94,29.0,25.3,27.375,27.5,27.5,[27.5],25.3,29.0,,29.0,4.37,26.5,26.0,26.2
2023-05-30 12:35:00,,105.72,29.0,25.3,27.4,28.1,28.1,[28.1],25.3,29.0,,29.0,5.05,28.0,26.0,26.3
2023-05-30 12:40:00,,101.04,28.6,26.6,27.6,27.3,27.3,[27.3],26.6,28.6,,28.6,4.21,26.5,26.0,26.6
2023-05-30 12:45:00,,106.07,28.6,26.6,27.6,28.0,28.0,[28.0],26.6,28.6,,28.6,4.23,27.5,26.0,26.6
2023-05-30 12:50:00,,96.49,28.1,26.6,27.35,27.2,27.2,[27.2],26.6,28.1,,28.1,0.65,26.5,26.0,26.6
2023-05-30 12:55:00,,106.07,28.1,25.7,26.975,27.7,27.7,[27.7],25.7,28.1,,28.1,4.24,27.0,26.0,26.0
2023-05-30 13:00:00,,98.09,28.9,25.3,27.3,27.6,27.6,[27.6],25.3,28.9,,28.9,0.57,27.0,26.0,26.1
2023-05-30 13:05:00,,105.56,28.5,25.6,27.175,27.8,27.8,[27.8],25.6,28.5,,28.5,4.32,27.0,26.0,26.1
2023-05-30 13:10:00,,98.46,29.0,25.6,27.45,27.7,27.7,[27.7],25.6,29.0,,29.0,0.57,27.5,26.0,26.2
2023-05-30 13:15:00,,98.21,29.2,25.4,27.55,27.6,27.6,[27.6],25.4,29.2,,29.2,4.39,26.5,26.0,26.4
2023-05-30 13:20:00,,106.46,29.2,26.8,28.0,28.3,28.3,[28.3],26.8,29.2,,29.2,4.0,28.0,26.0,26.8
2023-05-30 13:25:00,,102.41,28.4,24.5,26.85,27.3,27.3,[27.3],24.5,28.4,,28.4,4.34,26.5,26.0,26.1
2023-05-30 13:30:00,,104.64,28.4,26.9,27.65,28.2,28.2,[28.2],26.9,28.4,,28.4,4.42,28.0,26.0,26.9
2023-05-30 13:35:00,,102.78,28.8,25.1,27.200000000000003,27.8,27.8,[27.8],25.1,28.8,,28.8,0.99,26.0,26.0,26.1
2023-05-30 13:40:00,,106.69,28.6,25.8,27.35,27.8,27.8,[27.8],25.8,28.6,,28.6,4.66,27.0,26.0,26.4
2023-05-30 13:45:00,,101.67,29.2,25.8,27.65,27.5,27.5,[27.5],25.8,29.2,,29.2,0.57,27.5,26.0,26.4
2023-05-30 13:50:00,,106.71,29.1,25.3,27.55,27.9,27.9,[27.9],25.3,29.1,,29.1,4.33,27.0,26.0,26.7
2023-05-30 13:55:00,,98.64,28.7,26.0,27.525,27.9,27.9,[27.9],26.0,28.7,,28.7,0.57,28.0,26.0,26.7
2023-05-30 14:00:00,,97.83,28.7,26.0,27.450000000000003,28.3,28.3,[28.3],26.0,28.7,,28.7,4.35,27.0,26.0,26.4
2023-05-30 14:05:00,,102.29,28.9,27.1,28.0,28.2,28.2,[28.2],27.1,28.9,,28.9,0.57,28.5,26.0,27.1
2023-05-30 14:10:00,,107.41,28.8,25.4,27.35,28.2,28.2,[28.2],25.4,28.8,,28.8,4.5,26.5,26.0,26.4
2023-05-30 14:15:00,,107.19,29.5,27.5,28.5,28.6,28.6,[28.6],27.5,29.5,,29.5,5.21,29.0,26.0,27.5
2023-05-30 14:20:00,,98.01,29.0,25.6,27.525,28.3,28.3,[28.3],25.6,29.0,,29.0,4.5,26.5,26.0,26.5
2023-05-30 14:25:00,,107.3,28.8,26.7,27.75,28.3,28.3,[28.3],26.7,28.8,,28.8,4.54,27.5,26.0,26.7
2023-05-30 14:30:00,,99.01,,,,28.1,28.1,[28.1],,,,,0.67,26.5,26.0,
2023-05-30 14:35:00,,107.74,29.6,26.4,28.15,28.4,28.4,[28.4],26.4,29.6,,29.6,4.55,27.5,26.0,27.0
2023-05-30 14:40:00,,102.19,28.9,26.1,27.6,28.3,28.3,[28.3],26.1,28.9,,28.9,0.58,27.5,26.0,26.5
2023-05-30 14:45:00,,107.88,28.8,26.1,27.65,28.1,28.1,[28.1],26.1,28.8,,28.8,4.31,27.0,26.0,26.9
2023-05-30 14:50:00,,103.59,28.8,27.1,27.950000000000003,28.4,28.4,[28.4],27.1,28.8,,28.8,0.57,28.5,26.0,27.1
2023-05-30 14:55:00,,105.27,28.7,27.1,27.9,28.3,28.3,[28.3],27.1,28.7,,28.7,4.42,26.5,26.0,27.1
