time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3803329_c,3803329_h,3803329_p,3803329_r,3803329_s,3803330_c,3803330_h,3803330_p,3803330_r,3803330_s,3803331_c,3803331_h,3803331_p,3803331_r,3803331_s,3803332_c,3803332_h,3803332_p,3803332_r,3803332_s
2023-05-30 09:00:00,,,,,,,,,,,0.2,,,,,3.6,,,,,4.7,,,,,4.2,,
2023-05-30 09:10:00,,28.0,28.6,26.6,28.075000000000003,28.1,29.8,"[26.4, 29.8, 28.1]",0.0,26.6,0.2,31.0,26.0,0.0,28.6,3.6,30.0,26.0,1.0,28.6,4.6,28.0,25.0,1.0,28.5,4.1,29.0,25.0
2023-05-30 09:15:00,,28.0,28.6,26.6,28.075000000000003,28.1,29.8,"[26.4, 29.8, 28.1]",0.0,26.6,0.2,31.0,26.0,0.0,28.6,3.6,30.0,26.0,1.0,28.6,4.6,28.0,25.0,1.0,28.5,4.2,29.0,25.0
2023-05-30 09:20:00,,28.0,28.6,26.5,28.05,28.1,29.8,"[26.4, 29.8, 28.1]",0.0,26.5,0.2,31.0,26.0,0.0,28.6,3.6,30.0,26.0,1.0,28.6,4.7,28.0,25.0,1.0,28.5,4.1,29.0,25.0
2023-05-30 09:25:00,,28.0,28.6,26.5,28.075000000000003,28.166666666666668,29.9,"[26.5, 29.9, 28.1]",0.0,26.5,0.5,31.0,26.0,0.0,28.6,0.4,30.0,26.0,1.0,28.6,4.7,29.0,25.0,1.0,28.6,4.2,30.0,25.0
2023-05-30 09:30:00,,28.0,28.9,26.6,28.275,28.33333333333333,30.1,"[26.7, 30.1, 28.2]",0.0,26.6,0.5,31.0,26.0,0.0,28.9,0.4,30.0,26.0,1.0,28.9,4.6,29.0,25.0,1.0,28.7,4.1,30.0,25.0
2023-05-30 09:35:00,,28.0,28.9,26.9,28.375,28.266666666666666,30.0,"[26.7, 30.0, 28.1]",0.0,26.9,3.7,31.0,26.0,0.0,28.9,3.6,30.0,26.0,1.0,28.9,4.7,28.0,25.0,1.0,28.8,4.2,29.0,25.0
2023-05-30 09:40:00,,28.0,29.0,26.8,28.4,28.2,30.0,"[26.5, 30.0, 28.1]",0.0,26.8,0.2,31.0,26.0,0.0,29.0,3.6,30.0,26.0,1.0,29.0,4.7,28.0,25.0,1.0,28.8,4.2,29.0,25.0
2023-05-30 09:45:00,,28.0,28.8,26.7,28.225,28.23333333333333,30.1,"[26.5, 30.1, 28.1]",0.0,26.7,0.2,31.0,26.0,0.0,28.8,3.6,30.0,26.0,1.0,28.8,4.6,28.0,25.0,1.0,28.6,4.2,29.0,25.0
2023-05-30 09:50:00,,28.0,28.7,26.7,28.175,28.23333333333333,30.1,"[26.5, 30.1, 28.1]",0.0,26.7,0.2,31.0,26.0,0.0,28.7,3.7,30.0,26.0,1.0,28.7,4.7,28.0,25.0,1.0,28.6,4.2,29.0,25.0
2023-05-30 09:55:00,,28.0,28.7,26.7,28.175,28.266666666666666,30.2,"[26.5, 30.2, 28.1]",0.0,26.7,0.2,31.0,26.0,0.0,28.7,3.6,30.0,26.0,1.0,28.7,4.8,28.0,25.0,1.0,28.6,4.2,29.0,25.0
2023-05-30 10:00:00,,28.0,28.7,26.6,28.15,28.266666666666666,30.2,"[26.5, 30.2, 28.1]",0.0,26.6,0.2,31.0,26.0,0.0,28.7,3.6,30.0,26.0,1.0,28.7,4.7,29.0,25.0,1.0,28.6,4.2,29.0,25.0
2023-05-30 10:05:00,,28.0,28.7,26.6,28.15,28.266666666666666,30.2,"[26.5, 30.2, 28.1]",0.0,26.6,0.2,31.0,26.0,0.0,28.7,3.7,30.0,26.0,1.0,28.7,4.6,28.0,25.0,1.0,28.6,4.2,29.0,25.0
2023-05-30 10:10:00,,28.0,28.7,26.6,28.175,28.266666666666666,30.2,"[26.5, 30.2, 28.1]",0.0,26.6,0.2,31.0,26.0,0.0,28.7,3.7,30.0,26.0,1.0,28.7,4.7,29.0,25.0,1.0,28.7,4.2,29.0,25.0
2023-05-30 10:15:00,,28.0,28.7,26.6,28.175,28.3,30.3,"[26.5, 30.3, 28.1]",0.0,26.6,0.2,31.0,26.0,0.0,28.7,3.6,30.0,26.0,1.0,28.7,4.8,28.0,25.0,1.0,28.7,4.3,30.0,25.0
2023-05-30 10:20:00,,28.0,28.7,26.7,28.2,28.366666666666664,30.4,"[26.6, 30.4, 28.1]",0.0,26.7,0.5,31.0,26.0,0.0,28.7,0.4,30.0,26.0,1.0,28.7,4.8,29.0,25.0,1.0,28.7,4.2,30.0,25.0
2023-05-30 10:25:00,,28.0,28.8,26.9,28.325,28.53333333333333,30.6,"[26.8, 30.6, 28.2]",0.0,26.9,0.5,31.0,26.0,0.0,28.8,3.7,30.0,26.0,1.0,28.8,4.7,29.0,25.0,1.0,28.8,4.3,30.0,25.0
2023-05-30 10:30:00,,28.0,29.0,26.9,28.450000000000003,28.5,30.5,"[26.8, 30.5, 28.2]",0.0,26.9,3.7,31.0,26.0,0.0,29.0,3.7,30.0,26.0,1.0,29.0,4.8,28.0,25.0,1.0,28.9,4.2,29.0,25.0
2023-05-30 10:45:00,,28.0,28.9,26.8,28.325,28.433333333333337,30.6,"[26.6, 30.6, 28.1]",0.0,26.8,0.5,31.0,26.0,0.0,28.9,3.7,30.0,26.0,1.0,28.9,4.8,29.0,25.0,1.0,28.7,4.2,30.0,25.0
2023-05-30 10:50:00,,28.0,28.8,26.8,28.275,28.46666666666667,30.6,"[26.7, 30.6, 28.1]",0.0,26.8,0.5,31.0,26.0,0.0,28.8,3.7,30.0,26.0,1.0,28.8,4.8,29.0,25.0,1.0,28.7,4.2,30.0,25.0
2023-05-30 10:55:00,,28.0,28.9,27.1,28.425,28.46666666666667,30.6,"[26.7, 30.6, 28.1]",0.0,27.1,0.5,31.0,26.0,0.0,28.9,3.6,30.0,26.0,1.0,28.9,4.9,29.0,25.0,1.0,28.8,4.4,30.0,25.0
2023-05-30 11:00:00,,28.0,29.0,27.2,28.5,28.46666666666667,30.6,"[26.7, 30.6, 28.1]",0.0,27.2,0.5,31.0,26.0,0.0,29.0,3.7,31.0,26.0,1.0,29.0,4.9,29.0,25.0,1.0,28.8,4.3,30.0,25.0
2023-05-30 11:05:00,,28.0,29.1,27.4,28.6,28.53333333333333,30.7,"[26.8, 30.7, 28.1]",0.0,27.4,0.5,31.0,26.0,0.0,29.1,3.7,31.0,26.0,1.0,29.1,4.8,29.0,25.0,1.0,28.8,4.3,30.0,25.0
2023-05-30 11:10:00,,28.0,29.1,27.5,28.625,28.566666666666663,30.8,"[26.8, 30.8, 28.1]",0.0,27.5,0.5,31.0,26.0,0.0,29.1,3.7,31.0,26.0,1.0,29.1,4.8,29.0,25.0,1.0,28.8,4.3,30.0,25.0
2023-05-30 11:15:00,,28.0,29.1,27.5,28.6,28.566666666666663,30.8,"[26.8, 30.8, 28.1]",0.0,27.5,0.5,31.0,26.0,0.0,29.1,3.7,31.0,26.0,1.0,29.1,5.0,29.0,25.0,1.0,28.7,4.4,30.0,25.0
2023-05-30 11:20:00,,28.0,29.1,27.6,28.625000000000004,28.6,30.9,"[26.8, 30.9, 28.1]",0.0,27.6,0.5,31.0,26.0,0.0,29.1,3.7,31.0,26.0,1.0,29.1,4.9,29.0,25.0,1.0,28.7,4.4,30.0,25.0
2023-05-30 11:25:00,,28.0,29.1,27.6,28.65,28.633333333333336,31.0,"[26.8, 31.0, 28.1]",0.0,27.6,0.5,31.0,26.0,0.0,29.1,3.7,31.0,26.0,1.0,29.1,4.8,29.0,25.0,1.0,28.8,4.3,30.0,25.0
2023-05-30 11:30:00,,28.0,29.1,27.7,28.675,28.666666666666668,31.0,"[26.8, 31.0, 28.2]",0.0,27.7,0.5,31.0,26.0,0.0,29.1,3.7,31.0,26.0,1.0,29.1,4.9,29.0,25.0,1.0,28.8,4.3,30.0,25.0
2023-05-30 11:35:00,,28.0,29.1,27.7,28.675,28.73333333333333,31.2,"[26.8, 31.2, 28.2]",0.0,27.7,0.5,31.0,26.0,0.0,29.1,3.7,31.0,26.0,1.0,29.1,4.9,29.0,25.0,1.0,28.8,4.3,30.0,25.0
2023-05-30 11:40:00,,28.0,29.2,27.7,28.725,28.73333333333333,31.2,"[26.8, 31.2, 28.2]",0.0,27.7,0.5,31.0,26.0,0.0,29.2,3.7,31.0,26.0,1.0,29.2,4.9,29.0,25.0,1.0,28.8,4.4,30.0,25.0
2023-05-30 11:45:00,,28.0,29.2,27.7,28.725,28.766666666666666,31.3,"[26.8, 31.3, 28.2]",0.0,27.7,0.5,31.0,26.0,0.0,29.2,3.8,31.0,26.0,1.0,29.2,4.9,29.0,25.0,1.0,28.8,4.4,30.0,25.0
2023-05-30 11:50:00,,28.0,29.2,27.7,28.725,28.8,31.4,"[26.8, 31.4, 28.2]",0.0,27.7,0.5,31.0,26.0,0.0,29.2,3.7,31.0,26.0,1.0,29.2,5.0,29.0,25.0,1.0,28.8,4.4,30.0,25.0
2023-05-30 11:55:00,,28.0,29.2,27.7,28.75,28.766666666666666,31.3,"[26.8, 31.3, 28.2]",0.0,27.7,0.5,31.0,26.0,0.0,29.2,3.7,31.0,26.0,1.0,29.2,4.8,29.0,25.0,1.0,28.9,4.3,30.0,25.0
2023-05-30 12:00:00,,28.0,29.2,27.7,28.725,28.766666666666666,31.3,"[26.8, 31.3, 28.2]",0.0,27.7,0.5,31.0,26.0,0.0,29.2,3.7,31.0,26.0,1.0,29.2,4.9,29.0,25.0,1.0,28.8,4.4,30.0,25.0
2023-05-30 12:05:00,,,29.2,27.7,28.725,28.766666666666666,31.3,"[26.8, 31.3, 28.2]",0.0,27.7,0.5,31.0,26.0,0.0,29.2,3.7,31.0,26.0,1.0,29.2,5.0,29.0,25.0,1.0,28.8,4.4,30.0,25.0
