time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,21502_h,21503_c,21503_h,21503_p,21503_r,21503_s,545673_c,545673_h,545673_p,545673_r,545673_s,545674_c,545674_h,545674_p,545674_r,545674_s
2023-05-30 09:00:00,,,,,,,,,,,,7.6,,,,,8.5,,,,,11.2,,
2023-05-30 09:10:00,,40.0,28.8,24.8,26.55,25.3,27.1,"[27.1, 24.1, 24.5, 25.5]",28.8,1.0,25.6,7.5,23.7,21.0,1.0,27.0,7.7,23.0,21.0,1.0,24.8,11.1,22.0,21.0
2023-05-30 09:15:00,,40.0,28.8,24.8,26.55,25.35,27.1,"[27.1, 24.2, 24.6, 25.5]",28.8,1.0,25.6,7.6,23.7,21.0,1.0,27.0,8.5,24.0,21.0,1.0,24.8,10.9,23.0,21.0
2023-05-30 09:20:00,,40.0,28.9,24.8,26.575,25.375,27.1,"[27.1, 24.2, 24.7, 25.5]",28.9,1.0,25.6,7.6,23.7,21.0,1.0,27.0,8.5,24.0,21.0,1.0,24.8,11.1,23.0,21.0
2023-05-30 09:25:00,,40.0,29.0,24.8,26.6,25.375,27.1,"[27.1, 24.2, 24.7, 25.5]",29.0,1.0,25.6,7.6,23.7,21.0,1.0,27.0,8.6,23.0,21.0,1.0,24.8,11.3,23.0,21.0
2023-05-30 09:30:00,,40.0,29.0,24.9,26.625,25.3,27.1,"[27.1, 24.1, 24.5, 25.5]",29.0,1.0,25.6,7.5,23.7,21.0,1.0,27.0,7.8,23.0,21.0,1.0,24.9,11.1,22.0,21.0
2023-05-30 09:35:00,,40.0,28.8,24.9,26.575000000000003,25.35,27.1,"[27.1, 24.2, 24.6, 25.5]",28.8,1.0,25.6,7.6,23.7,21.0,1.0,27.0,8.6,24.0,21.0,1.0,24.9,11.2,23.0,21.0
2023-05-30 09:40:00,,40.0,28.8,24.9,26.575000000000003,25.425,27.2,"[27.2, 24.2, 24.7, 25.6]",28.8,1.0,25.6,7.7,23.7,21.0,1.0,27.0,8.5,24.0,21.0,1.0,24.9,11.2,23.0,21.0
2023-05-30 09:45:00,,40.0,28.9,24.9,26.6,25.425,27.2,"[27.2, 24.2, 24.7, 25.6]",28.9,1.0,25.6,7.6,23.7,21.0,1.0,27.0,8.6,23.0,21.0,1.0,24.9,11.3,23.0,21.0
2023-05-30 09:50:00,,40.0,28.9,24.9,26.6,25.35,27.2,"[27.2, 24.1, 24.5, 25.6]",28.9,1.0,25.6,7.7,23.7,21.0,1.0,27.0,8.0,23.0,21.0,1.0,24.9,11.3,23.0,21.0
2023-05-30 09:55:00,,40.0,28.9,24.9,26.6,25.375,27.2,"[27.2, 24.1, 24.6, 25.6]",28.9,1.0,25.6,7.7,23.7,21.0,1.0,27.0,8.6,24.0,21.0,1.0,24.9,11.3,23.0,21.0
2023-05-30 10:00:00,,40.0,28.9,24.9,26.6,25.425,27.2,"[27.2, 24.2, 24.7, 25.6]",28.9,1.0,25.6,7.6,23.7,21.0,1.0,27.0,8.6,24.0,21.0,1.0,24.9,11.2,23.0,21.0
2023-05-30 10:05:00,,40.0,28.9,24.9,26.6,25.375,27.2,"[27.2, 24.1, 24.6, 25.6]",28.9,1.0,25.6,7.5,23.7,21.0,1.0,27.0,17.8,23.0,21.0,1.0,24.9,11.5,23.0,21.0
2023-05-30 10:10:00,,40.0,28.9,25.0,26.625,25.35,27.2,"[27.2, 24.1, 24.5, 25.6]",28.9,1.0,25.6,7.6,23.7,21.0,1.0,27.0,7.9,23.0,21.0,1.0,25.0,11.1,22.0,21.0
2023-05-30 10:15:00,,40.0,28.9,24.9,26.6,25.4,27.2,"[27.2, 24.2, 24.6, 25.6]",28.9,1.0,25.6,7.6,23.7,21.0,1.0,27.0,8.7,24.0,21.0,1.0,24.9,11.4,23.0,21.0
2023-05-30 10:20:00,,40.0,29.0,24.9,26.625,25.425,27.2,"[27.2, 24.2, 24.7, 25.6]",29.0,1.0,25.6,7.6,23.8,21.0,1.0,27.0,8.7,24.0,21.0,1.0,24.9,11.5,23.0,21.0
2023-05-30 10:25:00,,40.0,29.0,24.9,26.625,25.35,27.2,"[27.2, 24.1, 24.5, 25.6]",29.0,1.0,25.6,7.6,23.7,21.0,1.0,27.0,7.7,22.0,21.0,1.0,24.9,11.4,23.0,21.0
2023-05-30 10:30:00,,40.0,28.9,24.9,26.6,25.375,27.2,"[27.2, 24.1, 24.6, 25.6]",28.9,1.0,25.6,7.7,23.7,21.0,1.0,27.0,8.4,23.0,21.0,1.0,24.9,11.4,23.0,21.0
2023-05-30 10:45:00,,40.0,28.8,25.0,26.625,25.35,27.2,"[27.2, 24.1, 24.5, 25.6]",28.8,1.0,25.7,7.8,23.7,21.0,1.0,27.0,8.0,23.0,21.0,1.0,25.0,11.4,23.0,21.0
2023-05-30 10:50:00,,40.0,28.8,24.9,26.6,25.425,27.2,"[27.2, 24.2, 24.7, 25.6]",28.8,1.0,25.7,7.7,23.7,21.0,1.0,27.0,8.8,24.0,21.0,1.0,24.9,11.5,23.0,21.0
2023-05-30 10:55:00,,40.0,28.9,24.9,26.625,25.425,27.2,"[27.2, 24.2, 24.7, 25.6]",28.9,1.0,25.7,7.8,23.8,21.0,1.0,27.0,18.4,23.0,21.0,1.0,24.9,11.7,23.0,21.0
2023-05-30 11:00:00,,40.0,28.9,25.0,26.675,25.375,27.2,"[27.2, 24.1, 24.6, 25.6]",28.9,1.0,25.7,7.8,23.7,21.0,1.0,27.1,7.7,23.0,21.0,1.0,25.0,11.4,23.0,21.0
2023-05-30 11:05:00,,40.0,28.8,25.0,26.625,25.4,27.2,"[27.2, 24.1, 24.7, 25.6]",28.8,1.0,25.7,7.8,23.8,21.0,1.0,27.0,7.7,23.0,21.0,1.0,25.0,10.5,23.0,22.0
