time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,648197_c,648197_h,648197_p,648197_r,648197_s,648209_c,648209_h,648209_p,648209_r,648209_s,648210_c,648210_h,648210_p,648210_r,648210_s,648211_c,648211_h,648211_p,648211_r,648211_s
2023-05-30 09:00:00,,,,,,,,,,,5.2,,,,,9.7,,,,,4.9,,,,,13.4,,
2023-05-30 09:10:00,,67.3,29.1,24.1,26.950000000000003,24.825,25.5,"[25.0, 24.7, 24.1, 25.5]",1.0,29.1,5.4,27.8,28.0,1.0,25.5,9.8,26.2,26.0,1.0,29.1,5.0,25.7,26.0,1.0,24.1,13.4,25.8,22.0
2023-05-30 09:15:00,,67.7,,,,24.875,25.6,"[25.1, 24.7, 24.1, 25.6]",1.0,,5.4,27.8,28.0,1.0,,9.8,26.2,26.0,1.0,,5.0,25.7,26.0,1.0,,13.5,25.7,22.0
2023-05-30 09:20:00,,67.2,29.2,24.2,27.025,24.9,25.6,"[25.1, 24.7, 24.2, 25.6]",1.0,29.2,5.2,28.0,28.0,1.0,25.5,9.7,26.4,26.0,1.0,29.2,4.9,25.6,26.0,1.0,24.2,13.4,25.7,22.0
2023-05-30 09:25:00,,67.1,,,,24.9,25.6,"[25.1, 24.7, 24.2, 25.6]",1.0,,5.2,27.6,28.0,1.0,,9.7,26.4,26.0,1.0,,4.9,25.6,26.0,1.0,,13.3,25.8,22.0
2023-05-30 09:30:00,,67.1,29.2,24.3,27.075,24.9,25.6,"[25.1, 24.7, 24.2, 25.6]",1.0,29.2,5.2,27.9,28.0,1.0,25.6,9.7,26.2,26.0,1.0,29.2,4.9,25.6,26.0,1.0,24.3,13.4,25.8,22.0
2023-05-30 09:35:00,,66.8,29.2,24.2,27.05,24.9,25.6,"[25.1, 24.7, 24.2, 25.6]",1.0,29.2,5.2,27.6,28.0,1.0,25.6,9.7,26.4,26.0,1.0,29.2,5.0,25.5,26.0,1.0,24.2,13.4,25.8,22.0
2023-05-30 09:40:00,,67.0,29.2,24.3,27.075,24.9,25.6,"[25.1, 24.7, 24.2, 25.6]",1.0,29.2,5.3,27.9,28.0,1.0,25.6,9.7,26.4,26.0,1.0,29.2,4.9,25.7,26.0,1.0,24.3,13.4,25.8,22.0
2023-05-30 09:45:00,,66.9,29.2,24.3,27.1,24.95,25.6,"[25.2, 24.8, 24.2, 25.6]",1.0,29.2,5.2,27.8,28.0,1.0,25.7,9.7,26.4,26.0,1.0,29.2,5.0,25.8,26.0,1.0,24.3,13.3,25.9,22.0
2023-05-30 09:50:00,,67.4,29.3,24.3,27.1,24.95,25.6,"[25.2, 24.8, 24.2, 25.6]",1.0,29.3,5.3,28.0,28.0,1.0,25.5,9.8,26.4,26.0,1.0,29.3,5.0,25.6,26.0,1.0,24.3,13.3,25.9,22.0
2023-05-30 09:55:00,,66.9,29.3,24.3,27.1,24.975,25.7,"[25.2, 24.8, 24.2, 25.7]",1.0,29.3,5.3,27.9,28.0,1.0,25.5,9.8,26.4,26.0,1.0,29.3,5.0,25.7,26.0,1.0,24.3,13.4,25.8,22.0
2023-05-30 10:00:00,,67.1,29.3,24.3,27.1,24.975,25.7,"[25.2, 24.8, 24.2, 25.7]",1.0,29.3,5.2,27.8,28.0,1.0,25.5,9.7,26.3,26.0,1.0,29.3,5.0,25.9,26.0,1.0,24.3,13.5,25.9,22.0
2023-05-30 10:05:00,,67.1,29.3,24.4,27.15,25.0,25.7,"[25.2, 24.8, 24.3, 25.7]",1.0,29.3,5.2,27.7,28.0,1.0,25.6,9.8,26.4,26.0,1.0,29.3,5.0,26.0,26.0,1.0,24.4,13.3,25.9,22.0
2023-05-30 10:10:00,,67.7,29.3,24.4,27.15,25.0,25.7,"[25.2, 24.8, 24.3, 25.7]",1.0,29.3,5.3,28.0,28.0,1.0,25.6,9.9,26.6,26.0,1.0,29.3,5.0,25.9,26.0,1.0,24.4,13.5,25.9,22.0
2023-05-30 10:15:00,,67.2,29.3,24.5,27.175,25.025,25.7,"[25.3, 24.8, 24.3, 25.7]",1.0,29.3,5.3,27.8,28.0,1.0,25.6,9.8,26.5,26.0,1.0,29.3,5.0,25.7,26.0,1.0,24.5,13.4,25.9,22.0
2023-05-30 10:20:00,,67.4,29.3,24.5,27.175,25.025,25.7,"[25.3, 24.8, 24.3, 25.7]",1.0,29.3,5.3,28.1,28.0,1.0,25.6,9.9,26.5,26.0,1.0,29.3,5.0,25.8,26.0,1.0,24.5,13.6,26.0,22.0
2023-05-30 10:25:00,,67.3,29.4,24.5,27.225,25.05,25.7,"[25.3, 24.9, 24.3, 25.7]",1.0,29.4,9.5,27.8,28.0,1.0,25.6,10.1,26.5,26.0,1.0,29.4,6.4,25.7,26.0,1.0,24.5,13.5,25.7,22.0
2023-05-30 10:30:00,,67.3,29.1,24.5,27.075000000000003,25.0,25.6,"[25.3, 24.8, 24.3, 25.6]",1.0,29.1,6.8,27.8,28.0,1.0,25.6,10.2,26.2,26.0,1.0,29.1,10.2,25.2,26.0,1.0,24.5,13.5,25.6,22.0
2023-05-30 10:45:00,,67.4,29.0,24.3,26.95,24.975,25.5,"[25.3, 24.8, 24.3, 25.5]",1.0,29.0,5.4,27.6,28.0,1.0,25.5,10.0,26.3,26.0,1.0,29.0,5.0,25.3,26.0,1.0,24.3,13.6,25.8,22.0
2023-05-30 10:50:00,,67.4,29.0,24.4,26.975,25.0,25.6,"[25.3, 24.8, 24.3, 25.6]",1.0,29.0,5.3,27.9,28.0,1.0,25.5,10.0,26.4,26.0,1.0,29.0,5.0,25.6,26.0,1.0,24.4,13.6,25.8,22.0
2023-05-30 10:55:00,,67.5,29.0,24.4,26.975,25.0,25.6,"[25.3, 24.8, 24.3, 25.6]",1.0,29.0,5.3,27.6,28.0,1.0,25.5,9.9,26.4,26.0,1.0,29.0,4.9,25.5,26.0,1.0,24.4,13.4,25.7,22.0
2023-05-30 11:00:00,,67.0,29.1,24.4,27.050000000000004,25.0,25.6,"[25.3, 24.8, 24.3, 25.6]",1.0,29.1,5.4,27.8,28.0,1.0,25.6,10.1,26.3,26.0,1.0,29.1,4.9,25.7,26.0,1.0,24.4,13.4,25.8,22.0
2023-05-30 11:05:00,,67.0,29.2,24.4,27.075000000000003,25.05,25.6,"[25.4, 24.9, 24.3, 25.6]",1.0,29.2,5.3,27.8,28.0,1.0,25.5,10.0,26.5,26.0,1.0,29.2,5.0,25.5,26.0,1.0,24.4,13.4,25.9,22.0
2023-05-30 11:10:00,,67.1,29.2,24.5,27.1,25.075,25.7,"[25.4, 24.9, 24.3, 25.7]",1.0,29.2,5.5,27.9,28.0,1.0,25.5,10.2,26.4,26.0,1.0,29.2,5.1,25.8,26.0,1.0,24.5,13.6,25.9,22.0
2023-05-30 11:15:00,,67.7,29.2,24.6,27.125,25.075,25.7,"[25.4, 24.9, 24.3, 25.7]",1.0,29.2,5.4,27.8,28.0,1.0,25.5,10.2,26.4,26.0,1.0,29.2,5.1,25.6,26.0,1.0,24.6,13.5,25.9,22.0
