time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3800155_c,3800155_h,3800155_p,3800155_r,3800155_s,3800156_c,3800156_h,3800156_p,3800156_r,3800156_s
2023-05-30 09:00:00,,,,,,,,,,,1.0,,,,,1.0,,
2023-05-30 09:10:00,,14.05,32.6,31.7,32.15,27.75,28.4,"[28.4, 27.1]",1.0,31.7,1.0,26.0,22.0,1.0,32.6,1.0,26.0,24.0
2023-05-30 09:15:00,,14.05,32.6,31.7,32.15,27.75,28.4,"[28.4, 27.1]",1.0,31.7,1.0,26.0,22.0,1.0,32.6,1.0,26.0,24.0
2023-05-30 09:20:00,,14.04,32.6,31.7,32.15,27.75,28.4,"[28.4, 27.1]",1.0,31.7,1.0,26.0,22.0,1.0,32.6,1.0,26.0,24.0
2023-05-30 09:25:00,,14.05,32.6,31.7,32.15,27.75,28.4,"[28.4, 27.1]",1.0,31.7,1.0,26.0,22.0,1.0,32.6,1.0,26.0,24.0
2023-05-30 09:30:00,,14.05,32.6,31.7,32.15,27.75,28.4,"[28.4, 27.1]",1.0,31.7,1.0,26.0,22.0,1.0,32.6,1.0,26.0,24.0
2023-05-30 09:35:00,,14.05,32.6,31.7,32.15,27.75,28.4,"[28.4, 27.1]",1.0,31.7,1.0,26.0,24.0,1.0,32.6,1.0,26.0,25.0
2023-05-30 09:40:00,,15.04,32.6,31.7,32.15,27.75,28.4,"[28.4, 27.1]",1.0,31.7,1.0,26.0,24.0,1.0,32.6,1.0,26.0,25.0
2023-05-30 09:45:00,,14.05,32.6,31.7,32.15,27.75,28.4,"[28.4, 27.1]",1.0,31.7,1.0,26.0,24.0,1.0,32.6,1.0,26.0,25.0
2023-05-30 09:50:00,,14.05,32.6,31.7,32.15,27.700000000000003,28.3,"[28.3, 27.1]",1.0,31.7,1.0,26.0,24.0,1.0,32.6,1.0,26.0,25.0
2023-05-30 09:55:00,,14.04,32.6,31.6,32.1,27.700000000000003,28.3,"[28.3, 27.1]",1.0,31.6,1.0,26.0,24.0,1.0,32.6,1.0,26.0,25.0
2023-05-30 10:00:00,,14.05,32.6,31.6,32.1,27.700000000000003,28.3,"[28.3, 27.1]",1.0,31.6,1.0,26.0,24.0,1.0,32.6,1.0,26.0,25.0
2023-05-30 10:05:00,,14.05,32.6,31.6,32.1,27.700000000000003,28.3,"[28.3, 27.1]",1.0,31.6,1.0,26.0,25.0,1.0,32.6,1.0,26.0,26.0
2023-05-30 10:10:00,,15.05,32.6,31.6,32.1,27.75,28.4,"[28.4, 27.1]",1.0,31.6,1.0,26.0,25.0,1.0,32.6,1.0,26.0,26.0
2023-05-30 10:15:00,,14.05,32.6,31.6,32.1,27.75,28.4,"[28.4, 27.1]",1.0,31.6,1.0,26.0,25.0,1.0,32.6,1.0,26.0,26.0
2023-05-30 10:20:00,,14.04,32.6,31.6,32.1,27.75,28.4,"[28.4, 27.1]",1.0,31.6,1.0,26.0,25.0,1.0,32.6,1.0,26.0,26.0
2023-05-30 10:25:00,,14.05,32.6,31.7,32.15,27.75,28.4,"[28.4, 27.1]",1.0,31.7,1.0,26.0,25.0,1.0,32.6,1.0,26.0,26.0
2023-05-30 10:30:00,,15.04,32.6,31.7,32.15,27.75,28.4,"[28.4, 27.1]",1.0,31.7,1.0,26.0,25.0,1.0,32.6,1.0,26.0,26.0
2023-05-30 10:45:00,,14.05,32.8,31.8,32.3,28.15,28.8,"[28.8, 27.5]",1.0,31.8,0.0,27.0,26.0,1.0,32.8,1.0,27.0,27.0
2023-05-30 10:50:00,,15.05,32.8,31.9,32.349999999999994,28.4,29.1,"[29.1, 27.7]",1.0,31.9,0.0,27.0,26.0,1.0,32.8,1.0,27.0,27.0
2023-05-30 10:55:00,,15.06,33.0,32.1,32.55,28.6,29.3,"[29.3, 27.9]",1.0,32.1,0.0,28.0,26.0,1.0,33.0,1.0,27.0,27.0
2023-05-30 11:00:00,,15.06,33.4,32.3,32.849999999999994,28.55,29.2,"[29.2, 27.9]",1.0,32.3,1.0,27.0,25.0,1.0,33.4,1.0,27.0,26.0
2023-05-30 11:05:00,,14.05,33.4,32.5,32.95,28.4,29.1,"[29.1, 27.7]",1.0,32.5,1.0,27.0,25.0,1.0,33.4,1.0,27.0,26.0
2023-05-30 11:10:00,,14.05,33.5,32.5,33.0,28.25,28.9,"[28.9, 27.6]",1.0,32.5,1.0,27.0,24.0,1.0,33.5,1.0,27.0,25.0
2023-05-30 11:15:00,,15.05,33.5,32.5,33.0,28.2,28.9,"[28.9, 27.5]",1.0,32.5,1.0,27.0,24.0,1.0,33.5,1.0,27.0,25.0
2023-05-30 11:20:00,,15.05,33.5,32.5,33.0,28.2,28.9,"[28.9, 27.5]",1.0,32.5,1.0,26.0,24.0,1.0,33.5,1.0,27.0,25.0
2023-05-30 11:25:00,,14.05,33.5,32.4,32.95,28.15,28.8,"[28.8, 27.5]",1.0,32.4,1.0,26.0,24.0,1.0,33.5,1.0,27.0,25.0
2023-05-30 11:30:00,,14.05,33.4,32.5,32.95,28.15,28.8,"[28.8, 27.5]",1.0,32.5,1.0,26.0,24.0,1.0,33.4,1.0,27.0,25.0
2023-05-30 11:35:00,,15.05,33.4,32.4,32.9,28.15,28.8,"[28.8, 27.5]",1.0,32.4,1.0,26.0,24.0,1.0,33.4,1.0,27.0,25.0
2023-05-30 11:40:00,,15.05,33.4,32.4,32.9,28.15,28.8,"[28.8, 27.5]",1.0,32.4,1.0,26.0,24.0,1.0,33.4,1.0,27.0,25.0
2023-05-30 11:45:00,,14.05,33.4,32.4,32.9,28.15,28.8,"[28.8, 27.5]",1.0,32.4,1.0,26.0,24.0,1.0,33.4,1.0,27.0,25.0
2023-05-30 11:50:00,,14.05,33.4,32.4,32.9,28.15,28.8,"[28.8, 27.5]",1.0,32.4,1.0,26.0,24.0,1.0,33.4,1.0,27.0,25.0
2023-05-30 11:55:00,,15.05,33.3,32.4,32.849999999999994,28.15,28.8,"[28.8, 27.5]",1.0,32.4,1.0,26.0,24.0,1.0,33.3,1.0,27.0,25.0
2023-05-30 12:00:00,,14.05,33.3,32.4,32.849999999999994,28.15,28.8,"[28.8, 27.5]",1.0,32.4,1.0,26.0,24.0,1.0,33.3,1.0,27.0,25.0
2023-05-30 12:05:00,,14.05,33.3,32.4,32.849999999999994,28.1,28.7,"[28.7, 27.5]",1.0,32.4,1.0,26.0,24.0,1.0,33.3,1.0,27.0,25.0
2023-05-30 12:10:00,,14.05,33.3,32.4,32.849999999999994,28.1,28.7,"[28.7, 27.5]",1.0,32.4,1.0,26.0,24.0,1.0,33.3,1.0,27.0,25.0
2023-05-30 12:15:00,,15.05,33.3,32.4,32.849999999999994,28.1,28.7,"[28.7, 27.5]",1.0,32.4,1.0,26.0,24.0,1.0,33.3,1.0,27.0,25.0
2023-05-30 12:20:00,,15.05,33.3,32.4,32.849999999999994,28.15,28.8,"[28.8, 27.5]",1.0,32.4,1.0,26.0,24.0,1.0,33.3,1.0,27.0,25.0
2023-05-30 12:25:00,,14.04,33.3,32.3,32.8,28.1,28.7,"[28.7, 27.5]",1.0,32.3,1.0,26.0,24.0,1.0,33.3,1.0,27.0,25.0
2023-05-30 12:30:00,,14.05,33.3,32.4,32.849999999999994,28.1,28.7,"[28.7, 27.5]",1.0,32.4,1.0,26.0,24.0,1.0,33.3,1.0,27.0,25.0
2023-05-30 12:35:00,,15.05,33.3,32.4,32.849999999999994,28.1,28.7,"[28.7, 27.5]",1.0,32.4,1.0,27.0,24.0,1.0,33.3,1.0,27.0,25.0
2023-05-30 12:40:00,,14.05,33.3,32.4,32.849999999999994,28.15,28.8,"[28.8, 27.5]",1.0,32.4,1.0,26.0,24.0,1.0,33.3,1.0,27.0,25.0
2023-05-30 12:45:00,,14.05,33.3,32.4,32.849999999999994,28.1,28.7,"[28.7, 27.5]",1.0,32.4,1.0,26.0,24.0,1.0,33.3,1.0,27.0,25.0
2023-05-30 12:50:00,,15.05,33.3,32.4,32.849999999999994,28.1,28.7,"[28.7, 27.5]",1.0,32.4,1.0,26.0,24.0,1.0,33.3,1.0,27.0,25.0
2023-05-30 12:55:00,,15.05,33.3,32.4,32.849999999999994,28.15,28.8,"[28.8, 27.5]",1.0,32.4,1.0,26.0,24.0,1.0,33.3,1.0,27.0,25.0
2023-05-30 13:00:00,,14.05,33.3,32.4,32.849999999999994,28.15,28.8,"[28.8, 27.5]",1.0,32.4,1.0,26.0,24.0,1.0,33.3,1.0,27.0,25.0
2023-05-30 13:05:00,,14.05,33.3,32.4,32.849999999999994,28.1,28.7,"[28.7, 27.5]",1.0,32.4,1.0,26.0,24.0,1.0,33.3,1.0,27.0,25.0
2023-05-30 13:10:00,,15.05,33.3,32.4,32.849999999999994,28.1,28.7,"[28.7, 27.5]",1.0,32.4,1.0,27.0,24.0,1.0,33.3,1.0,27.0,25.0
2023-05-30 13:15:00,,15.05,33.3,32.4,32.849999999999994,28.15,28.8,"[28.8, 27.5]",1.0,32.4,1.0,27.0,24.0,1.0,33.3,1.0,27.0,25.0
2023-05-30 13:20:00,,14.05,33.3,32.4,32.849999999999994,28.15,28.8,"[28.8, 27.5]",1.0,32.4,1.0,27.0,24.0,1.0,33.3,1.0,27.0,25.0
