time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3799952_c,3799952_h,3799952_p,3799952_r,3799952_s,3799953_c,3799953_h,3799953_p,3799953_r,3799953_s
2023-05-30 09:00:00,,,,,,,,,,,0.15,,,,,3.7,,
2023-05-30 09:10:00,,19.23,26.2,25.1,25.65,25.55,25.7,"[25.7, 25.4]",1.0,26.2,5.82,26.0,26.0,1.0,25.1,0.1,26.0,25.0
2023-05-30 09:15:00,,23.32,25.4,24.9,25.15,25.7,25.9,"[25.9, 25.5]",1.0,25.4,5.79,28.0,26.0,1.0,24.9,3.4,27.0,25.0
2023-05-30 09:20:00,,21.36,25.9,24.9,25.4,25.55,25.7,"[25.7, 25.4]",1.0,25.9,6.01,26.0,26.0,1.0,24.9,3.9,25.0,25.0
2023-05-30 09:25:00,,22.98,25.4,24.4,24.9,25.65,25.8,"[25.8, 25.5]",1.0,25.4,4.63,28.0,26.0,1.0,24.4,0.1,27.0,25.0
2023-05-30 09:30:00,,23.58,25.3,24.6,24.950000000000003,25.5,25.7,"[25.7, 25.3]",1.0,25.3,5.99,26.0,26.0,1.0,24.6,3.9,25.0,25.0
2023-05-30 09:35:00,,14.01,25.3,24.3,24.8,25.55,25.7,"[25.7, 25.4]",1.0,25.3,0.16,28.0,27.0,1.0,24.3,0.1,27.0,26.0
2023-05-30 09:40:00,,23.19,25.7,25.0,25.35,25.85,26.0,"[26.0, 25.7]",1.0,25.7,5.62,28.0,27.0,1.0,25.0,3.9,26.0,26.0
2023-05-30 09:45:00,,19.28,26.6,25.2,25.9,25.6,25.8,"[25.8, 25.4]",1.0,26.6,6.07,26.0,27.0,1.0,25.2,3.9,25.0,26.0
2023-05-30 09:50:00,,13.99,25.7,24.6,25.15,25.75,25.9,"[25.9, 25.6]",1.0,25.7,0.15,28.0,27.0,1.0,24.6,0.1,27.0,26.0
2023-05-30 09:55:00,,23.61,26.2,25.1,25.65,25.75,25.9,"[25.9, 25.6]",1.0,26.2,6.01,27.0,27.0,1.0,25.1,3.9,25.0,26.0
2023-05-30 10:00:00,,13.82,26.0,24.9,25.45,25.65,25.8,"[25.8, 25.5]",1.0,26.0,0.16,28.0,27.0,1.0,24.9,0.1,27.0,26.0
2023-05-30 10:05:00,,17.22,26.8,24.6,25.700000000000003,25.950000000000003,26.1,"[26.1, 25.8]",1.0,26.8,0.15,29.0,28.0,1.0,24.6,3.7,27.0,27.0
2023-05-30 10:10:00,,14.05,26.8,25.4,26.1,26.0,26.2,"[26.2, 25.8]",1.0,26.8,0.16,28.0,28.0,1.0,25.4,0.1,27.0,27.0
2023-05-30 10:15:00,,14.0,27.0,25.6,26.3,26.25,26.4,"[26.4, 26.1]",1.0,27.0,0.15,29.0,28.0,1.0,25.6,0.1,28.0,27.0
2023-05-30 10:20:00,,13.85,27.9,25.9,26.9,26.450000000000003,26.6,"[26.6, 26.3]",1.0,27.9,6.01,29.0,28.0,1.0,25.9,0.1,28.0,27.0
