time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3799950_c,3799950_h,3799950_p,3799950_r,3799950_s,3799951_c,3799951_h,3799951_p,3799951_r,3799951_s
2023-05-30 09:00:00,,,,,,,,,,,3.8,,,,,5.46,,
2023-05-30 09:10:00,,9.0,33.7,28.9,31.3,27.35,28.5,"[28.5, 26.2]",1.0,33.7,36.9,28.0,26.0,1.0,28.9,5.54,26.6,26.0
2023-05-30 09:15:00,,9.0,33.7,28.9,31.3,27.0,28.2,"[28.2, 25.8]",1.0,33.7,37.5,28.0,26.0,1.0,28.9,5.59,26.5,26.0
2023-05-30 09:20:00,,9.0,33.6,28.7,31.15,27.3,28.3,"[28.3, 26.3]",1.0,33.6,3.9,28.0,26.0,1.0,28.7,5.47,27.0,26.0
2023-05-30 09:25:00,,9.0,33.4,28.6,31.0,27.950000000000003,28.6,"[28.6, 27.3]",1.0,33.4,3.9,29.0,26.0,1.0,28.6,5.64,28.0,26.0
2023-05-30 09:30:00,,9.0,33.4,28.6,31.0,28.5,28.9,"[28.9, 28.1]",1.0,33.4,3.9,30.0,26.0,1.0,28.6,5.62,28.5,26.0
2023-05-30 09:35:00,,9.0,33.5,28.8,31.15,27.950000000000003,28.8,"[28.8, 27.1]",1.0,33.5,37.1,29.0,26.0,1.0,28.8,5.72,27.4,26.0
2023-05-30 09:40:00,,9.0,33.6,28.8,31.200000000000003,27.5,28.6,"[28.6, 26.4]",1.0,33.6,37.1,28.0,26.0,1.0,28.8,5.58,27.1,26.0
2023-05-30 09:45:00,,9.0,33.7,28.8,31.25,27.1,28.3,"[28.3, 25.9]",1.0,33.7,37.0,27.0,26.0,1.0,28.8,5.66,26.9,26.0
2023-05-30 09:50:00,,9.0,33.7,28.7,31.200000000000003,26.75,28.0,"[28.0, 25.5]",1.0,33.7,37.5,28.0,26.0,1.0,28.7,5.59,26.7,26.0
2023-05-30 09:55:00,,9.0,33.5,28.5,31.0,26.55,27.8,"[27.8, 25.3]",1.0,33.5,37.3,27.0,26.0,1.0,28.5,5.56,26.6,26.0
2023-05-30 10:00:00,,9.0,33.3,28.5,30.9,26.5,27.7,"[27.7, 25.3]",1.0,33.3,1.1,27.0,26.0,1.0,28.5,5.51,26.5,26.0
2023-05-30 10:05:00,,9.0,33.1,28.3,30.700000000000003,27.1,28.0,"[28.0, 26.2]",1.0,33.1,3.9,28.0,26.0,1.0,28.3,5.59,27.3,26.0
2023-05-30 10:10:00,,9.0,32.9,28.3,30.6,27.700000000000003,28.3,"[28.3, 27.1]",1.0,32.9,3.9,29.0,26.0,1.0,28.3,5.63,27.7,26.0
2023-05-30 10:15:00,,9.0,32.9,28.4,30.65,28.1,28.2,"[28.2, 28.0]",1.0,32.9,3.9,29.0,26.0,1.0,28.4,5.64,28.2,26.0
2023-05-30 10:20:00,,9.0,33.0,28.4,30.7,27.75,28.2,"[28.2, 27.3]",1.0,33.0,36.5,28.0,26.0,1.0,28.4,5.66,28.0,26.0
2023-05-30 10:25:00,,9.0,33.2,28.6,30.9,27.05,28.0,"[28.0, 26.1]",1.0,33.2,37.6,27.0,26.0,1.0,28.6,5.55,27.1,26.0
2023-05-30 10:30:00,,9.0,33.5,28.6,31.05,26.6,27.7,"[27.7, 25.5]",1.0,33.5,38.0,27.0,26.0,1.0,28.6,5.51,26.6,26.0
2023-05-30 10:45:00,,9.0,33.5,28.4,30.95,27.6,28.0,"[28.0, 27.2]",1.0,33.5,3.9,29.0,26.0,1.0,28.4,5.53,27.6,26.0
2023-05-30 10:50:00,,9.0,33.5,28.4,30.95,28.1,28.2,"[28.2, 28.0]",1.0,33.5,3.8,30.0,26.0,1.0,28.4,5.57,28.1,26.0
2023-05-30 10:55:00,,9.0,33.7,28.7,31.200000000000003,28.3,28.3,"[28.3, 28.3]",1.0,33.7,3.9,30.0,26.0,1.0,28.7,5.48,28.1,26.0
2023-05-30 11:00:00,,9.0,33.7,28.7,31.200000000000003,28.5,28.6,"[28.4, 28.6]",1.0,33.7,3.8,30.0,26.0,1.0,28.7,5.51,28.3,26.0
2023-05-30 11:05:00,,9.0,34.2,28.9,31.55,28.6,28.8,"[28.4, 28.8]",1.0,34.2,29.6,30.0,26.0,1.0,28.9,5.63,28.5,26.0
2023-05-30 11:10:00,,9.0,34.4,29.2,31.8,27.700000000000003,28.3,"[28.3, 27.1]",1.0,34.4,37.8,28.0,26.0,1.0,29.2,5.74,27.8,26.0
2023-05-30 11:15:00,,9.0,34.5,29.2,31.85,27.05,28.0,"[28.0, 26.1]",1.0,34.5,37.4,27.0,26.0,1.0,29.2,5.49,26.8,26.0
2023-05-30 11:20:00,,9.0,34.5,29.2,31.85,26.55,27.7,"[27.7, 25.4]",1.0,34.5,37.9,27.0,26.0,1.0,29.2,0.13,26.3,26.0
2023-05-30 11:25:00,,9.0,34.4,29.0,31.7,27.15,27.7,"[27.7, 26.6]",1.0,34.4,3.9,28.0,26.0,1.0,29.0,5.27,27.3,26.0
2023-05-30 11:30:00,,9.0,34.3,28.9,31.6,27.65,27.8,"[27.8, 27.5]",1.0,34.3,3.9,29.0,26.0,1.0,28.9,5.64,27.8,26.0
2023-05-30 11:35:00,,9.0,34.2,28.9,31.55,28.05,28.1,"[28.0, 28.1]",1.0,34.2,3.9,30.0,26.0,1.0,28.9,5.66,28.0,26.0
2023-05-30 11:40:00,,9.0,34.2,28.9,31.55,28.45,28.5,"[28.4, 28.5]",1.0,34.2,3.9,30.0,26.0,1.0,28.9,5.47,28.1,26.0
2023-05-30 11:45:00,,9.0,34.5,29.2,31.85,28.65,28.7,"[28.6, 28.7]",1.0,34.5,3.8,30.0,26.0,1.0,29.2,5.56,28.3,26.0
2023-05-30 11:50:00,,9.0,34.5,29.2,31.85,28.7,28.9,"[28.5, 28.9]",1.0,34.5,3.9,30.0,26.0,1.0,29.2,5.57,28.3,26.0
2023-05-30 11:55:00,,9.0,34.8,29.3,32.05,28.6,28.9,"[28.3, 28.9]",1.0,34.8,3.8,30.0,26.0,1.0,29.3,5.63,28.3,26.0
2023-05-30 12:00:00,,9.0,34.8,29.5,32.15,28.75,29.0,"[28.5, 29.0]",1.0,34.8,3.8,30.0,26.0,1.0,29.5,5.62,28.3,26.0
2023-05-30 12:05:00,,9.0,35.0,29.7,32.35,28.85,29.0,"[28.7, 29.0]",1.0,35.0,39.3,30.0,26.0,1.0,29.7,5.54,28.5,26.0
2023-05-30 12:10:00,,9.0,35.2,29.8,32.5,27.85,28.4,"[28.4, 27.3]",1.0,35.2,37.9,28.0,26.0,1.0,29.8,5.65,27.4,26.0
2023-05-30 12:15:00,,9.0,35.2,29.8,32.5,27.05,28.0,"[28.0, 26.1]",1.0,35.2,38.1,27.0,26.0,1.0,29.8,5.59,26.6,26.0
2023-05-30 12:20:00,,9.0,34.9,29.7,32.3,26.55,27.6,"[27.6, 25.5]",1.0,34.9,1.1,27.0,26.0,1.0,29.7,5.5,26.2,26.0
