time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3799855_c,3799855_h,3799855_p,3799855_r,3799855_s,3799856_c,3799856_h,3799856_p,3799856_r,3799856_s,3799857_c,3799857_h,3799857_p,3799857_r,3799857_s,3799858_c,3799858_h,3799858_p,3799858_r,3799858_s
2023-05-30 09:00:00,,,,,,,,,,,3.7,,,,,4.3,,,,,4.5,,,,,0.1,,
2023-05-30 09:10:00,,,28.6,25.8,27.1,28.33333333333333,28.9,"[28.6, 28.9, 27.5]",0.0,26.6,3.7,28.1,26.0,1.0,25.8,4.3,27.0,24.0,1.0,27.4,4.4,29.0,25.0,1.0,28.6,0.1,27.0,25.0
2023-05-30 09:15:00,,,28.6,25.8,27.125,28.33333333333333,28.9,"[28.6, 28.9, 27.5]",0.0,26.6,3.7,28.0,26.0,1.0,25.8,4.4,27.0,24.0,1.0,27.5,4.4,29.0,25.0,1.0,28.6,3.3,25.0,25.0
2023-05-30 09:20:00,,,28.6,25.9,27.175,28.33333333333333,28.9,"[28.6, 28.9, 27.5]",0.0,26.7,3.7,28.0,26.0,1.0,25.9,4.4,27.0,24.0,1.0,27.5,4.5,29.0,25.0,1.0,28.6,3.0,26.0,25.0
2023-05-30 09:25:00,,,28.7,25.9,27.2,28.4,28.9,"[28.7, 28.9, 27.6]",0.0,26.7,3.7,28.1,26.0,1.0,25.9,4.5,27.0,24.0,1.0,27.5,4.4,29.0,25.0,1.0,28.7,3.3,25.0,25.0
2023-05-30 09:30:00,,,28.7,25.9,27.2,28.366666666666664,28.9,"[28.7, 28.9, 27.5]",0.0,26.6,3.7,28.1,26.0,1.0,25.9,4.4,27.0,24.0,1.0,27.6,4.5,29.0,25.0,1.0,28.7,0.1,26.0,25.0
2023-05-30 09:35:00,,,28.7,25.9,27.175,28.433333333333334,28.9,"[28.8, 28.9, 27.6]",0.0,26.6,3.7,28.1,26.0,1.0,25.9,4.4,27.0,24.0,1.0,27.5,4.4,29.0,25.0,1.0,28.7,3.3,25.0,25.0
2023-05-30 09:40:00,,,28.7,26.0,27.250000000000004,28.433333333333334,28.9,"[28.8, 28.9, 27.6]",0.0,26.7,3.7,28.1,26.0,1.0,26.0,4.4,27.0,24.0,1.0,27.6,4.5,29.0,25.0,1.0,28.7,0.1,26.0,25.0
2023-05-30 09:45:00,,,28.7,25.9,27.175,28.46666666666667,29.0,"[28.8, 29.0, 27.6]",0.0,26.6,3.7,28.2,26.0,1.0,25.9,4.5,27.0,24.0,1.0,27.5,4.5,29.0,25.0,1.0,28.7,3.4,25.0,25.0
2023-05-30 09:50:00,,,28.7,26.0,27.225,28.46666666666667,29.0,"[28.8, 29.0, 27.6]",0.0,26.7,3.7,28.2,26.0,1.0,26.0,4.6,27.0,24.0,1.0,27.5,4.5,29.0,25.0,1.0,28.7,0.1,26.0,25.0
