,Unnamed: 0,rack_h,rack_l,rack_avg,env_avg,env_h,return_t,low,high,控制范围,环境最高温,机柜最高温,机柜预警线,机柜报警线,回风预警线,环境报警线,setting_t
1,146195,23.6,23.6,23.6,26.4,26.4,20.5,24,28,24-28,24.0,21.8,39.0,40.0,29.0,26.0,21.0
2,84881,24.2,22.0,23.33333333333333,23.05,23.1,25.0,22,29,22-29,25.5,30.8,39.0,40.0,29.0,28.0,21.0
3,171366,32.7,29.8,31.25,27.0,27.0,26.0,22,29,22-29,28.0,34.1,39.0,40.0,29.0,29.0,21.0
4,85104,23.1,20.9,22.1,22.45000000000001,22.6,24.0,22,29,22-29,25.5,30.8,39.0,40.0,29.0,28.0,21.0
5,49717,20.6,20.6,20.6,22.142857142857146,26.8,20.6,22,29,22-29,25.3,27.3,59.0,60.0,29.0,29.0,21.0
6,146232,23.6,23.6,23.6,26.4,26.4,20.4,24,28,24-28,24.0,21.8,39.0,40.0,29.0,26.0,21.0
7,145800,24.0,24.0,24.0,26.1,26.1,21.1,24,28,24-28,24.0,21.8,39.0,40.0,29.0,26.0,21.0
8,22097,34.3,30.9,32.599999999999994,26.2,26.2,27.0,22,29,22-29,25.8,33.6,38.0,39.0,29.0,28.0,21.0
9,171656,33.0,29.8,31.4,27.1,27.1,25.0,22,29,22-29,28.0,34.1,39.0,40.0,29.0,29.0,21.0
10,145866,23.5,23.5,23.5,26.4,26.4,20.4,24,28,24-28,24.0,21.8,39.0,40.0,29.0,26.0,21.0
11,22180,34.0,30.5,32.25,26.0,26.0,26.0,22,29,22-29,25.8,33.6,38.0,39.0,29.0,28.0,21.0
12,146184,23.6,23.6,23.6,26.4,26.4,20.8,24,28,24-28,24.0,21.8,39.0,40.0,29.0,26.0,21.0
13,22273,32.9,30.2,31.55,25.9,25.9,27.0,22,29,22-29,25.8,33.6,38.0,39.0,29.0,28.0,21.0
14,49749,20.2,19.5,19.85,21.857142857142854,26.2,20.0,22,29,22-29,25.3,27.3,59.0,60.0,29.0,29.0,21.0
15,146208,23.6,23.6,23.6,26.4,26.4,20.3,24,28,24-28,24.0,21.8,39.0,40.0,29.0,26.0,21.0
16,146280,23.6,23.6,23.6,26.4,26.4,20.9,24,28,24-28,24.0,21.8,39.0,40.0,29.0,26.0,21.0
17,50843,22.2,20.6,21.4,22.82857142857143,27.1,20.7,22,29,22-29,25.3,27.3,59.0,60.0,29.0,29.0,21.0
18,50837,21.1,20.3,20.700000000000006,22.614285714285717,28.2,20.9,22,29,22-29,25.3,27.3,59.0,60.0,29.0,29.0,21.0
19,171446,33.1,29.9,31.5,27.4,27.4,27.0,22,29,22-29,28.0,34.1,39.0,40.0,29.0,29.0,21.0
20,146005,24.0,24.0,24.0,26.7,26.7,21.3,24,28,24-28,24.0,21.8,39.0,40.0,29.0,26.0,21.0
21,51072,20.4,20.2,20.3,22.17142857142857,27.1,20.6,22,29,22-29,25.3,27.3,59.0,60.0,29.0,29.0,21.0
22,91588,40.3,29.4,36.66666666666666,26.7,26.7,25.2,22,29,22-29,29.7,40.0,39.0,40.0,29.0,30.0,21.0
23,146351,23.9,23.9,23.9,26.3,26.3,20.7,24,28,24-28,24.0,21.8,39.0,40.0,29.0,26.0,21.0
24,146215,23.6,23.6,23.6,26.4,26.4,20.5,24,28,24-28,24.0,21.8,39.0,40.0,29.0,26.0,21.0
25,146358,23.8,23.8,23.8,26.4,26.4,21.0,24,28,24-28,24.0,21.8,39.0,40.0,29.0,26.0,21.0
26,99270,34.4,31.4,32.9,30.9,30.9,19.5,24,29,24-29,26.7,35.7,39.0,40.0,29.0,30.0,21.0
27,2756,25.9,25.9,25.9,26.1,26.1,26.0,22,29,22-29,26.4,28.3,30.0,32.0,29.0,27.0,21.0
28,49655,19.9,19.6,19.75,22.17142857142857,28.1,21.3,22,29,22-29,25.3,27.3,59.0,60.0,29.0,29.0,21.0
29,49611,19.5,18.6,19.05,21.714285714285715,28.1,20.6,22,29,22-29,25.3,27.3,59.0,60.0,29.0,29.0,21.0
30,146110,23.6,23.6,23.6,26.4,26.4,20.6,24,28,24-28,24.0,21.8,39.0,40.0,29.0,26.0,21.0
31,145811,23.3,23.3,23.3,25.8,25.8,20.4,24,28,24-28,24.0,21.8,39.0,40.0,29.0,26.0,21.0
32,146258,23.6,23.6,23.6,26.4,26.4,20.7,24,28,24-28,24.0,21.8,39.0,40.0,29.0,26.0,21.0
33,84904,25.4,22.1,24.3,22.65,23.1,26.0,22,29,22-29,25.5,30.8,39.0,40.0,29.0,28.0,21.0
34,105033,26.8,26.8,26.8,23.0,23.0,20.6,25,29,25-29,25.9,33.2,39.0,40.0,29.0,26.0,21.0
