地市,数据中心,机房名称,机房类别,状态记录,回退原因,开始调控日期,控制范围,机柜最高温,环境最高温,机柜预警线,机柜报警线,回风预警线,环境报警线,空调数量,机柜id,环境id,空调id,压线标志,控制描述,,,,,,
嘉兴,禾_B_嘉兴中山路局,7FIDC2机房,C,,,2022/12/19,22-29,27.4,28.3,33,34,29,27,5,,,,,,,,,,,
嘉兴,禾_C_海盐海滨路局,2F东ID01机房,C,,,2022/12/20,22-29,30.2,23.7,31,33,29,28,3,,,,,,,,,,,
台州,台_B_椒江枢纽大楼局,7FDC机房,B,,,2023/2/2,22-29,28.3,26.4,30,32,29,27,2,,,,,,,,,,,
嘉兴,禾_D_海盐武原武通桥局,1F综合机房,D,,,2023/2/8,24-29,32.2,24.2,40,41,29,30,1,,,,,,,,,,,
嘉兴,禾_D_平湖共建局,2F综合机房,D,,,2023/2/8,22-29,22.4,17.3,34,35,29,30,1,,,,,,,,,,,
嘉兴,禾_D_桐乡台商局,2F综合机房,D,已回退,该房间的环境温度一直超过30度，设定较低，耗能却无法控制,2023/2/8,22-29,27.7,30.2,34,35,29,29,1,,,,,,,,,,,
嘉兴,禾_C_嘉善亭桥路局,1F电力室,C,,,2023/2/9,22-28,-,25.6,32,33,29,28,1,,,,,,,,,,,
嘉兴,禾_J_嘉善丁栅(C)C网基站,1F综合机房,D,,,2023/2/9,22-29,31,26.8,35,36,29,30,1,,,,,,,,,,,
嘉兴,禾_J_乍浦嘉禾木业(C)C网基站,1F综合机房,D,已回退-交由浙邮部署,失败率过高,2023/2/9,22-29,34,25,38,39,29,30,1,,,,,,,,,,,
嘉兴,禾_L_桐乡永越(B)C网基站,1F综合机房,D,已回退,空调设定一直21，但是依然环境温度报警,2023/2/9,22-29,33.8,26.3,36,37,29,30,1,,,,,,,,,,,
嘉兴,禾_C_海宁城西局,3FIDC机房,D,,,2023/2/14,22-29,30.2,24.6,35,36,29,28,4,,,,,,,,,,,
嘉兴,禾_D_嘉兴马厍农贸市场局,2F综合机房,D,,,2023/2/14,22-29,31,26,36,37,29,30,1,,,,,,,,,,,
台州,台_C_黄岩老局,2F程控机房,C,,,2023/2/14,22-29,31.7,26.7,38,39,29,28,2,,,,,,,,,,,
台州,台_C_天台县局,3F综合机房,C,已回退,空调存在3-4度偏移量，局方要求暂停AI算法控制。请关停AI,2023/2/14,22-29,31.4,25.2,34,35,29,28,2,,,,,,,,,,,
嘉兴,禾_D_海盐百步五丰机房,1F综合机房,D,,,2023/2/15,22-29,24.8,22.5,32,33,29,30,1,,,,,,,,,,,
嘉兴,禾_D_平湖新埭局,3FZ01,D,,,2023/2/15,22-29,30.7,25.7,35,36,29,30,2,,,,,,,,,,,
